Point,Test,fW,current,ind,Rd,Cs,Rs,Output,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,"dB20(VF(""/VACcon_p_1""))","dB20(VF(""/VACout_p_1""))","dB20(VF(""/VACout_p_2""))",Stage 1 Region,Stage 2 Region
11,ECE740_tb_channel_CTLE_ML_1,8.62E-06,0.001818,1.53E-09,397.3,4.08E-13,1483,,-0.01962,-12.62,-19.76,-6.6,-9.035,0.4613,-9.115,-14.3,-8.246,-13.17,-23.01,-22.43,-18.87,-34.04,-38.98,0,0,0,1,2
12,ECE740_tb_channel_CTLE_ML_1,7.22E-06,0.001256,2.73E-09,160.5,8.32E-13,34.54,,-0.01963,1.581,3.125,-6.587,-4.355,-2.17,-9.101,-6.119,-3.116,-13.18,-10.72,-7.99,-18.88,-19.7,-20.31,0,0,0,2,2
13,ECE740_tb_channel_CTLE_ML_1,1.10E-06,0.0008792,1.01E-09,127.6,4.40E-14,120.6,,-0.01975,-13,-26.1,-6.58,-19.44,-32.41,-9.068,-21.58,-34.2,-13.13,-24.44,-35.84,-18.81,-26.93,-35.15,0,0,0,2,2
14,ECE740_tb_channel_CTLE_ML_1,8.59E-06,0.002247,1.46E-09,180.3,8.45E-13,960.9,,-0.01968,-10.1,-20.12,-6.595,-1.461,4.028,-9.117,-6.516,-3.321,-13.18,-14.75,-15.63,-18.87,-24.64,-29.7,0,0,0,2,2
15,ECE740_tb_channel_CTLE_ML_1,3.68E-06,0.0005568,1.28E-09,1311,2.98E-13,1043,,-0.01969,-7.115,-3.928,-6.582,-9.998,1.455,-9.08,-12.73,-1.288,-13.15,-17.8,-7.969,-18.87,-25.81,-19.68,0,0,0,1,2
16,ECE740_tb_channel_CTLE_ML_1,5.50E-06,0.002367,2.68E-09,956.5,5.43E-13,115,,-0.01964,-46,-34.79,-6.587,-53.1,-40.87,-9.094,-54.96,-43.82,-13.17,-57.37,-49.96,-18.88,-61.77,-59.57,0,0,0,1,2
17,ECE740_tb_channel_CTLE_ML_1,2.17E-06,0.0005407,1.67E-09,1068,5.68E-13,369.6,,-0.01972,3.511,8.548,-6.58,-0.0616,8.396,-9.074,-2.515,6.079,-13.14,-7.059,1.237,-18.84,-14.17,-6.997,0,0,0,2,2
18,ECE740_tb_channel_CTLE_ML_1,8.74E-06,0.001092,4.81E-10,392.4,6.44E-13,788.9,,-0.01966,-3.143,-6.145,-6.604,0.7109,8.772,-9.119,-5.395,-0.7982,-13.17,-14.65,-15.32,-18.87,-26.05,-32.55,0,0,0,2,2
19,ECE740_tb_channel_CTLE_ML_1,5.33E-06,0.0008068,2.67E-09,1320,9.45E-13,495.7,,-0.01965,-27.5,-19.58,-6.586,-33.44,-20.05,-9.091,-36.53,-24.8,-13.17,-42.25,-34.18,-18.88,-50.95,-48.04,0,0,0,1,2
20,ECE740_tb_channel_CTLE_ML_1,3.29E-06,0.002367,3.03E-10,238.8,4.30E-13,538.3,,-0.01972,-6.767,-13.06,-6.578,-5.97,-4.693,-9.075,-7.88,-5.915,-13.15,-12.36,-10.62,-18.86,-19.81,-19.46,0,0,0,2,2
21,ECE740_tb_channel_CTLE_ML_1,2.71E-06,0.001414,3.08E-10,1223,2.34E-13,1437,,-0.01971,-39.5,-38.83,-6.581,-45.96,-35.16,-9.074,-48.07,-36.73,-13.14,-50.91,-40.24,-18.84,-54.18,-45.88,0,0,0,1,2
22,ECE740_tb_channel_CTLE_ML_1,3.96E-06,0.002097,2.56E-09,182.9,9.48E-13,502.2,,-0.01972,-7.42,-14.76,-6.578,-4.905,-3.142,-9.077,-6.27,-3.378,-13.15,-8.145,-2.968,-18.89,-13.31,-6.366,0,0,0,2,2
23,ECE740_tb_channel_CTLE_ML_1,6.64E-06,0.001015,1.94E-09,158.7,5.07E-13,1489,,-0.01972,-14.94,-29.87,-6.578,-4.893,-3.292,-9.093,-6.825,-4.591,-13.18,-11.66,-9.998,-18.89,-19.71,-20.32,0,0,0,2,2
24,ECE740_tb_channel_CTLE_ML_1,5.18E-06,0.001613,8.68E-10,205.9,5.34E-13,402.6,,-0.0197,-4.93,-9.821,-6.578,-3.798,-0.9903,-9.087,-5.869,-2.518,-13.17,-11.3,-9.09,-18.89,-19.9,-20.41,0,0,0,2,2
25,ECE740_tb_channel_CTLE_ML_1,7.24E-06,0.002071,2.07E-09,1069,8.61E-13,1487,,-0.0196,-55.25,-53.06,-6.594,-60.49,-47.39,-9.105,-59.33,-50.05,-13.17,-61.08,-57.07,-18.88,-65.87,-67.63,0,0,0,1,2
26,ECE740_tb_channel_CTLE_ML_1,9.08E-06,0.002194,8.35E-10,60.35,7.83E-13,1037,,-0.0197,-19.9,-39.81,-6.586,-8.946,-11.4,-9.107,-12.17,-15.38,-13.17,-18.44,-23.85,-18.87,-26.35,-33.95,0,0,0,2,2
27,ECE740_tb_channel_CTLE_ML_1,9.76E-06,0.001346,1.69E-09,1293,9.87E-13,624.1,,-0.01954,-48.83,-41.07,-6.605,-60.09,-49.15,-9.112,-61.02,-55.33,-13.17,-64.3,-64.42,-18.86,-69.74,-75.86,0,0,0,1,2
28,ECE740_tb_channel_CTLE_ML_1,5.65E-06,0.001324,1.01E-09,1220,2.86E-13,863.4,,-0.01964,-42.26,-37.71,-6.587,-54.54,-41.32,-9.094,-55.57,-43.79,-13.17,-57.06,-49.61,-18.88,-61.18,-59.29,0,0,0,1,2
29,ECE740_tb_channel_CTLE_ML_1,9.91E-06,0.0005955,1.07E-09,132.8,4.27E-13,26.92,,-0.0196,-1.085,-2.224,-6.596,-8.628,-10.73,-9.105,-13.01,-17,-13.17,-20.19,-27.31,-18.86,-28.93,-39.1,0,0,0,2,2
30,ECE740_tb_channel_CTLE_ML_1,5.62E-06,0.002292,5.44E-10,831.8,6.34E-13,1493,,-0.01964,-46.35,-47.11,-6.587,-52.91,-40.24,-9.094,-54.42,-43.63,-13.17,-56.95,-50.23,-18.88,-61.56,-60.24,0,0,0,1,2
31,ECE740_tb_channel_CTLE_ML_1,3.28E-06,0.00154,1.19E-10,1314,3.99E-13,1346,,-0.01969,-45.28,-43.16,-6.581,-53.29,-40.74,-9.077,-54.01,-41.6,-13.14,-54.69,-43.74,-18.86,-56.62,-49.1,0,0,0,1,2
32,ECE740_tb_channel_CTLE_ML_1,1.29E-06,0.001936,2.47E-09,1120,5.18E-14,588,,-0.01974,-35.59,-33.68,-6.58,-42.49,-39.76,-9.069,-45.44,-41.43,-13.13,-49.28,-43.87,-18.82,-52.52,-46.33,0,0,0,1,2
33,ECE740_tb_channel_CTLE_ML_1,5.52E-06,0.002029,6.91E-10,218.8,1.83E-13,580.9,,-0.0197,-6.551,-12.94,-6.575,-6.545,-6.357,-9.082,-6.157,-2.861,-13.17,-11.3,-8.572,-18.89,-21,-22.12,0,0,0,2,2
34,ECE740_tb_channel_CTLE_ML_1,3.77E-06,0.00196,6.06E-10,261.9,8.54E-14,531.4,,-0.01972,-5.497,-10.64,-6.578,-9.777,-12.63,-9.069,-9.432,-9.409,-13.14,-11.37,-8.887,-18.87,-18.37,-16.52,0,0,0,2,2
35,ECE740_tb_channel_CTLE_ML_1,6.00E-06,0.001311,1.45E-09,1314,9.74E-13,1401,,-0.01963,-46.4,-42.19,-6.588,-53.33,-39.44,-9.097,-54.74,-43.46,-13.17,-57.3,-50.56,-18.88,-62.06,-60.91,0,0,0,1,2
36,ECE740_tb_channel_CTLE_ML_1,2.09E-06,0.001274,2.21E-09,370.6,9.99E-13,480.1,,-0.01974,-3.65,-7.047,-6.579,-4.75,-2.595,-9.071,-6.933,-4.476,-13.13,-10.21,-6.997,-18.83,-13.82,-8.593,0,0,0,2,2
37,ECE740_tb_channel_CTLE_ML_1,7.87E-06,0.00221,2.04E-09,500.1,1.28E-14,1454,,-0.01959,-30.79,-36.51,-6.596,-34.21,-39.4,-9.105,-34.51,-38.47,-13.17,-37.92,-39.66,-18.87,-44.79,-48.18,0,0,0,1,2
38,ECE740_tb_channel_CTLE_ML_1,7.52E-06,0.00232,2.95E-09,347.8,8.63E-13,30.92,,-0.01958,-5.862,2.752,-6.596,-13.22,-5.081,-9.11,-17.49,-10.92,-13.18,-25.09,-22.14,-18.87,-35.54,-37.26,0,0,0,1,2
39,ECE740_tb_channel_CTLE_ML_1,4.66E-06,0.001921,2.88E-09,840.2,7.56E-13,604.3,,-0.01966,-37.56,-33.62,-6.584,-43.4,-31.24,-9.087,-46.04,-34.61,-13.16,-50.47,-41.57,-18.88,-56.69,-52.1,0,0,0,1,2
40,ECE740_tb_channel_CTLE_ML_1,2.86E-06,0.002428,8.29E-11,1106,9.52E-13,525.6,,-0.01972,-47.33,-41.7,-6.582,-52.66,-41.2,-9.076,-53.78,-42.52,-13.14,-54.89,-44.61,-18.85,-56.73,-49.09,0,0,0,1,2
41,ECE740_tb_channel_CTLE_ML_1,7.76E-06,0.001553,1.45E-09,830.3,2.65E-14,420.6,,-0.01959,-34.21,-28.05,-6.596,-37.77,-32.03,-9.106,-38.32,-33.69,-13.17,-42.06,-40.44,-18.87,-49.76,-53.21,0,0,0,1,2
42,ECE740_tb_channel_CTLE_ML_1,2.43E-06,0.002206,1.70E-09,180.3,2.68E-14,410.2,,-0.01974,-8.726,-17.35,-6.579,-14.95,-23.25,-9.068,-16.53,-23.92,-13.13,-17.71,-22.29,-18.81,-16.96,-15.53,0,0,0,2,2
43,ECE740_tb_channel_CTLE_ML_1,5.49E-06,0.002438,2.92E-09,1351,3.97E-13,27.76,,-0.0199,-60.31,-46.39,-6.597,-57.74,-44.77,-9.098,-55.63,-44.66,-13.17,-56.62,-49.62,-18.88,-61.65,-59.96,0,0,0,1,2
44,ECE740_tb_channel_CTLE_ML_1,9.80E-06,0.002142,6.88E-10,1407,8.51E-13,1054,,-0.01972,-40.11,-34.52,-6.607,-54.85,-44.45,-9.111,-59.05,-54.03,-13.17,-64.77,-65.6,-18.86,-71.28,-78.14,0,0,0,1,2
45,ECE740_tb_channel_CTLE_ML_1,8.83E-06,0.0009545,4.78E-10,476.3,1.68E-13,845.9,,-0.01965,-2.554,-4.9,-6.588,-0.99,5.308,-9.119,-4.988,0.3952,-13.18,-14.41,-14.61,-18.87,-26.04,-32.35,0,0,0,2,2
46,ECE740_tb_channel_CTLE_ML_1,3.04E-06,0.001623,5.03E-10,69.38,2.00E-13,722.7,,-0.01974,-18.66,-37.34,-6.577,-17.83,-29.16,-9.068,-17.95,-26.94,-13.13,-20.36,-27.73,-18.83,-23.79,-28.93,0,0,0,2,2
47,ECE740_tb_channel_CTLE_ML_1,4.41E-06,0.0006516,1.47E-09,725.1,8.47E-13,615.2,,-0.01969,1.791,3.926,-6.584,2.079,11.46,-9.093,-1.238,7.705,-13.17,-7.528,-0.3412,-18.89,-16.9,-13.39,0,0,0,2,2
48,ECE740_tb_channel_CTLE_ML_1,4.24E-06,0.002324,2.94E-09,961.4,9.88E-13,1459,,-0.01967,-48.06,-46.58,-6.583,-52.54,-39.95,-9.084,-53.77,-41.91,-13.16,-55.43,-45.79,-18.88,-58.7,-53.15,0,0,0,1,2
49,ECE740_tb_channel_CTLE_ML_1,3.19E-06,0.001499,1.17E-09,1063,3.21E-13,134.5,,-0.0197,-34.05,-24.41,-6.581,-41.17,-30.75,-9.077,-44.13,-33.21,-13.14,-48.23,-37.95,-18.86,-53.23,-45.7,0,0,0,1,2
50,ECE740_tb_channel_CTLE_ML_1,4.68E-06,0.001513,9.31E-10,1371,7.28E-14,883.9,,-0.01966,-47.69,-42.74,-6.584,-40.19,-31.55,-9.087,-41.3,-30.16,-13.16,-45.75,-36.23,-18.88,-53.38,-49.02,0,0,0,1,2
51,ECE740_tb_channel_CTLE_ML_1,1.35E-06,0.0009624,9.20E-10,1087,8.81E-13,183.3,,-0.01974,-13.49,-8.291,-6.58,-19.43,-12.73,-9.07,-21.89,-15.09,-13.13,-25.99,-19.32,-18.82,-31.86,-25.74,0,0,0,1,2
52,ECE740_tb_channel_CTLE_ML_1,7.06E-06,0.0006624,2.46E-10,1092,5.79E-13,1410,,-0.01963,-10.19,-8.793,-6.592,-12.69,-0.5595,-9.104,-16.78,-7.793,-13.17,-24.24,-20.24,-18.88,-34.89,-36.74,0,0,0,1,2
53,ECE740_tb_channel_CTLE_ML_1,2.88E-06,0.001213,2.03E-09,559.5,4.35E-13,973.6,,-0.01972,-5.249,-8.152,-6.579,-3.727,3.059,-9.076,-6.043,1.159,-13.15,-10.4,-3.157,-18.86,-17.32,-10.5,0,0,0,1,2
54,ECE740_tb_channel_CTLE_ML_1,2.14E-06,0.0006948,5.58E-10,544.9,3.85E-13,1465,,-0.01975,-6.201,-12.33,-6.579,-2.507,1.645,-9.071,-4.775,-0.3911,-13.13,-9.006,-4.774,-18.83,-15.47,-11.97,0,0,0,2,2
55,ECE740_tb_channel_CTLE_ML_1,9.43E-06,0.00131,1.26E-09,886.1,8.40E-13,458.7,,-0.01955,-32.74,-26.21,-6.602,-40.98,-30.19,-9.111,-46.2,-40.34,-13.17,-54.31,-54.17,-18.86,-63.72,-69.53,0,0,0,1,2
56,ECE740_tb_channel_CTLE_ML_1,7.66E-06,0.001205,9.73E-11,1267,1.48E-13,579.4,,-0.01959,-42.53,-35.28,-6.595,-43.08,-31.89,-9.106,-46.2,-37.18,-13.17,-52.95,-49.46,-18.87,-61.93,-64.51,0,0,0,1,2
57,ECE740_tb_channel_CTLE_ML_1,4.51E-06,0.001497,1.63E-09,1384,5.34E-13,719.8,,-0.01967,-47.33,-41.01,-6.584,-57.83,-44,-9.086,-56.71,-43.92,-13.16,-56.63,-46.9,-18.88,-59.42,-54.57,0,0,0,1,2
58,ECE740_tb_channel_CTLE_ML_1,7.48E-06,0.001479,2.13E-09,421,8.37E-13,886.1,,-0.01965,-4.709,-7.504,-6.599,-1.758,7.7,-9.117,-6.829,0.1463,-13.18,-15.17,-12.61,-18.88,-25.83,-28.27,0,0,0,1,2
59,ECE740_tb_channel_CTLE_ML_1,4.50E-06,0.002277,2.72E-09,76.34,3.34E-13,294.2,,-0.01972,-11.74,-23.51,-6.576,-11.62,-16.75,-9.069,-8.799,-8.679,-13.15,-6.649,-0.5351,-18.9,-12.32,-4.759,0,0,0,2,2
60,ECE740_tb_channel_CTLE_ML_1,6.10E-06,0.0007105,2.10E-09,1134,9.19E-13,1279,,-0.01964,-15.21,-12.14,-6.588,-19,-6.385,-9.096,-22.5,-12.13,-13.17,-29.06,-22.91,-18.88,-39.02,-38.3,0,0,0,1,2
61,ECE740_tb_channel_CTLE_ML_1,4.63E-06,0.001276,6.21E-10,1365,6.49E-13,906.1,,-0.01966,-43.53,-38.28,-6.584,-51.64,-37.82,-9.086,-53.05,-40.45,-13.16,-55.04,-45.65,-18.88,-58.81,-54.4,0,0,0,1,2
62,ECE740_tb_channel_CTLE_ML_1,1.65E-06,0.001694,1.87E-10,1424,9.53E-14,1451,,-0.01974,-44.31,-43.54,-6.58,-53.38,-46.11,-9.07,-54.66,-45.68,-13.13,-54.81,-45.49,-18.82,-55.39,-47.03,0,0,0,1,2
63,ECE740_tb_channel_CTLE_ML_1,6.67E-06,0.001314,2.81E-09,794.2,5.46E-13,98.89,,-0.01962,-23.54,-12.87,-6.59,-30.81,-19.66,-9.101,-34.65,-25.22,-13.17,-41.61,-36.49,-18.88,-51.56,-51.8,0,0,0,1,2
64,ECE740_tb_channel_CTLE_ML_1,3.94E-06,0.001051,2.63E-09,295.5,9.63E-13,413,,-0.01971,-2.891,-5.757,-6.579,-2.498,1.578,-9.078,-4.479,0.1386,-13.15,-7.75,-2.158,-18.89,-13.74,-7.581,0,0,0,2,2
65,ECE740_tb_channel_CTLE_ML_1,5.23E-06,0.002317,3.33E-10,578.1,8.74E-13,911.3,,-0.01965,-31.92,-32.55,-6.586,-35,-24.22,-9.091,-38.06,-28.44,-13.17,-43.76,-37.31,-18.88,-52.5,-50.96,0,0,0,1,2
66,ECE740_tb_channel_CTLE_ML_1,4.70E-06,0.00122,1.27E-10,59.23,2.67E-13,615.7,,-0.01973,-18.31,-36.64,-6.577,-16.68,-26.86,-9.073,-17.23,-25.48,-13.15,-21.29,-29.54,-18.86,-28.87,-39.04,0,0,0,2,2
67,ECE740_tb_channel_CTLE_ML_1,8.75E-06,0.001612,1.35E-09,637.6,9.31E-13,110.1,,-0.01957,-23.48,-13.49,-6.6,-31.34,-21.12,-9.11,-36.3,-29.99,-13.17,-44.61,-43.73,-18.87,-55.34,-60.24,0,0,0,1,2
68,ECE740_tb_channel_CTLE_ML_1,4.52E-06,0.0006155,1.70E-09,1249,7.73E-13,584.1,,-0.01967,-9.587,-3.286,-6.584,-14.25,-1.885,-9.086,-17.22,-5.727,-13.16,-22.69,-13.8,-18.88,-31.39,-27.05,0,0,0,1,2
69,ECE740_tb_channel_CTLE_ML_1,4.59E-06,0.002293,1.99E-09,380.7,2.84E-13,882.4,,-0.01968,-14.17,-18.91,-6.582,-13.89,-7.684,-9.087,-16.29,-8.583,-13.16,-21.63,-14.67,-18.88,-30.27,-26.14,0,0,0,1,2
70,ECE740_tb_channel_CTLE_ML_1,4.30E-06,0.001546,1.88E-09,1229,1.99E-13,164.1,,-0.01967,-42.22,-31.26,-6.583,-48.24,-36.73,-9.084,-50.04,-38.33,-13.16,-53.09,-43.24,-18.88,-57.64,-52.24,0,0,0,1,2
71,ECE740_tb_channel_CTLE_ML_1,2.64E-06,0.0007463,6.48E-10,463,2.10E-14,77,,-0.01971,3.213,6.496,-6.581,-3.371,-0.1062,-9.073,-5.93,-2.721,-13.14,-10.24,-7.244,-18.84,-16.74,-14.45,0,0,0,2,2
72,ECE740_tb_channel_CTLE_ML_1,8.41E-06,0.00224,1.54E-09,1343,7.80E-13,554.2,,-0.01972,-46.08,-38,-6.602,-55.07,-43.11,-9.109,-58.18,-50.99,-13.17,-62.89,-61.37,-18.87,-68.92,-73.34,0,0,0,1,2
73,ECE740_tb_channel_CTLE_ML_1,5.42E-06,0.000815,2.40E-09,1271,3.73E-13,985.5,,-0.01965,-27.57,-23.6,-6.586,-32.92,-19.76,-9.091,-36.02,-24.29,-13.17,-41.78,-33.89,-18.88,-50.59,-47.98,0,0,0,1,2
74,ECE740_tb_channel_CTLE_ML_1,6.76E-06,0.001279,9.68E-10,638.9,8.50E-13,442.8,,-0.01962,-12.36,-8.429,-6.591,-16.79,-5.807,-9.103,-20.67,-12.07,-13.17,-27.91,-23.79,-18.88,-38.39,-39.79,0,0,0,1,2
75,ECE740_tb_channel_CTLE_ML_1,9.42E-06,0.001047,1.21E-09,1430,4.33E-13,1384,,-0.01955,-46.35,-42.88,-6.603,-53.68,-41.93,-9.111,-57.2,-50.81,-13.17,-62.17,-61.67,-18.86,-68.26,-73.81,0,0,0,1,2
76,ECE740_tb_channel_CTLE_ML_1,4.68E-06,0.0008889,1.03E-09,52.27,7.90E-13,1074,,-0.01973,-22.29,-44.59,-6.579,-15.49,-24.48,-9.075,-16.32,-23.66,-13.15,-17.28,-21.56,-18.87,-19.47,-20.17,0,0,0,2,2
77,ECE740_tb_channel_CTLE_ML_1,9.32E-06,0.002333,2.94E-09,1351,8.84E-13,1232,,-0.0198,-36.06,-31.4,-6.606,-55.9,-45.1,-9.11,-59.6,-54,-13.17,-64.64,-64.81,-18.87,-70.78,-76.89,0,0,0,1,2
78,ECE740_tb_channel_CTLE_ML_1,5.42E-06,0.001145,5.44E-10,968.2,3.63E-13,1299,,-0.01965,-29.67,-29.27,-6.586,-33.67,-21.26,-9.092,-36.76,-25.59,-13.17,-42.55,-35.17,-18.88,-51.4,-49.35,0,0,0,1,2
79,ECE740_tb_channel_CTLE_ML_1,3.04E-06,0.001302,1.67E-10,1386,5.17E-13,566,,-0.0197,-40.2,-33.45,-6.581,-47.53,-35.09,-9.076,-49.51,-37.17,-13.14,-52.05,-40.91,-18.85,-55.12,-47.06,0,0,0,1,2
80,ECE740_tb_channel_CTLE_ML_1,5.09E-06,0.00223,1.63E-09,537.4,7.58E-13,963.5,,-0.01965,-28.03,-29.77,-6.585,-30.3,-19.98,-9.09,-33.32,-23.77,-13.17,-39.01,-32.09,-18.88,-47.92,-45.33,0,0,0,1,2
81,ECE740_tb_channel_CTLE_ML_1,5.89E-06,0.001414,1.51E-09,921.6,2.07E-13,297.1,,-0.01963,-32.56,-24.56,-6.588,-41.27,-30.78,-9.096,-45.76,-35.27,-13.17,-51.72,-45.01,-18.88,-58.92,-57.71,0,0,0,1,2
82,ECE740_tb_channel_CTLE_ML_1,1.79E-06,0.002378,7.26E-10,1129,5.42E-13,1486,,-0.01974,-46.06,-46.28,-6.581,-48.55,-39.58,-9.071,-50.4,-41.38,-13.13,-52.65,-43.89,-18.82,-54.87,-47.07,0,0,0,1,2
83,ECE740_tb_channel_CTLE_ML_1,2.86E-06,0.001441,1.25E-09,1009,6.03E-13,770,,-0.0197,-32.25,-29.17,-6.581,-36.94,-26.17,-9.075,-39.43,-28.66,-13.14,-43.55,-33.5,-18.85,-49.37,-41.46,0,0,0,1,2
84,ECE740_tb_channel_CTLE_ML_1,5.62E-06,0.0009453,1.66E-09,902,4.49E-14,1171,,-0.01965,-17.78,-17.61,-6.586,-24.08,-20.71,-9.091,-26.93,-19.91,-13.17,-32.74,-25.5,-18.88,-41.81,-39.89,0,0,0,1,2
85,ECE740_tb_channel_CTLE_ML_1,3.49E-06,0.0005141,2.64E-09,278.9,3.23E-14,1186,,-0.01974,-10.39,-20.78,-6.578,-14.88,-23.23,-9.065,-13.88,-18.8,-13.12,-12.04,-11.34,-18.85,-12.28,-5.694,0,0,0,2,2
86,ECE740_tb_channel_CTLE_ML_1,1.32E-06,0.001305,9.34E-10,216.5,4.48E-13,250.7,,-0.01975,-8.954,-17.9,-6.579,-13.58,-20.61,-9.068,-15.61,-22.18,-13.13,-19.15,-25.22,-18.81,-23.41,-28.19,0,0,0,2,2
87,ECE740_tb_channel_CTLE_ML_1,7.56E-06,0.002409,2.51E-09,319,3.16E-13,655.4,,-0.01962,-10.47,-14.05,-6.593,-10.47,-3,-9.112,-14.42,-7.048,-13.18,-22.26,-19.29,-18.88,-32.81,-34.78,0,0,0,1,2
88,ECE740_tb_channel_CTLE_ML_1,4.88E-06,0.00214,1.49E-09,827.9,7.88E-13,193.1,,-0.01966,-38.66,-29.97,-6.585,-46.47,-34.54,-9.088,-49.08,-37.97,-13.16,-53.07,-44.93,-18.88,-58.6,-55.21,0,0,0,1,2
89,ECE740_tb_channel_CTLE_ML_1,5.77E-06,0.002212,1.43E-09,494.1,5.59E-13,1064,,-0.01964,-26.02,-29.23,-6.587,-27.49,-17.28,-9.095,-30.78,-21.62,-13.17,-37.07,-31.37,-18.88,-46.69,-45.87,0,0,0,1,2
90,ECE740_tb_channel_CTLE_ML_1,1.21E-06,0.0009346,2.07E-09,140.7,9.71E-13,1018,,-0.01976,-16.27,-32.59,-6.58,-16.39,-26.31,-9.068,-17.89,-26.8,-13.13,-19.33,-25.57,-18.81,-19.97,-21.18,0,0,0,2,2
91,ECE740_tb_channel_CTLE_ML_1,1.86E-06,0.002291,4.68E-10,350,2.78E-13,1032,,-0.01974,-10.17,-19.07,-6.579,-9.546,-10.78,-9.07,-11.6,-12.31,-13.13,-15.6,-16.21,-18.83,-21.53,-22.27,0,0,0,2,2
92,ECE740_tb_channel_CTLE_ML_1,9.50E-06,0.001625,2.87E-09,1172,1.76E-13,820.9,,-0.01954,-49.34,-44.37,-6.603,-41.36,-30.15,-9.111,-45.96,-39.51,-13.17,-54.15,-53.82,-18.86,-64.29,-69.99,0,0,0,1,2
93,ECE740_tb_channel_CTLE_ML_1,9.24E-06,0.001342,2.11E-09,646.1,3.03E-13,492.3,,-0.01957,-18.12,-14.45,-6.601,-24.47,-14.48,-9.11,-29.45,-23.34,-13.17,-37.93,-37.61,-18.87,-48.94,-54.41,0,0,0,1,2
