fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,channel 3.5G attenuation,channel 7G attenuation,channel 14G attenuation,channel 28G attenuation,Stage 1 Region,stage 1 0.1G attenuation,stage 2 0.1G attenuation,Hard Constraint of neg2 on 0.1G Status,stage 1 3.5G attenuation,stage 2 3.5G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_maxHeight Vout_1 7G,eye_maxWidth Vout_1 7G,eye_maxHeight Vout_2 7G,eye_maxWidth Vout_2 7G,eye_maxWidth Vout_2 14G,eye_maxWidth Vout_1 14G,eye_maxHeight Vout_2 14G,eye_maxHeight Vout_1 14G,eye_maxWidth Vout_2 28G,eye_maxWidth Vout_1 28G,eye_maxHeight Vout_1 28G,eye_maxHeight Vout_2 28G,eye_maxHeight Vout_2 56G,eye_maxWidth Vout_2 56G,eye_maxHeight Vout_1 56G,eye_maxWidth Vout_1 56G
9.39E-06,0.002163,7.62E-10,1077,7.49E-13,308.8,-0.01956,-6.603,-9.111,-13.17,-18.87,0,-53.41,-43.72,0,-54.49,-43.46,-58.2,-52.29,-63.49,-63.4,-69.77,-75.68,0.09252,1.28E-10,0,0,0,3.52E-11,0,0.01794,0,0,0,0,0,0,0,0
3.79E-06,0.001331,2.90E-09,1399,8.85E-13,116.8,-0.01968,-6.582,-9.08,-13.15,-18.87,0,-41.57,-29.65,0,-49.28,-36.07,-51.3,-38.45,-53.59,-42.64,-56.89,-49.83,0.549,1.21E-10,0.007351,1.15E-10,3.62E-11,4.38E-11,0.003663,0.3284,0,5.38E-12,0.04212,0,0,0,0,0
8.10E-06,0.001327,2.00E-09,357,9.24E-13,203,-0.01961,-6.601,-9.119,-13.18,-18.87,1,3.124,6.64,1,0.4137,8.364,-4.819,0.7038,-13.37,-12.29,-23.9,-27.71,0.6963,1.27E-10,1.072,1.35E-10,5.58E-11,3.69E-11,0.5952,0.2115,0,0,0,0,0,0,0,0
8.27E-06,0.002342,1.43E-09,1247,8.74E-13,900.9,-0.01969,-6.601,-9.109,-13.17,-18.87,0,-45.76,-40.3,0,-56.76,-44.64,-59.15,-51.72,-63.07,-61.27,-68.7,-72.83,0.04765,9.10E-11,1.32E-06,8.31E-13,0,1.50E-11,0,0.004445,0,0,0,0,0,0,0,0
4.41E-06,0.001853,6.57E-11,129.9,2.74E-13,798.5,-0.01973,-6.576,-9.074,-13.15,-18.87,1,-13.16,-26.32,0,-9.543,-12.56,-10.29,-11.55,-14.8,-16.43,-23.2,-27.45,0.2836,1.39E-10,0.06172,1.37E-10,5.51E-11,6.79E-11,0.06141,0.2823,1.29E-11,2.84E-11,0.1271,0.04616,0,0,0,0
2.24E-06,0.0008828,2.02E-10,44.81,6.62E-13,237.4,-0.01974,-6.579,-9.069,-13.13,-18.82,1,-18.73,-37.52,0,-22.04,-37.6,-24.06,-39.15,-27.66,-42.3,-32.19,-45.71,0.4889,1.31E-10,0.08103,1.42E-10,6.96E-11,5.40E-11,0.07677,0.3209,3.01E-11,1.34E-11,0.0909,0.04747,0,0,0,0
4.08E-06,0.001756,2.18E-09,1456,3.30E-13,1184,-0.01969,-6.583,-9.083,-13.15,-18.87,0,-55.99,-52.31,0,-55.14,-41.58,-55.54,-42.45,-56.28,-45.74,-58.96,-52.95,0.2442,1.31E-10,0.0004657,8.90E-11,0,5.97E-11,0,0.2572,0,2.30E-11,0.1391,0,0,0,0,0
4.63E-06,0.001566,1.51E-09,1139,1.21E-13,472.4,-0.01966,-6.584,-9.086,-13.16,-18.88,0,-41.68,-34.7,0,-45.81,-36.1,-47.45,-36.16,-51.33,-41.95,-57.22,-52.74,0.2877,1.26E-10,0.004457,1.07E-10,2.35E-11,5.25E-11,0.001383,0.2564,0,1.81E-11,0.1233,0,0,0,0,0
5.87E-06,0.00202,2.78E-09,913.7,9.19E-13,1444,-0.01963,-6.588,-9.096,-13.17,-18.88,0,-45.93,-44.76,0,-51.57,-38.47,-53.56,-42.64,-56.78,-50.02,-61.82,-60.35,0.1383,9.27E-11,0.002605,7.20E-11,1.24E-11,2.33E-11,0.0005165,0.04752,0,0,0,0,0,0,0,0
9.44E-06,0.0008632,1.99E-09,1451,8.49E-13,12.09,-0.01955,-6.603,-9.111,-13.17,-18.86,0,-37.48,-21.8,0,-45.63,-34.77,-50.59,-44.51,-57.85,-57.42,-65.9,-71.44,0.4643,8.01E-11,0.003771,6.63E-11,0,0,0,0,0,0,0,0,0,0,0,0
5.00E-06,0.0008628,1.94E-09,601.5,6.85E-13,900.8,-0.01969,-6.585,-9.099,-13.18,-18.89,1,-1.462,-2.402,0,1.535,10.89,-1.947,6.858,-8.598,-1.961,-18.28,-15.63,0.4488,1.17E-10,0.3141,1.02E-10,2.80E-11,4.99E-11,0.3744,0.4117,0,9.40E-12,0.06587,0,0,0,0,0
4.36E-06,0.00151,3.67E-10,1437,9.15E-13,315.7,-0.01967,-6.583,-9.085,-13.16,-18.88,0,-47.17,-37.16,0,-56.01,-42.15,-55.91,-43.1,-56.31,-46.45,-59.14,-54.08,0.5643,1.34E-10,0.003825,1.28E-10,4.74E-11,5.75E-11,0.002391,0.4162,0,0,0,0,0,0,0,0
9.38E-06,0.001213,2.19E-09,77.91,6.79E-13,360,-0.01967,-6.586,-9.109,-13.18,-18.87,1,-11.6,-23.21,0,-7.863,-9.246,-9.134,-9.29,-14.28,-15.41,-23.39,-28.06,0.6865,1.38E-10,0.177,1.15E-10,4.39E-11,5.16E-11,0.1767,0.3029,0,0,0,0,0,0,0,0
1.75E-06,0.001117,2.24E-09,411,3.44E-13,1424,-0.01975,-6.578,-9.069,-13.13,-18.82,1,-8.861,-17.55,0,-5.551,-4.273,-7.522,-5.729,-10.8,-8.289,-14.38,-9.981,0.2673,1.29E-10,0.07821,1.30E-10,5.78E-11,5.96E-11,0.085,0.2771,2.59E-11,2.41E-11,0.1682,0.12,0.09909,9.98E-12,0,0
2.37E-06,0.002221,2.03E-10,1476,2.43E-14,710,-0.01985,-6.588,-9.078,-13.14,-18.84,0,-46.2,-40.72,0,-43.32,-37.51,-41.2,-34.62,-42.14,-34.17,-46.74,-38.75,0.1062,1.10E-10,0.0004382,7.67E-11,0,3.33E-11,0,0.04284,0,0,0,0,0,0,0,0
8.94E-06,0.001691,1.71E-09,18.66,9.53E-13,261.7,-0.01968,-6.583,-9.1,-13.18,-18.87,1,-21.67,-43.37,0,-13.43,-20.39,-10.98,-13.07,-13.46,-13.9,-22.21,-25.74,0.4186,1.30E-10,0.04112,1.32E-10,5.17E-11,3.55E-11,0.0419,0.08053,1.21E-11,0,0,0.02771,0,0,0,0
7.00E-06,0.001399,6.13E-10,618.8,3.37E-13,88.14,-0.01961,-6.592,-9.103,-13.17,-18.88,0,-13.31,-3.702,0,-20.53,-11.17,-24.5,-16.71,-31.79,-28.21,-42.3,-44.35,0.449,9.98E-11,0.583,9.73E-11,0,5.70E-12,0,0.01676,0,0,0,0,0,0,0,0
5.45E-06,0.0009279,1.03E-09,746.7,2.15E-13,1107,-0.01967,-6.584,-9.096,-13.17,-18.88,0,-6.588,-7.48,0,-6.714,2.88,-9.8,0.1269,-16.33,-9.617,-26.32,-24.77,0.3852,1.38E-10,0.2313,1.32E-10,4.82E-11,6.00E-11,0.2325,0.3911,0,2.12E-11,0.1455,0,0,0,0,0
9.33E-06,0.0006002,4.63E-10,829,9.82E-13,1307,-0.01963,-6.615,-9.119,-13.17,-18.87,1,0.5036,1.455,1,1.072,10.55,-5.73,-0.6795,-15.18,-15.7,-26.71,-33.28,0.3176,6.56E-11,0,0,0,0,0,0,1.43E-12,0,0,0.01214,0,0,0,0
3.37E-06,0.001705,2.03E-09,903.6,1.72E-13,71.25,-0.01969,-6.582,-9.078,-13.15,-18.86,0,-32.04,-22.09,0,-38.7,-28.74,-41.44,-31.5,-46.06,-36.57,-52.25,-44.97,0.3365,1.06E-10,0.02955,1.05E-10,2.32E-11,0,0.008591,0,0,0,0,0,0,0,0,0
7.48E-06,0.001483,6.53E-10,877.9,7.99E-13,876.1,-0.0196,-6.594,-9.106,-13.17,-18.87,0,-36.12,-33.19,0,-42.24,-29.89,-46.23,-37.56,-53.09,-49.66,-61.63,-64.05,0.3572,1.09E-10,0.01917,9.21E-11,2.03E-11,3.51E-11,0.001755,0.1993,0,0,0,0,0,0,0,0
5.60E-06,0.001297,3.25E-10,619.4,2.61E-13,1058,-0.01965,-6.586,-9.095,-13.17,-18.88,0,-13.34,-15.24,0,-14.49,-5.014,-17.61,-8.097,-23.92,-17.85,-33.77,-32.97,0.3546,1.36E-10,0.2216,1.28E-10,4.36E-11,5.97E-11,0.221,0.3618,0,1.88E-11,0.1162,0,0,0,0,0
8.86E-06,0.00174,1.93E-09,307,6.91E-13,1194,-0.01967,-6.605,-9.121,-13.18,-18.87,1,-7.659,-14.85,0,-0.1943,7.996,-6.292,-1.476,-15.28,-15.4,-25.92,-30.98,0.2186,9.12E-11,0,0,0,1.85E-11,0,0.01695,0,0,0,0,0,0,0,0
4.31E-06,0.002103,2.17E-09,819.4,2.97E-13,1404,-0.01967,-6.583,-9.084,-13.16,-18.88,0,-41.19,-42.85,0,-47.84,-36.66,-49.98,-38.58,-53.09,-43.76,-57.48,-52.3,0.1479,1.25E-10,0.006037,1.19E-10,4.27E-11,5.37E-11,0.006364,0.1455,7.74E-12,1.68E-11,0.0499,0.0005543,0,0,0,0
6.04E-06,0.001769,2.58E-09,652.5,7.02E-13,329.9,-0.01963,-6.588,-9.097,-13.17,-18.88,0,-26.51,-21.07,0,-32.31,-20.91,-35.69,-25.79,-42.1,-36.02,-51.61,-50.54,0.4144,1.36E-10,0.2619,1.32E-10,6.06E-11,5.72E-11,0.1799,0.2511,4.69E-12,0,0,0.01431,0,0,0,0
4.70E-06,0.001773,2.70E-10,607.7,6.27E-13,636.5,-0.01966,-6.584,-9.087,-13.16,-18.88,0,-23.05,-21.89,0,-26.66,-16.43,-29.55,-19.85,-34.98,-27.74,-43.71,-40.94,0.3459,1.31E-10,0.2358,1.16E-10,4.48E-11,5.72E-11,0.2454,0.2766,0,1.03E-11,0.02442,0,0,0,0,0
9.96E-06,0.001719,6.33E-10,803.1,3.84E-13,1495,-0.01954,-6.605,-9.111,-13.17,-18.86,0,-42.03,-43.51,0,-56.81,-45.94,-59.43,-54.18,-63.4,-64.18,-69.05,-75.89,0.1834,9.87E-11,0.006776,7.77E-11,0,2.59E-11,0,0.05233,0,0,0,0,0,0,0,0
3.54E-06,0.002236,1.92E-09,273.8,4.52E-13,1475,-0.01973,-6.577,-9.077,-13.15,-18.88,1,-11.5,-22.33,0,-4.352,-0.908,-6.238,-2.029,-9.957,-5.051,-16.17,-10.59,0.1329,1.15E-10,0.0152,1.18E-10,3.97E-11,4.88E-11,0.02353,0.1054,0,1.41E-11,0.03391,0,0,0,0,0
8.03E-06,0.001754,4.88E-10,287,5.61E-13,1413,-0.01969,-6.595,-9.118,-13.18,-18.87,1,-9.452,-18.61,0,-0.2175,7.259,-5.619,-0.6974,-14.62,-14.62,-25.87,-31.51,0.1929,9.71E-11,0,0,0,2.81E-11,0,0.07814,0,0,0,0,0,0,0,0
3.57E-06,0.002163,2.41E-09,1454,3.26E-14,1191,-0.0198,-6.588,-9.083,-13.15,-18.86,0,-41.98,-38.79,0,-37.84,-32.79,-37.3,-29.51,-40.53,-30.62,-46.96,-39.77,0.07483,1.33E-10,0,0,0,5.94E-11,0,0.04842,0,2.62E-11,0.04864,0,0,0,0.01806,9.19E-12
6.26E-06,0.000516,3.71E-10,326.1,2.79E-13,282.4,-0.01968,-6.581,-9.092,-13.17,-18.88,1,-0.6683,-1.361,1,-4.156,-1.758,-6.27,-3.317,-12.81,-12.24,-23.04,-27.17,0.4917,1.25E-10,0.5538,1.31E-10,6.06E-11,4.95E-11,0.5268,0.3304,1.98E-11,0,0,0.1059,0,0,0.003846,4.94E-13
