fW,current,ind,Rd,Cs,Rs,Stage 1 Region,channel 0.1G attenuation,channel 3.5G attenuation,channel 7G attenuation,channel 14G attenuation,channel 28G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,Hard Constraint of 2 on 0.1G Status,stage 1 3.5G attenuation,stage 2 3.5G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,stage 1 28G attenuation,stage 2 28G attenuation
8.62E-06,0.001818,1.53E-09,397.3,4.08E-13,1483,0,-0.01962,-6.6,-9.115,-13.17,-18.87,-12.62,-19.76,0,-9.035,0.4613,-14.3,-8.246,-23.01,-22.43,-34.04,-38.98
7.22E-06,0.001256,2.73E-09,160.5,8.32E-13,34.54,1,-0.01963,-6.587,-9.101,-13.18,-18.88,1.581,3.125,1,-4.355,-2.17,-6.119,-3.116,-10.72,-7.99,-19.7,-20.31
1.10E-06,0.0008792,1.01E-09,127.6,4.40E-14,120.6,1,-0.01975,-6.58,-9.068,-13.13,-18.81,-13,-26.1,0,-19.44,-32.41,-21.58,-34.2,-24.44,-35.84,-26.93,-35.15
8.59E-06,0.002247,1.46E-09,180.3,8.45E-13,960.9,1,-0.01968,-6.595,-9.117,-13.18,-18.87,-10.1,-20.12,0,-1.461,4.028,-6.516,-3.321,-14.75,-15.63,-24.64,-29.7
3.68E-06,0.0005568,1.28E-09,1311,2.98E-13,1043,0,-0.01969,-6.582,-9.08,-13.15,-18.87,-7.115,-3.928,0,-9.998,1.455,-12.73,-1.288,-17.8,-7.969,-25.81,-19.68
5.50E-06,0.002367,2.68E-09,956.5,5.43E-13,115,0,-0.01964,-6.587,-9.094,-13.17,-18.88,-46,-34.79,0,-53.1,-40.87,-54.96,-43.82,-57.37,-49.96,-61.77,-59.57
2.17E-06,0.0005407,1.67E-09,1068,5.68E-13,369.6,1,-0.01972,-6.58,-9.074,-13.14,-18.84,3.511,8.548,1,-0.0616,8.396,-2.515,6.079,-7.059,1.237,-14.17,-6.997
8.74E-06,0.001092,4.81E-10,392.4,6.44E-13,788.9,1,-0.01966,-6.604,-9.119,-13.17,-18.87,-3.143,-6.145,0,0.7109,8.772,-5.395,-0.7982,-14.65,-15.32,-26.05,-32.55
5.33E-06,0.0008068,2.67E-09,1320,9.45E-13,495.7,0,-0.01965,-6.586,-9.091,-13.17,-18.88,-27.5,-19.58,0,-33.44,-20.05,-36.53,-24.8,-42.25,-34.18,-50.95,-48.04
3.29E-06,0.002367,3.03E-10,238.8,4.30E-13,538.3,1,-0.01972,-6.578,-9.075,-13.15,-18.86,-6.767,-13.06,0,-5.97,-4.693,-7.88,-5.915,-12.36,-10.62,-19.81,-19.46
2.71E-06,0.001414,3.08E-10,1223,2.34E-13,1437,0,-0.01971,-6.581,-9.074,-13.14,-18.84,-39.5,-38.83,0,-45.96,-35.16,-48.07,-36.73,-50.91,-40.24,-54.18,-45.88
3.96E-06,0.002097,2.56E-09,182.9,9.48E-13,502.2,1,-0.01972,-6.578,-9.077,-13.15,-18.89,-7.42,-14.76,0,-4.905,-3.142,-6.27,-3.378,-8.145,-2.968,-13.31,-6.366
6.64E-06,0.001015,1.94E-09,158.7,5.07E-13,1489,1,-0.01972,-6.578,-9.093,-13.18,-18.89,-14.94,-29.87,0,-4.893,-3.292,-6.825,-4.591,-11.66,-9.998,-19.71,-20.32
5.18E-06,0.001613,8.68E-10,205.9,5.34E-13,402.6,1,-0.0197,-6.578,-9.087,-13.17,-18.89,-4.93,-9.821,0,-3.798,-0.9903,-5.869,-2.518,-11.3,-9.09,-19.9,-20.41
7.24E-06,0.002071,2.07E-09,1069,8.61E-13,1487,0,-0.0196,-6.594,-9.105,-13.17,-18.88,-55.25,-53.06,0,-60.49,-47.39,-59.33,-50.05,-61.08,-57.07,-65.87,-67.63
9.08E-06,0.002194,8.35E-10,60.35,7.83E-13,1037,1,-0.0197,-6.586,-9.107,-13.17,-18.87,-19.9,-39.81,0,-8.946,-11.4,-12.17,-15.38,-18.44,-23.85,-26.35,-33.95
9.76E-06,0.001346,1.69E-09,1293,9.87E-13,624.1,0,-0.01954,-6.605,-9.112,-13.17,-18.86,-48.83,-41.07,0,-60.09,-49.15,-61.02,-55.33,-64.3,-64.42,-69.74,-75.86
5.65E-06,0.001324,1.01E-09,1220,2.86E-13,863.4,0,-0.01964,-6.587,-9.094,-13.17,-18.88,-42.26,-37.71,0,-54.54,-41.32,-55.57,-43.79,-57.06,-49.61,-61.18,-59.29
9.91E-06,0.0005955,1.07E-09,132.8,4.27E-13,26.92,1,-0.0196,-6.596,-9.105,-13.17,-18.86,-1.085,-2.224,0,-8.628,-10.73,-13.01,-17,-20.19,-27.31,-28.93,-39.1
5.62E-06,0.002292,5.44E-10,831.8,6.34E-13,1493,0,-0.01964,-6.587,-9.094,-13.17,-18.88,-46.35,-47.11,0,-52.91,-40.24,-54.42,-43.63,-56.95,-50.23,-61.56,-60.24
3.28E-06,0.00154,1.19E-10,1314,3.99E-13,1346,0,-0.01969,-6.581,-9.077,-13.14,-18.86,-45.28,-43.16,0,-53.29,-40.74,-54.01,-41.6,-54.69,-43.74,-56.62,-49.1
1.29E-06,0.001936,2.47E-09,1120,5.18E-14,588,0,-0.01974,-6.58,-9.069,-13.13,-18.82,-35.59,-33.68,0,-42.49,-39.76,-45.44,-41.43,-49.28,-43.87,-52.52,-46.33
5.52E-06,0.002029,6.91E-10,218.8,1.83E-13,580.9,1,-0.0197,-6.575,-9.082,-13.17,-18.89,-6.551,-12.94,0,-6.545,-6.357,-6.157,-2.861,-11.3,-8.572,-21,-22.12
3.77E-06,0.00196,6.06E-10,261.9,8.54E-14,531.4,1,-0.01972,-6.578,-9.069,-13.14,-18.87,-5.497,-10.64,0,-9.777,-12.63,-9.432,-9.409,-11.37,-8.887,-18.37,-16.52
6.00E-06,0.001311,1.45E-09,1314,9.74E-13,1401,0,-0.01963,-6.588,-9.097,-13.17,-18.88,-46.4,-42.19,0,-53.33,-39.44,-54.74,-43.46,-57.3,-50.56,-62.06,-60.91
2.09E-06,0.001274,2.21E-09,370.6,9.99E-13,480.1,1,-0.01974,-6.579,-9.071,-13.13,-18.83,-3.65,-7.047,0,-4.75,-2.595,-6.933,-4.476,-10.21,-6.997,-13.82,-8.593
7.87E-06,0.00221,2.04E-09,500.1,1.28E-14,1454,0,-0.01959,-6.596,-9.105,-13.17,-18.87,-30.79,-36.51,0,-34.21,-39.4,-34.51,-38.47,-37.92,-39.66,-44.79,-48.18
7.52E-06,0.00232,2.95E-09,347.8,8.63E-13,30.92,0,-0.01958,-6.596,-9.11,-13.18,-18.87,-5.862,2.752,0,-13.22,-5.081,-17.49,-10.92,-25.09,-22.14,-35.54,-37.26
4.66E-06,0.001921,2.88E-09,840.2,7.56E-13,604.3,0,-0.01966,-6.584,-9.087,-13.16,-18.88,-37.56,-33.62,0,-43.4,-31.24,-46.04,-34.61,-50.47,-41.57,-56.69,-52.1
2.86E-06,0.002428,8.29E-11,1106,9.52E-13,525.6,0,-0.01972,-6.582,-9.076,-13.14,-18.85,-47.33,-41.7,0,-52.66,-41.2,-53.78,-42.52,-54.89,-44.61,-56.73,-49.09
7.76E-06,0.001553,1.45E-09,830.3,2.65E-14,420.6,0,-0.01959,-6.596,-9.106,-13.17,-18.87,-34.21,-28.05,0,-37.77,-32.03,-38.32,-33.69,-42.06,-40.44,-49.76,-53.21
2.43E-06,0.002206,1.70E-09,180.3,2.68E-14,410.2,1,-0.01974,-6.579,-9.068,-13.13,-18.81,-8.726,-17.35,0,-14.95,-23.25,-16.53,-23.92,-17.71,-22.29,-16.96,-15.53
5.49E-06,0.002438,2.92E-09,1351,3.97E-13,27.76,0,-0.0199,-6.597,-9.098,-13.17,-18.88,-60.31,-46.39,0,-57.74,-44.77,-55.63,-44.66,-56.62,-49.62,-61.65,-59.96
9.80E-06,0.002142,6.88E-10,1407,8.51E-13,1054,0,-0.01972,-6.607,-9.111,-13.17,-18.86,-40.11,-34.52,0,-54.85,-44.45,-59.05,-54.03,-64.77,-65.6,-71.28,-78.14
8.83E-06,0.0009545,4.78E-10,476.3,1.68E-13,845.9,1,-0.01965,-6.588,-9.119,-13.18,-18.87,-2.554,-4.9,0,-0.99,5.308,-4.988,0.3952,-14.41,-14.61,-26.04,-32.35
3.04E-06,0.001623,5.03E-10,69.38,2.00E-13,722.7,1,-0.01974,-6.577,-9.068,-13.13,-18.83,-18.66,-37.34,0,-17.83,-29.16,-17.95,-26.94,-20.36,-27.73,-23.79,-28.93
4.41E-06,0.0006516,1.47E-09,725.1,8.47E-13,615.2,1,-0.01969,-6.584,-9.093,-13.17,-18.89,1.791,3.926,1,2.079,11.46,-1.238,7.705,-7.528,-0.3412,-16.9,-13.39
4.24E-06,0.002324,2.94E-09,961.4,9.88E-13,1459,0,-0.01967,-6.583,-9.084,-13.16,-18.88,-48.06,-46.58,0,-52.54,-39.95,-53.77,-41.91,-55.43,-45.79,-58.7,-53.15
3.19E-06,0.001499,1.17E-09,1063,3.21E-13,134.5,0,-0.0197,-6.581,-9.077,-13.14,-18.86,-34.05,-24.41,0,-41.17,-30.75,-44.13,-33.21,-48.23,-37.95,-53.23,-45.7
4.68E-06,0.001513,9.31E-10,1371,7.28E-14,883.9,0,-0.01966,-6.584,-9.087,-13.16,-18.88,-47.69,-42.74,0,-40.19,-31.55,-41.3,-30.16,-45.75,-36.23,-53.38,-49.02
1.35E-06,0.0009624,9.20E-10,1087,8.81E-13,183.3,0,-0.01974,-6.58,-9.07,-13.13,-18.82,-13.49,-8.291,0,-19.43,-12.73,-21.89,-15.09,-25.99,-19.32,-31.86,-25.74
7.06E-06,0.0006624,2.46E-10,1092,5.79E-13,1410,0,-0.01963,-6.592,-9.104,-13.17,-18.88,-10.19,-8.793,0,-12.69,-0.5595,-16.78,-7.793,-24.24,-20.24,-34.89,-36.74
2.88E-06,0.001213,2.03E-09,559.5,4.35E-13,973.6,0,-0.01972,-6.579,-9.076,-13.15,-18.86,-5.249,-8.152,0,-3.727,3.059,-6.043,1.159,-10.4,-3.157,-17.32,-10.5
2.14E-06,0.0006948,5.58E-10,544.9,3.85E-13,1465,1,-0.01975,-6.579,-9.071,-13.13,-18.83,-6.201,-12.33,0,-2.507,1.645,-4.775,-0.3911,-9.006,-4.774,-15.47,-11.97
9.43E-06,0.00131,1.26E-09,886.1,8.40E-13,458.7,0,-0.01955,-6.602,-9.111,-13.17,-18.86,-32.74,-26.21,0,-40.98,-30.19,-46.2,-40.34,-54.31,-54.17,-63.72,-69.53
7.66E-06,0.001205,9.73E-11,1267,1.48E-13,579.4,0,-0.01959,-6.595,-9.106,-13.17,-18.87,-42.53,-35.28,0,-43.08,-31.89,-46.2,-37.18,-52.95,-49.46,-61.93,-64.51
4.51E-06,0.001497,1.63E-09,1384,5.34E-13,719.8,0,-0.01967,-6.584,-9.086,-13.16,-18.88,-47.33,-41.01,0,-57.83,-44,-56.71,-43.92,-56.63,-46.9,-59.42,-54.57
7.48E-06,0.001479,2.13E-09,421,8.37E-13,886.1,0,-0.01965,-6.599,-9.117,-13.18,-18.88,-4.709,-7.504,0,-1.758,7.7,-6.829,0.1463,-15.17,-12.61,-25.83,-28.27
4.50E-06,0.002277,2.72E-09,76.34,3.34E-13,294.2,1,-0.01972,-6.576,-9.069,-13.15,-18.9,-11.74,-23.51,0,-11.62,-16.75,-8.799,-8.679,-6.649,-0.5351,-12.32,-4.759
6.10E-06,0.0007105,2.10E-09,1134,9.19E-13,1279,0,-0.01964,-6.588,-9.096,-13.17,-18.88,-15.21,-12.14,0,-19,-6.385,-22.5,-12.13,-29.06,-22.91,-39.02,-38.3
4.63E-06,0.001276,6.21E-10,1365,6.49E-13,906.1,0,-0.01966,-6.584,-9.086,-13.16,-18.88,-43.53,-38.28,0,-51.64,-37.82,-53.05,-40.45,-55.04,-45.65,-58.81,-54.4
1.65E-06,0.001694,1.87E-10,1424,9.53E-14,1451,0,-0.01974,-6.58,-9.07,-13.13,-18.82,-44.31,-43.54,0,-53.38,-46.11,-54.66,-45.68,-54.81,-45.49,-55.39,-47.03
6.67E-06,0.001314,2.81E-09,794.2,5.46E-13,98.89,0,-0.01962,-6.59,-9.101,-13.17,-18.88,-23.54,-12.87,0,-30.81,-19.66,-34.65,-25.22,-41.61,-36.49,-51.56,-51.8
3.94E-06,0.001051,2.63E-09,295.5,9.63E-13,413,1,-0.01971,-6.579,-9.078,-13.15,-18.89,-2.891,-5.757,0,-2.498,1.578,-4.479,0.1386,-7.75,-2.158,-13.74,-7.581
5.23E-06,0.002317,3.33E-10,578.1,8.74E-13,911.3,0,-0.01965,-6.586,-9.091,-13.17,-18.88,-31.92,-32.55,0,-35,-24.22,-38.06,-28.44,-43.76,-37.31,-52.5,-50.96
4.70E-06,0.00122,1.27E-10,59.23,2.67E-13,615.7,1,-0.01973,-6.577,-9.073,-13.15,-18.86,-18.31,-36.64,0,-16.68,-26.86,-17.23,-25.48,-21.29,-29.54,-28.87,-39.04
8.75E-06,0.001612,1.35E-09,637.6,9.31E-13,110.1,0,-0.01957,-6.6,-9.11,-13.17,-18.87,-23.48,-13.49,0,-31.34,-21.12,-36.3,-29.99,-44.61,-43.73,-55.34,-60.24
4.52E-06,0.0006155,1.70E-09,1249,7.73E-13,584.1,0,-0.01967,-6.584,-9.086,-13.16,-18.88,-9.587,-3.286,0,-14.25,-1.885,-17.22,-5.727,-22.69,-13.8,-31.39,-27.05
4.59E-06,0.002293,1.99E-09,380.7,2.84E-13,882.4,0,-0.01968,-6.582,-9.087,-13.16,-18.88,-14.17,-18.91,0,-13.89,-7.684,-16.29,-8.583,-21.63,-14.67,-30.27,-26.14
4.30E-06,0.001546,1.88E-09,1229,1.99E-13,164.1,0,-0.01967,-6.583,-9.084,-13.16,-18.88,-42.22,-31.26,0,-48.24,-36.73,-50.04,-38.33,-53.09,-43.24,-57.64,-52.24
2.64E-06,0.0007463,6.48E-10,463,2.10E-14,77,1,-0.01971,-6.581,-9.073,-13.14,-18.84,3.213,6.496,1,-3.371,-0.1062,-5.93,-2.721,-10.24,-7.244,-16.74,-14.45
8.41E-06,0.00224,1.54E-09,1343,7.80E-13,554.2,0,-0.01972,-6.602,-9.109,-13.17,-18.87,-46.08,-38,0,-55.07,-43.11,-58.18,-50.99,-62.89,-61.37,-68.92,-73.34
5.42E-06,0.000815,2.40E-09,1271,3.73E-13,985.5,0,-0.01965,-6.586,-9.091,-13.17,-18.88,-27.57,-23.6,0,-32.92,-19.76,-36.02,-24.29,-41.78,-33.89,-50.59,-47.98
6.76E-06,0.001279,9.68E-10,638.9,8.50E-13,442.8,0,-0.01962,-6.591,-9.103,-13.17,-18.88,-12.36,-8.429,0,-16.79,-5.807,-20.67,-12.07,-27.91,-23.79,-38.39,-39.79
9.42E-06,0.001047,1.21E-09,1430,4.33E-13,1384,0,-0.01955,-6.603,-9.111,-13.17,-18.86,-46.35,-42.88,0,-53.68,-41.93,-57.2,-50.81,-62.17,-61.67,-68.26,-73.81
4.68E-06,0.0008889,1.03E-09,52.27,7.90E-13,1074,1,-0.01973,-6.579,-9.075,-13.15,-18.87,-22.29,-44.59,0,-15.49,-24.48,-16.32,-23.66,-17.28,-21.56,-19.47,-20.17
9.32E-06,0.002333,2.94E-09,1351,8.84E-13,1232,0,-0.0198,-6.606,-9.11,-13.17,-18.87,-36.06,-31.4,0,-55.9,-45.1,-59.6,-54,-64.64,-64.81,-70.78,-76.89
5.42E-06,0.001145,5.44E-10,968.2,3.63E-13,1299,0,-0.01965,-6.586,-9.092,-13.17,-18.88,-29.67,-29.27,0,-33.67,-21.26,-36.76,-25.59,-42.55,-35.17,-51.4,-49.35
3.04E-06,0.001302,1.67E-10,1386,5.17E-13,566,0,-0.0197,-6.581,-9.076,-13.14,-18.85,-40.2,-33.45,0,-47.53,-35.09,-49.51,-37.17,-52.05,-40.91,-55.12,-47.06
5.09E-06,0.00223,1.63E-09,537.4,7.58E-13,963.5,0,-0.01965,-6.585,-9.09,-13.17,-18.88,-28.03,-29.77,0,-30.3,-19.98,-33.32,-23.77,-39.01,-32.09,-47.92,-45.33
5.89E-06,0.001414,1.51E-09,921.6,2.07E-13,297.1,0,-0.01963,-6.588,-9.096,-13.17,-18.88,-32.56,-24.56,0,-41.27,-30.78,-45.76,-35.27,-51.72,-45.01,-58.92,-57.71
1.79E-06,0.002378,7.26E-10,1129,5.42E-13,1486,0,-0.01974,-6.581,-9.071,-13.13,-18.82,-46.06,-46.28,0,-48.55,-39.58,-50.4,-41.38,-52.65,-43.89,-54.87,-47.07
2.86E-06,0.001441,1.25E-09,1009,6.03E-13,770,0,-0.0197,-6.581,-9.075,-13.14,-18.85,-32.25,-29.17,0,-36.94,-26.17,-39.43,-28.66,-43.55,-33.5,-49.37,-41.46
5.62E-06,0.0009453,1.66E-09,902,4.49E-14,1171,0,-0.01965,-6.586,-9.091,-13.17,-18.88,-17.78,-17.61,0,-24.08,-20.71,-26.93,-19.91,-32.74,-25.5,-41.81,-39.89
3.49E-06,0.0005141,2.64E-09,278.9,3.23E-14,1186,1,-0.01974,-6.578,-9.065,-13.12,-18.85,-10.39,-20.78,0,-14.88,-23.23,-13.88,-18.8,-12.04,-11.34,-12.28,-5.694
1.32E-06,0.001305,9.34E-10,216.5,4.48E-13,250.7,1,-0.01975,-6.579,-9.068,-13.13,-18.81,-8.954,-17.9,0,-13.58,-20.61,-15.61,-22.18,-19.15,-25.22,-23.41,-28.19
7.56E-06,0.002409,2.51E-09,319,3.16E-13,655.4,0,-0.01962,-6.593,-9.112,-13.18,-18.88,-10.47,-14.05,0,-10.47,-3,-14.42,-7.048,-22.26,-19.29,-32.81,-34.78
4.88E-06,0.00214,1.49E-09,827.9,7.88E-13,193.1,0,-0.01966,-6.585,-9.088,-13.16,-18.88,-38.66,-29.97,0,-46.47,-34.54,-49.08,-37.97,-53.07,-44.93,-58.6,-55.21
5.77E-06,0.002212,1.43E-09,494.1,5.59E-13,1064,0,-0.01964,-6.587,-9.095,-13.17,-18.88,-26.02,-29.23,0,-27.49,-17.28,-30.78,-21.62,-37.07,-31.37,-46.69,-45.87
1.21E-06,0.0009346,2.07E-09,140.7,9.71E-13,1018,1,-0.01976,-6.58,-9.068,-13.13,-18.81,-16.27,-32.59,0,-16.39,-26.31,-17.89,-26.8,-19.33,-25.57,-19.97,-21.18
1.86E-06,0.002291,4.68E-10,350,2.78E-13,1032,1,-0.01974,-6.579,-9.07,-13.13,-18.83,-10.17,-19.07,0,-9.546,-10.78,-11.6,-12.31,-15.6,-16.21,-21.53,-22.27
9.50E-06,0.001625,2.87E-09,1172,1.76E-13,820.9,0,-0.01954,-6.603,-9.111,-13.17,-18.86,-49.34,-44.37,0,-41.36,-30.15,-45.96,-39.51,-54.15,-53.82,-64.29,-69.99
9.24E-06,0.001342,2.11E-09,646.1,3.03E-13,492.3,0,-0.01957,-6.601,-9.11,-13.17,-18.87,-18.12,-14.45,0,-24.47,-14.48,-29.45,-23.34,-37.93,-37.61,-48.94,-54.41
4.88E-06,0.0005611,2.04E-09,1310,4.42E-13,1392,0,-0.01967,-6.584,-9.088,-13.16,-18.88,-9.697,-7.544,0,-12.16,0.3916,-15.27,-3.777,-21.03,-12.63,-30.14,-26.64
9.22E-06,0.00107,5.44E-10,1493,2.64E-13,707.4,0,-0.01955,-6.602,-9.111,-13.17,-18.87,-46.51,-39.09,0,-45.92,-34.09,-50.51,-43.74,-57.97,-57.13,-66.46,-71.72
3.65E-06,0.001301,8.64E-10,183.7,3.96E-13,549,1,-0.01973,-6.577,-9.073,-13.14,-18.86,-8.428,-16.86,0,-7.152,-7.786,-8.648,-8.283,-12.41,-11.7,-18.2,-17.41
8.94E-06,0.001436,1.50E-09,672.4,2.85E-13,861,0,-0.01957,-6.6,-9.11,-13.17,-18.87,-24.96,-24.43,0,-30.56,-19.83,-35.4,-28.75,-43.72,-42.94,-54.49,-59.64
7.40E-06,0.001005,9.23E-10,154.2,1.04E-13,400.1,1,-0.01969,-6.58,-9.083,-13.17,-18.88,-7.117,-14.25,0,-11.47,-16.41,-11.2,-13.36,-14.94,-16.66,-24,-29.12
6.17E-06,0.0007803,1.22E-09,937.3,3.82E-13,652.5,0,-0.01964,-6.588,-9.099,-13.17,-18.88,-7.785,-3.692,0,-11.67,-0.04864,-15.24,-5.291,-22.07,-16.37,-32.28,-32.11
5.33E-06,0.001412,6.21E-10,130.8,4.18E-14,223.8,1,-0.0197,-6.581,-9.076,-13.15,-18.87,-5.843,-11.71,0,-12.26,-17.99,-14.38,-19.73,-17.43,-21.76,-22.5,-26.08
4.73E-06,0.0008726,5.51E-10,1182,4.83E-13,839.3,0,-0.01966,-6.584,-9.086,-13.16,-18.88,-25.54,-21.24,0,-30.44,-17.71,-33.33,-21.54,-38.66,-29.9,-47.08,-43.2
2.65E-06,0.001771,6.58E-10,1043,4.76E-13,216.1,0,-0.01971,-6.581,-9.074,-13.14,-18.84,-36.58,-28.77,0,-43.67,-33.59,-46.09,-35.63,-49.47,-39.52,-53.47,-45.52
5.78E-06,0.0009436,1.76E-09,656.9,6.62E-13,1005,0,-0.01967,-6.589,-9.106,-13.18,-18.89,-2.902,-3.549,0,-1.009,9.478,-5.01,4.183,-12.3,-6.497,-22.63,-21.73
9.93E-06,0.002108,3.09E-10,902,3.99E-13,266,0,-0.01953,-6.605,-9.111,-13.17,-18.86,-47.12,-37.78,0,-49.65,-39.53,-54.19,-49.04,-61.32,-62.09,-69.13,-75.95
2.17E-06,0.0005167,4.39E-10,1039,5.12E-13,848.6,1,-0.01973,-6.58,-9.074,-13.14,-18.84,0.9725,2.688,1,0.5017,8.754,-2.046,6.237,-6.749,1.072,-14.13,-7.814
4.56E-06,0.001547,7.00E-10,260,2.49E-13,1160,1,-0.01972,-6.574,-9.079,-13.16,-18.88,-9.905,-19.72,0,-4.171,-1.687,-5.119,-0.9352,-10.16,-6.6,-18.91,-18.15
8.82E-06,0.001351,2.88E-09,157.5,4.50E-13,67.72,1,-0.01961,-6.591,-9.111,-13.18,-18.87,1.105,2.184,1,-4.602,-2.637,-6.699,-4.202,-12.73,-12.08,-22.54,-26.18
6.39E-06,0.001584,2.42E-09,35.93,7.58E-13,1273,1,-0.01972,-6.577,-9.082,-13.18,-18.89,-25.92,-51.85,0,-11.3,-16.11,-8.459,-8.015,-8.14,-3.23,-16.59,-14.13
3.75E-06,0.001519,1.17E-09,110.7,1.50E-13,519.9,1,-0.01973,-6.577,-9.067,-13.13,-18.86,-12.3,-24.61,0,-14.27,-22.02,-13.26,-17.55,-13.99,-15,-16.54,-14.32
5.41E-06,0.001558,3.38E-10,608.2,7.25E-14,685.4,0,-0.01965,-6.585,-9.091,-13.17,-18.88,-19.24,-18.59,0,-25.47,-21.99,-28.15,-21.56,-33.82,-27.34,-42.97,-41.53
6.02E-06,0.001537,1.60E-09,642.3,1.68E-13,1437,0,-0.01964,-6.587,-9.096,-13.17,-18.88,-24.9,-28.59,0,-27.19,-18.36,-30.32,-20.2,-36.62,-30.38,-46.34,-45.61
2.79E-06,0.001675,2.09E-09,1113,4.37E-13,778.4,0,-0.01971,-6.581,-9.075,-13.14,-18.85,-39.46,-35.9,0,-45.69,-34.63,-47.83,-36.6,-50.81,-40.18,-54.3,-45.65
4.24E-06,0.001052,2.47E-09,1033,3.11E-13,20.72,0,-0.01967,-6.583,-9.083,-13.16,-18.87,-23.24,-11.15,0,-29.93,-18.07,-32.76,-21.54,-37.89,-28.56,-45.98,-40.47
6.71E-06,0.0009549,2.83E-09,663.4,4.74E-13,1153,0,-0.01966,-6.593,-9.111,-13.18,-18.88,-4.4,-5.954,0,-2.197,8.663,-6.647,2.259,-14.5,-9.853,-25.08,-25.62
5.12E-06,0.001167,1.06E-09,1089,7.55E-13,636.4,0,-0.01965,-6.585,-9.09,-13.17,-18.88,-32.82,-27.27,0,-38.61,-25.59,-41.56,-29.95,-46.87,-38.73,-54.69,-51.65
9.91E-06,0.000559,2.67E-09,282.7,6.45E-13,406.8,1,-0.01964,-6.599,-9.114,-13.17,-18.87,-2.562,-5.139,0,-2.695,1.281,-7.927,-6.612,-16.05,-18.83,-25.75,-32.69
7.60E-06,0.001181,1.31E-09,1248,8.71E-13,102.3,0,-0.01959,-6.595,-9.107,-13.17,-18.87,-39.94,-26.74,0,-49.34,-36.81,-53.26,-44.38,-58.36,-54.78,-64.57,-66.86
1.14E-06,0.000656,1.43E-09,214.7,9.68E-13,1361,1,-0.01976,-6.58,-9.068,-13.13,-18.81,-13.54,-27.12,0,-13.53,-20.57,-15.75,-22.53,-18.94,-24.85,-22.08,-25.53
8.29E-06,0.001797,4.21E-10,459.6,1.04E-13,460.6,0,-0.01959,-6.596,-9.108,-13.17,-18.87,-13.31,-11.82,0,-19.94,-15.87,-23.87,-18.6,-31.5,-30.37,-42.32,-47.25
