fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_width Vout_1 14G,eye_maxHeight Vout_2 14G,eye_width_XY Vout_2 14G,eye_maxWidth Vout_1 14G,eye_height_XY Vout_2 14G,eye_maxHeight Vout_1 14G,eye_height_XY Vout_1 14G,eye_width_XY Vout_1 14G,eye_height Vout_2 14G,eye_height Vout_1 14G,eye_width Vout_2 14G,eye_maxWidth Vout_2 14G,eye_width Vout_1 28G,eye_height_XY Vout_2 28G,eye_width_XY Vout_1 28G,eye_height Vout_1 28G,eye_width_XY Vout_2 28G,eye_maxWidth Vout_1 28G,eye_maxHeight Vout_1 28G,eye_height Vout_2 28G,eye_maxHeight Vout_2 28G,eye_maxWidth Vout_2 28G,eye_width Vout_2 28G,eye_height_XY Vout_1 28G,eye_height Vout_1 56G,eye_width_XY Vout_2 56G,eye_maxWidth Vout_1 56G,eye_width Vout_1 56G,eye_maxHeight Vout_2 56G,eye_height Vout_2 56G,eye_maxWidth Vout_2 56G,eye_maxHeight Vout_1 56G,eye_width Vout_2 56G,eye_height_XY Vout_2 56G,eye_height_XY Vout_1 56G,eye_width_XY Vout_1 56G
3.45e-06,0.002119,2.944e-09,952.2,2.617e-13,490.3,-0.01969,-41.19,-36.13,-6.582,-50.65,-40.4,-9.078,-52.77,-41.52,-13.15,-54.32,-43.82,-18.86,-56.74,-49.03,0.1551,0.2133,0.1973,1.343e-10,1.366e-10,1.366e-10,0.00458,0.006512,0.006067,1.347e-10,1.368e-10,1.368e-10,1.0,2.0,6.221e-11,0.005434,6.422e-11,6.365e-11,0.004713,0.1761,0.1545,6.356e-11,0.002553,0.09226,6.223e-11,6.429e-11,2.336e-11,0.002656,2.525e-11,-0.01685,2.527e-11,2.547e-11,0.09116,-0.0007517,0.002675,2.553e-11,2.344e-11,0.08917,-0.1165,2.651e-13,0.0,0.0,0.0,-0.003211,0.0,0.0,0.0,1.624e-05,0.0002956,7.841e-14
4.077e-06,0.001602,5.788999999999998e-10,893.8,3.305e-13,987.2,-0.01968,-34.73,-33.57,-6.583,-40.03,-28.8,-9.082,-42.62,-31.32,-13.15,-47.07,-37.74,-18.87,-53.53,-48.33,0.3285,0.3111,0.3107,1.319e-10,1.345e-10,1.345e-10,0.02297,0.01973,0.01972,1.249e-10,1.298e-10,1.298e-10,1.0,2.0,6.069e-11,0.02035,5.401e-11,6.269e-11,0.02026,0.3218,0.3216,6.269e-11,0.01298,0.2668,4.936e-11,5.406e-11,2.145e-11,0.006741,2.387e-11,0.004716,1.68e-11,2.43e-11,0.1646,-0.008996,0.006836,1.705e-11,1.598e-11,0.1612,-0.1931,2.591e-13,0.0,0.0,0.0,-0.01817,0.0,0.0,0.0,0.0001426,0.0005986,8.532e-14
2.991e-06,0.001342,1.257e-09,1360.0,4.114e-13,659.1,-0.0197,-40.5,-34.62,-6.581,-48.21,-36.01,-9.076,-50.11,-37.84,-13.14,-52.41,-41.17,-18.85,-55.22,-46.81,0.452,0.4556,0.4554,1.383e-10,1.39e-10,1.389e-10,0.007884,0.00763,0.007608,1.372e-10,1.387e-10,1.387e-10,1.0,2.0,6.703e-11,0.007721,6.709e-11,6.731e-11,0.006884,0.4477,0.4111,6.73e-11,0.004777,0.2872,6.692e-11,6.725e-11,2.578e-11,0.004382,2.765e-11,-0.0115,2.764e-11,2.766e-11,0.2605,0.0004825,0.004651,2.767e-11,2.58e-11,0.2552,-0.2347,3.993e-14,0.0,0.0,0.0,-0.004377,0.0,0.0,0.0,5.541e-06,0.0002507,1.988e-13
2.882e-06,0.001226,5.47e-10,449.5,6.688e-13,1118.0,-0.01973,-5.547,-10.56,-6.579,-2.074,3.425,-9.076,-4.575,1.004,-13.15,-9.206,-3.992,-18.86,-16.59,-12.68,0.2809,0.3443,0.3439,1.129e-10,1.181e-10,1.18e-10,0.2656,0.1192,0.119,9.117e-11,1.097e-10,1.095e-10,2.0,2.0,4.922e-11,0.1648,3.495e-11,5.026e-11,0.1617,0.3195,0.2811,4.837e-11,0.09573,0.1777,3.308e-11,3.513e-11,9.137e-12,0.04126,1.333e-11,-0.1129,4.889e-12,1.525e-11,0.1054,-0.1491,0.04371,7.277e-12,5.028e-12,0.1041,-0.278,4.221e-14,0.0,0.0,0.0,-0.4341,0.0,0.0,0.0,0.001041,0.001637,1.549e-13
6.932e-06,0.002245,2.058e-09,45.26,6.137000000000001e-13,319.8,-0.0197,-15.5,-31.02,-6.577,-10.92,-15.34,-9.087,-8.459,-8.004,-13.18,-9.645,-6.158,-18.89,-18.25,-17.58,0.0419,0.1106,0.09561,1.323e-10,1.346e-10,1.345e-10,0.005959,0.03436,0.03434,1.312e-10,1.34e-10,1.34e-10,2.0,2.0,4.736e-11,0.03499,5.749e-11,5.344e-11,0.03492,0.05067,0.05055,5.322e-11,0.0004006,-0.04771,5.249e-11,5.75e-11,0.0,0.0303,4.621e-13,-0.07269,1.67e-11,0.0,0.0,-0.006567,0.03076,1.675e-11,4.048e-12,0.0001693,-0.0538,4.785e-13,0.0,0.0,0.0,-0.03078,0.0,0.0,0.0,0.0004746,1.861e-05,8.269e-15
2.295e-06,0.0011639999999999,1.8479999999999998e-09,830.8,5.696000000000001e-13,662.1,-0.01972,-14.83,-13.1,-6.58,-18.53,-10.26,-9.073,-21.01,-12.56,-13.14,-25.23,-16.89,-18.84,-31.54,-23.79,0.3542,0.4568,0.4302,1.318e-10,1.336e-10,1.336e-10,0.2216,0.2205,0.2203,1.231e-10,1.275e-10,1.275e-10,1.0,2.0,5.908e-11,0.2347,5.721e-11,6.057e-11,0.211,0.3853,0.3233,6.05e-11,0.1514,0.1776,5.515e-11,5.723e-11,2.076e-11,0.118,2.24e-11,-0.05406,2.024e-11,2.279e-11,0.1896,-0.01343,0.1324,2.103e-11,1.918e-11,0.1777,-0.1836,1.026e-12,0.0,0.0,0.0,-0.1435,0.0,0.0,0.0,0.003231,0.00111,3.095e-13
1.439e-06,0.00137,2.315e-09,744.9,9.601000000000001e-13,606.2,-0.01974,-11.53,-11.84,-6.58,-15.28,-10.93,-9.07,-17.73,-13.27,-13.13,-21.71,-17.05,-18.82,-27.22,-21.91,0.1214,0.3079,0.2539,1.167e-10,1.223e-10,1.212e-10,0.1541,0.2527,0.2207,1.155e-10,1.198e-10,1.195e-10,1.0,2.0,4.554e-11,0.1939,4.882e-11,5.1e-11,0.1523,0.2045,0.162,5.045e-11,0.08435,0.01013,4.868e-11,4.89e-11,0.0,0.07865,1.19e-11,-0.07472,1.556e-11,0.0,0.0,-0.02743,0.0,0.0,0.0,0.05254,-0.1208,3.413e-13,0.0,0.0,0.0113,-0.1027,2.562e-12,0.0,-4.104e-13,0.001549,0.001039,3.744e-13
8.490999999999999e-06,0.001273,5.948e-11,810.6,9.222000000000001e-14,762.7,-0.01958,-27.96,-25.39,-6.598,-38.09,-31.14,-9.108,-44.9,-37.89,-13.17,-53.43,-51.82,-18.87,-62.15,-66.76,0.2903,0.3447,0.3425,1.165e-10,1.241e-10,1.241e-10,0.04767,0.06202,0.06169,1.174e-10,1.246e-10,1.246e-10,1.0,2.0,5.136e-11,0.03441,5.387e-11,5.35e-11,0.03434,0.2967,0.2776,5.342e-11,0.02595,0.2462,5.137e-11,5.393e-11,1.399e-11,2.938e-05,1.455e-11,-0.1072,3.997e-13,1.475e-11,0.0408,-0.03811,0.0,0.0,0.0,0.04065,-0.1552,3.102e-13,6.126e-13,-8.772e-12,0.0,-0.02823,0.0,0.003241,0.0,0.0001093,0.0003523,9.525e-14
1.0229999999999998e-06,0.001585,2.688e-09,546.3,6.283e-13,1074.0,-0.01975,-10.14,-18.89,-6.58,-12.91,-17.31,-9.068,-15.21,-19.42,-13.13,-18.66,-22.29,-18.81,-22.3,-24.08,0.02881,0.1089,0.08312,1.114e-10,1.161e-10,1.154e-10,0.02742,0.0513,0.04189,1.124e-10,1.177e-10,1.166e-10,2.0,2.0,3.967e-11,0.03653,4.812e-11,4.511e-11,0.02948,0.06395,0.04926,4.508e-11,0.008106,-0.002401,4.362e-11,4.846e-11,0.0,0.01653,1.036e-11,-0.02172,1.438e-11,0.0,0.0,0.004851,0.0,0.0,0.0,0.01387,-0.04943,5.338e-12,1.78e-13,1.005e-12,0.01441,0.005803,5.374e-12,0.001179,5.077e-12,0.01381,0.0004054,6.062e-13
8.784000000000001e-06,0.001689,1.221e-09,497.4,3.894e-13,435.5,-0.01958,-14.68,-12.17,-6.599,-19.86,-10.34,-9.11,-24.69,-18.56,-13.17,-33.09,-32.57,-18.87,-44.14,-49.41,0.2987,0.3996,0.3708,1.36e-10,1.376e-10,1.375e-10,0.2764,0.4825,0.4822,1.112e-10,1.226e-10,1.225e-10,1.0,2.0,5.141e-11,0.2013,4.753e-11,5.502e-11,0.1998,0.1617,0.161,5.496e-11,-0.0007908,-0.01487,3.87e-11,4.769e-11,-1.534e-11,0.004549,4.2e-14,-0.1922,3.308e-13,3.513e-12,0.00489,-0.3304,0.0,0.0,0.0,0.0002439,-0.1486,4.078e-13,0.0,0.0,0.0,-0.2658,0.0,0.0,0.0,0.001389,0.0001982,1.581e-13
4.319e-06,0.001429,1.224e-09,1249.0,1.9040000000000005e-13,405.8,-0.01967,-41.58,-33.47,-6.583,-49.45,-38.11,-9.084,-51.88,-39.74,-13.16,-54.37,-44.44,-18.88,-58.08,-52.81,0.3225,0.387,0.3769,1.221e-10,1.279e-10,1.278e-10,0.0008389,0.004917,0.003865,9.835e-11,1.12e-10,1.119e-10,1.0,2.0,5.216e-11,0.002089,3.129e-11,5.535e-11,0.00175,0.3546,0.3139,5.533e-11,0.0006793,0.3062,2.082e-11,3.135e-11,1.884e-11,3.43e-05,1.989e-11,0.05427,4.05e-13,2.018e-11,0.1697,-0.002569,0.0,0.0,0.0,0.1693,-0.2229,4.777e-14,0.0,0.0,0.0,-0.002836,0.0,0.0,0.0,1.916e-05,0.0008347,5.719e-13
5.185e-06,0.002276,8.352000000000001e-10,272.9,5.511e-14,704.7,-0.01969,-6.995,-12.89,-6.579,-11.58,-15.43,-9.075,-11.07,-11.66,-13.16,-12.87,-9.855,-18.89,-21.5,-20.53,0.006628,0.0574,0.04373,1.134e-10,1.22e-10,1.219e-10,0.008644,0.04608,0.02327,1.397e-10,1.405e-10,1.405e-10,2.0,2.0,3.701e-11,0.03463,6.648e-11,4.506e-11,0.0327,0.02948,0.02474,4.503e-11,0.02889,-0.0146,6.638e-11,6.654e-11,0.0,0.02895,7.202e-12,-0.0278,2.561e-11,0.0,0.0,0.02609,0.03127,2.601e-11,2.466e-11,0.003507,-0.04248,5.399e-12,0.0,0.0,0.00074,-0.02468,5.511e-12,0.0,4.06e-12,0.0005029,7.189e-05,1.441e-13
4.705e-06,0.002439,1.6910000000000003e-09,863.5,4.629e-13,779.7,-0.01966,-45.26,-42.66,-6.584,-55.14,-42.99,-9.087,-55.6,-44.11,-13.16,-56.55,-47.95,-18.88,-59.85,-55.98,0.05382,0.09875,0.08377,1.224e-10,1.254e-10,1.254e-10,0.001449,0.002712,0.002322,1.107e-10,1.189e-10,1.189e-10,1.0,2.0,5.423e-11,0.001595,4.952e-11,5.399e-11,0.001501,0.0606,0.05295,5.355e-11,0.0001765,0.0002323,5.012e-11,5.103e-11,1.032e-11,4.568e-05,1.144e-11,-0.05107,8.368e-12,1.316e-11,0.009474,-0.001413,4.577e-05,8.725e-12,4.714e-12,0.009278,-0.04721,6.717e-14,0.0,0.0,0.0,-0.001333,0.0,0.0,0.0,1.853e-06,0.0003066,7.862e-14
5.767e-06,0.001686,1.133e-09,1251.0,2.2560000000000002e-13,16.69,-0.01964,-46.62,-32.17,-6.588,-52.11,-38.79,-9.096,-52.89,-41.83,-13.17,-54.92,-48.05,-18.88,-59.75,-58.31,0.059,0.3538,0.3092,8.328e-11,1.002e-10,1.001e-10,2.434e-05,0.00356,0.003,7.965e-11,9.772e-11,9.762e-11,1.0,2.0,-1.187e-11,0.0,2.507e-12,7.993e-12,8.487e-05,0.02581,0.01018,7.991e-12,-0.001277,-0.108,0.0,0.0,0.0,7.547e-06,1.007e-13,-0.2179,2.317e-13,0.0,0.0,-0.002594,0.0,0.0,0.0,0.0005836,-0.2154,2.255e-14,0.0,0.0,0.0,-0.002024,0.0,0.0,0.0,2.662e-06,0.001074,1.721e-13
2.054e-06,0.0005265,4.732e-10,1267.0,4.3230000000000004e-13,457.9,-0.01972,0.9128,6.316,-6.58,-3.082,6.064,-9.073,-5.552,3.751,-13.14,-10.09,-1.237,-18.84,-17.14,-9.859,0.2709,0.4384,0.3951,1.362e-10,1.381e-10,1.381e-10,0.2589,0.3124,0.308,1.393e-10,1.397e-10,1.397e-10,1.0,2.0,5.991e-11,0.2775,6.783e-11,6.291e-11,0.2536,0.3331,0.2907,6.283e-11,0.163,0.1044,6.708e-11,6.79e-11,1.761e-11,0.1374,2.151e-11,-0.07199,2.779e-11,2.152e-11,0.1422,-0.03782,0.14,2.798e-11,2.516e-11,0.1386,-0.1846,1.679e-13,0.0,0.0,0.0,-0.125,0.0,0.0,0.0,0.0005345,0.0006865,1.407e-13
1.906e-06,0.0007949999999999,5.434e-11,1096.0,8.617000000000003e-13,982.2,-0.01973,-10.92,-8.883,-6.58,-14.34,-5.503,-9.071,-16.87,-8.073,-13.13,-21.12,-12.68,-18.83,-27.42,-20.2,0.1711,0.3392,0.284,1.119e-10,1.159e-10,1.152e-10,0.03269,0.112,0.1073,1e-10,1.046e-10,1.044e-10,1.0,2.0,4.311e-11,0.08438,3.669e-11,4.42e-11,0.07065,0.2144,0.1735,4.399e-11,0.01357,0.05537,3.999e-11,3.931e-11,0.0,0.01059,6.538e-12,-0.09721,3.24e-12,0.0,0.0,-0.07138,0.01122,7.7e-12,4.143e-12,0.003012,-0.2097,2.241e-13,0.0,0.0,0.0,-0.1116,0.0,0.0,0.0,0.0004419,0.0002367,6.126e-14
8.378e-06,0.001666,1.676e-09,671.0,7.652000000000001e-13,69.83,-0.01957,-26.62,-15.36,-6.598,-34.69,-24.39,-9.109,-39.6,-32.72,-13.17,-47.71,-46.08,-18.87,-58.04,-62.13,0.07003,0.3073,0.2867,7.779e-11,9.601e-11,9.591e-11,-0.04275,0.1329,0.1324,7.182e-11,9.158e-11,9.145e-11,1.0,2.0,0.0,0.0,1.472e-12,0.0,0.0004368,0.0,0.004587,1.631e-12,-0.2131,-0.2342,0.0,0.0,0.0,0.0002748,2.837e-13,-0.2372,1.627e-13,0.0,0.0,-0.1559,0.0,0.0,0.0,0.0005059,-0.1894,2.579e-13,0.0,0.0,0.0,-0.1199,0.0,0.0,0.0,0.0002795,0.0002713,3.945e-14
3.7e-06,0.001485,9.112e-10,1213.0,3.7870000000000004e-13,580.4,-0.01968,-40.9,-34.81,-6.582,-49.91,-37.56,-9.08,-51.72,-39.39,-13.15,-53.72,-43.18,-18.87,-56.76,-50.11,0.4675,0.46,0.4592,1.416e-10,1.417e-10,1.417e-10,0.008666,0.008653,0.008651,1.401e-10,1.409e-10,1.409e-10,1.0,2.0,6.964e-11,0.008529,6.876e-11,6.988e-11,0.008014,0.4571,0.4341,6.984e-11,0.005125,0.3413,6.853e-11,6.876e-11,2.645e-11,0.003989,2.935e-11,-0.009867,2.771e-11,2.936e-11,0.2515,-0.0004483,0.004143,2.776e-11,2.496e-11,0.2507,-0.1895,1.018e-13,0.0,0.0,0.0,-0.00433,0.0,0.0,0.0,6.42e-06,0.001711,6.777e-14
9.622e-06,0.0005621,2.592e-10,1321.0,3.342000000000001e-13,381.3,-0.01957,-11.84,-2.683,-6.601,-19.46,-9.153,-9.109,-24.65,-19.06,-13.17,-33.26,-33.5,-18.86,-44.4,-50.79,0.4617,0.6375,0.5972,1.302e-10,1.34e-10,1.34e-10,0.01411,0.104,0.09983,1.374e-10,1.386e-10,1.386e-10,1.0,2.0,5.408e-11,0.01504,5.184e-11,5.627e-11,0.01498,0.3148,0.3135,5.627e-11,-0.0836,-0.009109,4.646e-11,5.204e-11,0.0,0.0002044,5.748e-12,-0.3313,4.298e-13,0.0,0.0,-0.08434,0.0,0.0,0.0,0.03327,-0.2423,3.339e-13,0.0,0.0,0.0,-0.0443,0.0,0.0,0.0,9.595e-05,0.0008364,1.925e-13
4.001e-06,0.001707,1.411e-09,809.8,9.563e-13,865.8,-0.01968,-32.21,-30.24,-6.583,-36.25,-24.9,-9.082,-38.93,-28.05,-13.15,-43.64,-34.5,-18.87,-50.8,-45.31,0.2223,0.3237,0.3026,1.148e-10,1.178e-10,1.169e-10,0.01492,0.03468,0.03452,1.007e-10,1.073e-10,1.073e-10,1.0,2.0,4.401e-11,0.03166,3.965e-11,4.568e-11,0.03012,0.239,0.2045,4.55e-11,0.006142,0.09588,4.024e-11,4.124e-11,0.0,0.0001414,7.572e-13,-0.089,2.909e-13,0.0,0.0,-0.03605,0.0,0.0,0.0,0.003302,-0.1812,2.435e-13,0.0,0.0,0.0,-0.03666,0.0,0.0,0.0,6.079e-05,0.0001853,2.392e-14
