fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_maxHeight Vout_1 14G,eye_maxHeight Vout_2 14G,eye_height Vout_2 14G,eye_height Vout_1 14G,eye_width_XY Vout_2 14G,eye_height_XY Vout_2 14G,eye_width_XY Vout_1 14G,eye_width Vout_2 14G,eye_height_XY Vout_1 14G,eye_width Vout_1 14G,eye_maxWidth Vout_1 14G,eye_maxWidth Vout_2 14G,eye_maxHeight Vout_2 28G,eye_maxWidth Vout_1 28G,eye_maxHeight Vout_1 28G,eye_height Vout_1 28G,eye_height_XY Vout_2 28G,eye_height_XY Vout_1 28G,eye_width Vout_1 28G,eye_height Vout_2 28G,eye_width_XY Vout_2 28G,eye_width Vout_2 28G,eye_width_XY Vout_1 28G,eye_maxWidth Vout_2 28G,eye_maxWidth Vout_2 56G,eye_maxWidth Vout_1 56G,eye_maxHeight Vout_2 56G,eye_height Vout_1 56G,eye_width Vout_1 56G,eye_height_XY Vout_1 56G,eye_width_XY Vout_1 56G,eye_height Vout_2 56G,eye_height_XY Vout_2 56G,eye_width_XY Vout_2 56G,eye_maxHeight Vout_1 56G,eye_width Vout_2 56G
8.429999999999999e-06,0.001724,2.306e-09,581.4,1.303e-14,66.32,-0.01957,-21.16,-10.58,-6.598,-28.95,-20.24,-9.109,-33.74,-28.12,-13.17,-41.66,-40.74,-18.87,-51.46,-55.83,-0.01202,0.2342,0.2211,6.777e-11,8.911e-11,8.896e-11,-0.01054,0.2426,0.2405,5.324e-11,7.81e-11,7.789e-11,1.0,2.0,0.0,0.0,-0.2218,-0.2283,4.729e-13,0.002148,4.116e-13,0.0,0.001029,0.0,0.0,0.0,0.0,0.0,0.0,-0.218,0.0006324,0.0006083,0.0,-0.2286,3.881e-13,0.0,1.639e-13,0.0,0.0,0.0,0.0,-0.1719,0.0,0.000141,4.857e-14,-0.2187,0.001693,6.664e-13,0.0,0.0
8.03e-06,0.0006347999999999,1.107e-09,368.8,9.648000000000001e-14,84.27,-0.0196,4.871,9.721,-6.594,-2.593,1.532,-9.105,-6.898,-4.408,-13.17,-14.43,-15.41,-18.87,-24.74,-30.52,0.05835,0.4592,0.4071,7.647e-11,9.493e-11,9.474e-11,0.3912,0.6102,0.5991,7.061e-11,9.053e-11,9.033e-11,2.0,2.0,0.0,0.0,-0.2785,-0.3229,2.041e-13,0.003005,1.705e-12,0.0,0.003101,0.0,0.0,0.0,0.0,0.0,0.0,-0.3978,0.003851,0.000971,0.0,-0.3039,3.305e-13,0.0,3.544e-13,0.0,0.0,0.0,0.0,-0.3097,0.0,0.002646,3.53e-13,-0.3781,0.001673,2.967e-13,0.0,0.0
1.3109999999999998e-06,0.001611,1.447e-09,1308.0,4.891000000000001e-13,954.6,-0.01974,-37.42,-35.65,-6.58,-42.18,-34.56,-9.069,-44.46,-36.76,-13.13,-47.84,-40.26,-18.82,-51.65,-44.6,0.1288,0.2411,0.2075,1.248e-10,1.279e-10,1.273e-10,0.004388,0.007531,0.006593,1.206e-10,1.242e-10,1.241e-10,1.0,2.0,0.1691,0.005867,0.00204,0.03022,5.169e-11,0.004587,5.37e-11,5.082e-11,0.1352,5.044e-11,5.403e-11,5.197e-11,0.002839,0.0,0.0,-0.05941,0.002616,0.0537,0.0,-0.001542,1.635e-11,1.397e-11,1.517e-11,1.709e-11,0.0,0.0,0.0,-0.1163,0.0,0.0003897,3.133e-13,-0.004454,1.045e-05,9.49e-14,0.0,0.0
1.529e-06,0.001786,7.293e-10,1016.0,2.217e-13,669.0,-0.01974,-32.58,-31.0,-6.58,-38.06,-32.03,-9.07,-40.35,-33.66,-13.13,-44.12,-37.38,-18.82,-48.96,-42.79,0.1887,0.2664,0.2437,1.34e-10,1.364e-10,1.364e-10,0.02273,0.0236,0.0236,1.409e-10,1.412e-10,1.412e-10,1.0,2.0,0.217,0.02262,0.01387,0.1048,6.992e-11,0.02023,6.257e-11,6.964e-11,0.186,5.98e-11,6.26e-11,6.992e-11,0.01414,2.361e-11,0.1134,-0.02622,0.01318,0.1035,2.093e-11,-0.0005726,3.099e-11,2.9e-11,2.349e-11,3.099e-11,0.0,0.0,0.0,-0.1198,0.0,0.0005599,1.582e-13,-0.009938,0.001301,5.56e-12,0.0,0.0
1.264e-06,0.002144,1.624e-09,714.1,2.968000000000001e-13,598.0,-0.01974,-20.54,-23.64,-6.58,-24.83,-24.42,-9.069,-27.12,-26.34,-13.13,-31.06,-30.1,-18.82,-36.52,-35.2,0.03087,0.07694,0.06203,1.097e-10,1.192e-10,1.191e-10,0.04973,0.05735,0.05712,1.275e-10,1.322e-10,1.322e-10,1.0,2.0,0.04262,0.0505,0.02819,0.01364,5.657e-11,0.04056,4.129e-11,5.319e-11,0.03329,3.505e-11,4.132e-11,5.658e-11,0.02591,0.0,0.0,-0.03014,0.02259,0.002065,0.0,0.002149,1.953e-11,1.553e-11,2.124e-12,1.966e-11,0.0,0.0,0.0,-0.03769,0.0,0.0001964,1.569e-13,-0.0194,0.0004081,1.039e-12,0.0,0.0
9.528e-06,0.0005834999999999,2.867e-10,1441.0,3.709e-13,39.26,-0.01956,-19.71,-5.291,-6.601,-28.03,-17.86,-9.109,-33.47,-27.88,-13.17,-42.26,-42.27,-18.86,-53.27,-59.34,0.09819,0.414,0.3979,6.36e-11,8.619e-11,8.607e-11,-0.05763,0.01361,0.01355,4.612e-11,7.303e-11,7.287e-11,1.0,2.0,0.0,0.0,-0.06782,-0.2909,3.539e-13,1.554e-05,6.348e-14,0.0,0.0004761,0.0,0.0,0.0,0.0,0.0,0.0,-0.3263,2.906e-05,0.002157,0.0,-0.05337,2.473e-13,0.0,3.259e-13,0.0,0.0,0.0,0.0,-0.336,0.0,0.000509,6.027e-14,-0.03154,3.892e-05,2.995e-13,0.0,0.0
3.72e-06,0.001176,8.564e-11,278.9,4.744e-13,819.7,-0.01973,-7.212,-14.39,-6.578,-3.642,-0.6909,-9.077,-5.849,-2.546,-13.15,-10.74,-8.092,-18.87,-18.84,-18.44,0.4314,0.4341,0.4337,1.258e-10,1.303e-10,1.302e-10,0.202,0.1689,0.1685,1.176e-10,1.258e-10,1.258e-10,2.0,2.0,0.446,0.1754,0.005356,0.2928,4.55e-11,0.1754,6.026e-11,3.156e-11,0.4066,5.846e-11,6.043e-11,4.55e-11,0.02237,2.03e-11,0.1791,-0.09506,0.007627,0.1784,1.808e-11,-0.07607,5.635e-12,3.095e-12,1.981e-11,6.348e-12,0.0,0.0,0.0,-0.2782,0.0,0.003417,2.754e-13,-0.3535,0.0002983,5.905e-14,0.0,0.0
6.393e-06,0.001874,5.056e-10,493.2,3.0010000000000005e-13,753.5,-0.01963,-18.88,-20.13,-6.589,-21.64,-12.55,-9.1,-25.05,-16.4,-13.17,-31.88,-27.44,-18.88,-42.12,-43.26,0.2322,0.2643,0.2643,1.325e-10,1.348e-10,1.348e-10,0.0984,0.2142,0.2122,1.139e-10,1.243e-10,1.243e-10,1.0,2.0,0.2177,0.2134,-0.04972,0.06286,3.872e-11,0.2039,6.431e-11,2.475e-11,0.2115,6.362e-11,6.453e-11,3.881e-11,0.0,1.758e-11,0.03057,-0.1309,0.001454,0.02995,1.215e-11,-0.2827,5.456e-13,0.0,1.729e-11,0.0,0.0,0.0,0.0,-0.1162,0.0,0.0003874,2.093e-13,-0.2285,0.00134,2.226e-13,0.0,0.0
4.928e-06,0.002297,1.73e-09,1168.0,8.771000000000002e-13,728.1,-0.01968,-58.83,-53.28,-6.586,-60.95,-47.43,-9.09,-58.45,-46.45,-13.16,-58.19,-49.73,-18.88,-61.31,-57.94,0.02923,0.1124,0.0913,1.091e-10,1.138e-10,1.129e-10,0.0001317,0.0006939,0.0005605,1.122e-10,1.158e-10,1.143e-10,1.0,2.0,0.05437,0.00035,-0.0001651,-0.03442,4.176e-11,0.0002964,3.934e-11,3.915e-11,0.04654,3.894e-11,3.974e-11,4.204e-11,0.0,0.0,0.0,-0.07305,1.066e-05,0.0006125,0.0,-0.0004145,1.24e-12,0.0,2.868e-12,0.0,0.0,0.0,0.0,-0.06856,0.0,0.000317,2.097e-13,-0.0004274,5.076e-07,7.912e-14,0.0,0.0
5.817e-06,0.001716,1.875e-09,1486.0,3.855e-13,510.1,-0.01965,-56.06,-47.42,-6.588,-51.2,-37.28,-9.096,-53.31,-41.61,-13.17,-57.04,-49.95,-18.88,-62.49,-61.04,0.3888,0.3976,0.3975,1.404e-10,1.406e-10,1.406e-10,-0.0006185,0.0,0.0001417,0.0,0.0,2.359e-11,1.0,2.0,0.3474,1.543e-05,-0.001225,0.1733,1.419e-12,7.103e-06,6.703e-11,-1.781e-11,0.3259,6.663e-11,6.709e-11,5.184e-13,0.0,2.009e-11,0.06511,-0.1328,1.586e-06,0.06485,1.505e-11,-0.001045,9.736e-14,0.0,2e-11,0.0,0.0,0.0,0.0,-0.1555,0.0,0.001169,2.021e-13,-0.0009878,1.563e-06,7.948e-14,0.0,0.0
6.62e-06,0.002133,3.783e-10,1368.0,9.450000000000001e-13,320.4,-0.0197,-62.56,-52.27,-6.594,-59.02,-45.62,-9.102,-59.0,-48.96,-13.17,-60.82,-55.84,-18.88,-65.45,-66.27,0.003231,0.1575,0.1348,1.242e-10,1.285e-10,1.282e-10,-0.0003289,0.0,3.971e-07,0.0,0.0,1.807e-12,1.0,2.0,0.06383,4.226e-06,-0.0004208,-0.06948,1.531e-12,1.862e-06,4.811e-11,-2.061e-11,0.06353,4.285e-11,4.813e-11,1.921e-12,0.0,7.759e-13,0.001466,-0.1158,5.536e-07,5.858e-05,-1.417e-11,-0.0003169,7.91e-14,0.0,1.508e-13,0.0,0.0,0.0,0.0,-0.08076,0.0,8.679e-05,1.558e-13,-0.0002247,4.684e-07,3.051e-13,0.0,0.0
8.617e-06,0.0006817,1.184e-09,823.7,8.878e-13,658.3,-0.0196,2.122,5.827,-6.61,0.1812,10.44,-9.119,-6.042,0.2003,-13.17,-15.21,-14.35,-18.87,-26.58,-31.63,0.4215,0.5774,0.5189,9.259e-11,1.021e-10,1.02e-10,0.2955,0.4387,0.4274,5.256e-11,7.409e-11,7.405e-11,2.0,2.0,0.1298,0.0,-0.2268,-0.1476,1.988e-12,0.01068,1.76e-11,0.0,0.1174,2.232e-11,2.236e-11,0.0,0.0,0.0,0.0,-0.404,0.00165,0.003017,0.0,-0.3104,1.783e-13,0.0,3.533e-13,0.0,0.0,0.0,0.0,-0.3113,0.0,0.0008652,1.772e-13,-0.2727,0.0005349,1.005e-13,0.0,0.0
1.059e-06,0.001737,1.95e-09,202.6,9.265000000000002e-15,805.5,-0.01975,-24.12,-47.16,-6.58,-30.49,-53.33,-9.068,-32.44,-54.71,-13.13,-34.73,-55.18,-18.81,-36.15,-52.25,0.007883,0.05332,0.04063,8.318e-11,1.036e-10,1.035e-10,-0.0003287,0.006202,0.004012,1.002e-10,1.124e-10,1.124e-10,2.0,2.0,0.0,0.0,0.0003784,-0.006214,2.667e-11,0.002449,2.683e-11,0.0,0.01514,0.0,0.0,0.0,0.00221,0.0,0.0,-0.0254,3.848e-05,0.001301,0.0,0.0002022,5.268e-12,6.487e-12,4.875e-12,4.809e-12,6.116e-12,0.0,0.003117,-0.03094,0.0,0.0003542,2.563e-13,-0.0005284,0.002474,6.104e-12,0.0,-3.603e-12
3.173e-06,0.001568,1.623e-09,84.18,7.277000000000001e-13,282.1,-0.01973,-12.04,-24.13,-6.578,-12.91,-19.33,-9.07,-13.47,-17.97,-13.13,-13.9,-14.84,-18.84,-14.09,-9.745,0.3428,0.522,0.4727,1.301e-10,1.336e-10,1.336e-10,0.1455,0.1477,0.1477,1.403e-10,1.408e-10,1.408e-10,2.0,2.0,0.3785,0.1497,0.1641,0.1851,6.935e-11,0.1496,5.712e-11,6.876e-11,0.3306,5.243e-11,5.714e-11,6.935e-11,0.159,1.559e-11,0.121,-0.05341,0.1581,0.1203,1.163e-11,0.1522,3.395e-11,3.344e-11,1.557e-11,3.395e-11,1.619e-11,0.0,0.1741,-0.1729,0.0,0.0007461,1.427e-13,0.1397,0.1684,1.618e-11,0.0,1.587e-11
5.597e-06,0.0018939999999999,8.841e-10,957.0,5.009e-13,1452.0,-0.01964,-45.64,-45.58,-6.587,-54.49,-41.39,-9.094,-55.34,-44.09,-13.17,-57.18,-50.06,-18.88,-61.45,-59.76,0.1428,0.1736,0.1734,1.027e-10,1.099e-10,1.097e-10,0.001914,0.002862,0.00286,8.684e-11,1.003e-10,1.003e-10,1.0,2.0,0.1426,0.002162,0.0001974,0.04078,3.423e-11,0.002126,4.285e-11,2.907e-11,0.1356,4.075e-11,4.395e-11,3.45e-11,0.0,0.0,0.0,-0.1256,4.016e-05,0.001123,0.0,-0.003926,4.789e-13,0.0,1.046e-12,0.0,0.0,0.0,0.0,-0.1367,0.0,0.001381,4.721e-13,-0.00309,4.096e-06,3.018e-13,0.0,0.0
9.365e-06,0.002109,1.051e-09,332.3,9.34e-13,967.7,-0.01961,-9.136,-13.86,-6.607,-7.521,0.8952,-9.116,-13.55,-9.354,-13.17,-22.64,-23.86,-18.87,-33.81,-40.58,-0.01571,0.0666,0.0583,6.45e-11,7.737e-11,7.665e-11,-0.2124,0.02592,0.02511,-9.76e-12,3.181e-11,3.085e-11,1.0,2.0,0.0,0.0,-0.2585,-0.09177,1.104e-13,0.0001407,1.577e-12,0.0,0.0008993,0.0,0.0,0.0,0.0,0.0,0.0,-0.08652,0.0008063,0.0002641,0.0,-0.1915,1.022e-12,0.0,7.182e-13,0.0,0.0,0.0,0.0,-0.05777,0.0,0.000229,3.751e-13,-0.1225,6.77e-05,6.047e-14,0.0,0.0
5.576999999999999e-06,0.002373,4.436e-10,150.8,3.87e-13,1103.0,-0.01972,-13.66,-27.26,-6.575,-5.623,-4.63,-9.087,-7.33,-5.41,-13.17,-13.27,-13.02,-18.88,-22.71,-26.08,0.04387,0.08858,0.07484,1.1e-10,1.157e-10,1.157e-10,0.01989,0.01798,0.01789,1.115e-10,1.205e-10,1.202e-10,2.0,2.0,0.05077,0.01853,-0.02465,0.001555,3.542e-11,0.01842,4.7e-11,2.345e-11,0.04627,4.804e-11,4.894e-11,3.549e-11,0.0,0.0,0.0,-0.04632,0.0004887,0.0009563,0.0,-0.03583,3.616e-13,0.0,2.851e-12,0.0,0.0,0.0,0.0,-0.04488,0.0,9.211e-05,3.086e-13,-0.04421,0.0004241,6.324e-13,0.0,0.0
1.862e-06,0.001613,4.4989999999999997e-10,36.94,1.857e-13,802.6,-0.01975,-26.28,-52.62,-6.578,-26.4,-46.34,-9.067,-26.87,-44.83,-13.13,-28.51,-44.05,-18.82,-30.11,-41.58,0.293,0.3175,0.3152,1.382e-10,1.393e-10,1.393e-10,0.004353,0.0166,0.01659,1.409e-10,1.411e-10,1.409e-10,2.0,2.0,0.3024,0.01633,0.01129,0.2128,6.826e-11,0.01603,6.789e-11,6.679e-11,0.2711,6.762e-11,6.789e-11,6.826e-11,0.01658,3.048e-11,0.1959,0.02332,0.01647,0.183,2.911e-11,0.01043,3.172e-11,3.012e-11,3.041e-11,3.175e-11,1.438e-11,0.0,0.01617,-0.1279,0.0,0.01549,4.866e-12,0.01301,0.01524,1.433e-11,0.0,1.39e-11
9.933e-06,0.0022,1.728e-09,877.7,9.149e-13,415.8,-0.01953,-48.16,-40.95,-6.605,-59.42,-49.04,-9.112,-61.23,-56.14,-13.17,-64.86,-65.6,-18.86,-70.41,-77.07,-0.02991,0.06884,0.06404,1.054e-10,1.105e-10,1.101e-10,-0.0009451,0.0006101,0.0006032,8.984e-11,9.682e-11,9.631e-11,1.0,2.0,0.0,0.0,-0.001316,-0.08546,5.039e-13,1.099e-06,1.739e-11,0.0,0.00517,0.0,0.0,0.0,0.0,0.0,0.0,-0.06024,3.358e-06,6.703e-05,0.0,-0.0008665,5.792e-13,0.0,5.674e-13,0.0,0.0,0.0,0.0,-0.04123,0.0,3.976e-05,7.542e-14,-0.000545,1.885e-07,1.973e-13,0.0,0.0
3.954e-06,0.001229,1.403e-09,1244.0,3.972e-13,816.3,-0.01968,-37.8,-33.16,-6.582,-45.03,-32.26,-9.081,-47.37,-34.9,-13.15,-50.91,-40.53,-18.87,-55.66,-49.45,0.4491,0.4291,0.4284,1.322e-10,1.344e-10,1.344e-10,0.009558,0.01002,0.01002,1.297e-10,1.328e-10,1.328e-10,1.0,2.0,0.4441,0.01053,0.007208,0.3616,5.989e-11,0.01045,6.264e-11,5.739e-11,0.4362,6.082e-11,6.264e-11,5.99e-11,0.004697,2.445e-11,0.2341,-0.02768,0.004474,0.2331,2.213e-11,-0.001291,2.181e-11,1.983e-11,2.374e-11,2.235e-11,0.0,0.0,0.0,-0.2404,0.0,0.0009092,1.158e-13,-0.007353,2.009e-05,3.086e-13,0.0,0.0
