fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_height_XY Vout_2 14G,eye_height Vout_2 14G,eye_maxWidth Vout_1 14G,eye_width Vout_2 14G,eye_width_XY Vout_1 14G,eye_width_XY Vout_2 14G,eye_height Vout_1 14G,eye_maxWidth Vout_2 14G,eye_maxHeight Vout_2 14G,eye_maxHeight Vout_1 14G,eye_height_XY Vout_1 14G,eye_width Vout_1 14G,eye_maxWidth Vout_2 28G,eye_maxWidth Vout_1 28G,eye_maxHeight Vout_2 28G,eye_height Vout_2 28G,eye_height_XY Vout_2 28G,eye_height_XY Vout_1 28G,eye_width_XY Vout_1 28G,eye_width Vout_2 28G,eye_maxHeight Vout_1 28G,eye_height Vout_1 28G,eye_width Vout_1 28G,eye_width_XY Vout_2 28G,eye_height Vout_2 56G,eye_width_XY Vout_1 56G,eye_height_XY Vout_2 56G,eye_height Vout_1 56G,eye_maxWidth Vout_1 56G,eye_height_XY Vout_1 56G,eye_maxHeight Vout_2 56G,eye_width Vout_2 56G,eye_maxWidth Vout_2 56G,eye_width Vout_1 56G,eye_maxHeight Vout_1 56G,eye_width_XY Vout_2 56G
5.769e-06,0.0008197999999999,3.278e-10,1304.0,9.664e-13,846.8,-0.01964,-28.92,-23.12,-6.587,-34.3,-20.94,-9.094,-37.56,-26.4,-13.17,-43.61,-36.66,-18.88,-52.6,-51.15,0.3802,0.4863,0.4792,9.853e-11,1.053e-10,1.05e-10,0.0007747,0.02052,0.02046,8.848e-11,9.467e-11,9.464e-11,1.0,2.0,0.007532,-0.01591,3.611e-11,2.687e-11,3.373e-11,2.39e-11,0.09503,2.859e-11,0.007634,0.2839,0.2645,3.704e-11,0.0,0.0,0.0,-0.0331,1.512e-05,0.002121,3.791e-13,0.0,0.0,-0.3921,0.0,2.775e-13,-0.02321,2.759e-13,8.099e-05,-0.3265,0.0,0.0001557,0.0,0.0,0.0,0.0,0.0,5.406e-13
7.462999999999999e-06,0.001796,2.38e-09,587.7,5.3380000000000015e-14,666.6,-0.0196,-25.96,-24.99,-6.594,-33.98,-31.12,-9.104,-39.48,-34.09,-13.17,-48.43,-44.54,-18.87,-58.44,-60.33,0.05024,0.1392,0.1171,1.025e-10,1.141e-10,1.14e-10,0.06714,0.1147,0.1088,1.145e-10,1.227e-10,1.226e-10,1.0,2.0,0.07176,0.05046,3.631e-11,4.478e-11,3.628e-11,4.906e-11,0.004629,4.906e-11,0.07857,0.06283,0.05455,2.904e-11,7.341e-12,0.0,0.005011,-0.05082,0.000592,0.0005007,3.85e-13,6.653e-12,0.0,-0.07786,0.0,3.982e-12,-0.06632,3.285e-13,0.0007392,-0.09227,0.0,0.0003567,0.0,0.0,0.0,0.0,0.0,6.259e-13
7.0810000000000005e-06,0.001192,2.491e-09,606.0,7.517000000000001e-13,195.2,-0.0196,-3.775,3.279,-6.594,-9.419,0.9753,-9.108,-13.59,-5.339,-13.18,-21.24,-17.4,-18.88,-31.81,-33.2,0.5144,0.7365,0.6854,1.197e-10,1.261e-10,1.26e-10,0.835,0.9126,0.9116,1.301e-10,1.341e-10,1.341e-10,1.0,2.0,0.6103,0.5262,4.459e-11,5.242e-11,4.458e-11,5.357e-11,0.1376,5.356e-11,0.6218,0.3617,0.3598,3.828e-11,0.0,0.0,0.0,-0.2852,0.01709,0.0006022,3.799e-13,0.0,0.0,-0.3648,0.0,2.118e-12,-0.2865,1.053e-13,0.004556,-0.2793,0.0,0.001107,0.0,0.0,0.0,0.0,0.0,3.611e-13
9.835e-06,0.002438,9.794e-10,537.9,7.161e-13,86.35,-0.01954,-31.92,-21.64,-6.605,-41.39,-32.51,-9.111,-47.4,-42.83,-13.17,-55.9,-56.98,-18.86,-65.41,-72.37,-0.04027,0.02447,0.02383,6.425e-11,8.606e-11,8.607e-11,-0.0731,0.01849,0.01841,4.362e-11,7.096e-11,7.091e-11,1.0,2.0,4.817e-05,-0.06495,0.0,0.0,3.88e-14,7.242e-13,-0.03974,0.0,0.0,0.0,3.872e-05,0.0,0.0,0.0,0.0,-0.04924,0.0001076,7.282e-05,3.946e-13,0.0,0.0,-0.03451,0.0,2.783e-13,-0.03187,2.757e-13,0.0001456,-0.02345,0.0,5.715e-05,0.0,0.0,0.0,0.0,0.0,5.679e-13
5.697e-06,0.0005987,5.192e-10,1050.0,8.265000000000002e-13,149.9,-0.01962,3.902,13.79,-6.59,-2.151,9.31,-9.103,-6.061,3.905,-13.18,-13.21,-6.979,-18.88,-23.59,-22.7,0.3226,0.6181,0.5439,1.141e-10,1.221e-10,1.22e-10,0.4267,0.5514,0.5257,1.195e-10,1.257e-10,1.257e-10,1.0,2.0,0.2428,0.1259,4.222e-11,3.966e-11,4.221e-11,4.55e-11,0.06617,4.55e-11,0.2446,0.3098,0.2924,3.233e-11,0.0,0.0,0.0,-0.3007,0.001305,0.003366,9.253e-13,0.0,0.0,-0.3424,0.0,9.627e-13,-0.2574,5.101e-14,0.0009616,-0.2851,0.0,0.001692,0.0,0.0,0.0,0.0,0.0,2.754e-13
5.788999999999999e-06,0.0005273999999999,2.449e-09,1165.0,3.99e-13,1183.0,-0.01966,-1.11,1.034,-6.589,-1.185,10.83,-9.104,-5.263,5.13,-13.18,-12.54,-6.053,-18.88,-22.91,-21.76,0.3986,0.3628,0.3625,1.134e-10,1.208e-10,1.207e-10,0.1917,0.1466,0.1464,9.758e-11,1.109e-10,1.109e-10,1.0,2.0,0.1495,0.03455,4.942e-11,2.339e-11,4.927e-11,3.21e-11,0.2365,3.22e-11,0.151,0.3763,0.3381,4.612e-11,0.0,0.0,0.0,-0.1921,0.0009177,0.06834,5.898e-12,0.0,0.0,-0.1254,0.0,6.514e-13,-0.217,6.829e-14,0.0004995,-0.2614,0.0,0.00205,0.0,0.0,0.0,0.0,0.0,1.113e-13
2.866e-06,0.002376,8.252999999999998e-10,292.1,1.506e-13,840.0,-0.01973,-8.82,-16.46,-6.577,-8.891,-9.77,-9.07,-9.225,-7.669,-13.14,-12.64,-10.11,-18.86,-18.99,-16.52,0.1172,0.1355,0.1334,1.384e-10,1.396e-10,1.396e-10,0.01078,0.06976,0.06697,1.412e-10,1.412e-10,1.412e-10,2.0,2.0,0.06619,0.0516,6.771e-11,6.188e-11,6.771e-11,6.498e-11,0.0783,6.499e-11,0.06715,0.1281,0.1171,6.708e-11,2.428e-11,3.042e-11,0.06835,0.01593,0.06809,0.07688,3.038e-11,1.98e-11,0.07952,-0.001848,2.922e-11,2.423e-11,-0.04289,7.936e-13,0.002445,-0.06715,0.0,0.0004788,0.0,0.0,0.0,0.0,0.0,1.646e-12
5.851e-06,0.001534,2.673e-09,35.42,7.176000000000001e-13,1433.0,-0.01973,-26.87,-53.75,-6.576,-11.35,-16.22,-9.077,-8.136,-7.37,-13.17,-6.809,-0.6776,-18.9,-15.11,-10.99,0.2453,0.2535,0.2518,9.925e-11,1.062e-10,1.061e-10,-0.181,0.0,6.649e-05,0.0,0.0,3.201e-12,2.0,2.0,0.0001369,-0.1588,4.203e-11,3.565e-11,3.991e-11,1.106e-11,0.1561,1.43e-12,0.0007189,0.2516,0.2476,3.995e-11,0.0,0.0,0.0,-0.1767,0.005831,0.0002081,9.608e-14,0.0,0.0,-0.2388,0.0,1.188e-11,-0.2291,1.447e-13,0.004491,-0.2132,0.0,0.001435,0.0,0.0,0.0,0.0,0.0,3.5e-13
5.006e-06,0.0006303999999999,2.044e-09,268.4,8.617000000000003e-13,1099.0,-0.01972,-8.419,-16.84,-6.581,-3.49,-0.4735,-9.084,-5.89,-2.716,-13.16,-10.25,-7.155,-18.89,-17.35,-15.32,0.3404,0.3956,0.3858,9.979e-11,1.055e-10,1.049e-10,0.4197,0.07468,0.07327,6.983e-11,8.542e-11,8.514e-11,2.0,2.0,0.1264,0.248,3.824e-11,1.938e-11,3.621e-11,2.058e-11,0.1721,2.075e-11,0.1312,0.2814,0.2419,4.057e-11,0.0,0.0,0.0,-0.06972,0.009633,0.02549,3.366e-12,0.0,0.0,-0.2147,0.0,2.137e-12,-0.2572,2.165e-13,0.008127,-0.3128,0.0,0.002041,0.0,0.0,0.0,0.0,0.0,3.309e-13
1.502e-06,0.001748,2.874e-09,11.27,2.9750000000000005e-13,308.2,-0.01975,-34.71,-69.66,-6.579,-24.98,-43.7,-9.068,-20.91,-33.06,-13.13,-18.48,-24.04,-18.8,-16.69,-14.71,0.07428,0.2449,0.2002,1.172e-10,1.251e-10,1.25e-10,-0.003805,0.007555,0.005482,8.427e-11,8.067e-11,9.83e-11,2.0,2.0,0.005013,-0.01295,5.058e-11,2.339e-11,5.056e-11,3.734e-11,0.03418,2.325e-11,0.007393,0.1627,0.126,4.543e-11,0.0,1.694e-11,0.0,-0.1496,0.00411,0.06351,1.628e-11,0.0,0.07851,-0.02563,1.747e-11,1.736e-11,-0.07908,5.649e-13,0.00452,-0.07868,0.0,0.001427,0.0,0.0,0.0,0.0,0.0,6.039e-12
3.813e-06,0.002271,1.639e-09,694.9,4.518000000000001e-13,1066.0,-0.01968,-35.87,-37.04,-6.582,-39.43,-29.29,-9.081,-41.98,-31.76,-13.15,-46.36,-37.42,-18.87,-52.75,-46.96,0.07729,0.1489,0.1295,1.168e-10,1.211e-10,1.211e-10,0.0165,0.0207,0.02069,1.004e-10,1.115e-10,1.115e-10,1.0,2.0,0.0163,0.005541,5.273e-11,3.74e-11,5.12e-11,4.046e-11,0.0304,4.091e-11,0.01998,0.104,0.0886,5.182e-11,0.0,1.621e-11,0.0,-0.01053,0.0003471,0.02938,1.468e-11,0.0,0.02977,-0.05553,1.285e-11,1.504e-12,-0.02049,1.515e-13,4.443e-05,-0.07513,0.0,0.0003403,0.0,0.0,0.0,0.0,0.0,2.04e-14
4.951999999999999e-06,0.001369,8.595e-11,1076.0,7.446000000000002e-13,699.5,-0.01965,-37.28,-32.26,-6.585,-43.5,-30.45,-9.089,-46.21,-34.49,-13.16,-50.8,-42.46,-18.88,-57.23,-53.97,0.4015,0.4488,0.4483,1.217e-10,1.248e-10,1.246e-10,0.01055,0.01403,0.014,1.136e-10,1.184e-10,1.183e-10,1.0,2.0,0.01212,0.006204,5.329e-11,4.857e-11,5.275e-11,4.949e-11,0.2123,5.005e-11,0.01212,0.3959,0.3809,5.181e-11,0.0,0.0,0.0,-0.009902,0.0001234,0.002424,3.424e-12,0.0,0.0,-0.2429,0.0,6.262e-13,-0.009885,4.975e-14,2.718e-05,-0.2455,0.0,0.0008671,0.0,0.0,0.0,0.0,0.0,2.19e-13
4.349e-06,0.001083,2.976e-09,507.0,8.980000000000001e-13,331.3,-0.01968,1.655,4.224,-6.582,0.2517,8.507,-9.091,-2.482,5.845,-13.17,-7.886,-0.238,-18.89,-16.44,-11.12,0.5493,0.7191,0.6742,1.345e-10,1.366e-10,1.366e-10,0.9042,0.812,0.8107,1.266e-10,1.305e-10,1.305e-10,2.0,2.0,0.8404,0.779,6.207e-11,5.949e-11,6.2e-11,6.07e-11,0.2698,6.084e-11,0.843,0.5817,0.5279,5.941e-11,2.067e-11,1.892e-11,0.4463,0.1681,0.4397,0.1799,1.845e-11,1.745e-11,0.1807,-0.1291,1.476e-11,2.021e-11,-0.4167,8.323e-14,0.008324,-0.321,0.0,0.0009442,0.0,0.0,0.0,0.0,0.0,3.11e-13
4.655999999999999e-06,0.001653,2.611e-09,79.17,8.678e-13,454.5,-0.01972,-13.62,-27.26,-6.577,-9.504,-12.53,-9.074,-8.616,-8.306,-13.15,-7.672,-2.474,-18.9,-12.94,-6.197,0.3414,0.451,0.4253,1.301e-10,1.322e-10,1.321e-10,0.05107,0.09093,0.09061,1.284e-10,1.318e-10,1.316e-10,2.0,2.0,0.09348,0.1267,5.745e-11,5.793e-11,5.743e-11,6.061e-11,0.1784,6.066e-11,0.0947,0.3553,0.3277,5.469e-11,2.559e-11,0.0,0.1259,0.08232,0.1229,0.03808,9.006e-12,2.349e-11,0.0,-0.1591,0.0,2.549e-11,-0.07894,5.371e-14,0.06953,-0.1839,0.0,0.001059,0.07101,6.922e-12,9.413e-12,0.0,0.0,9.409e-12
6.247e-06,0.001523,6.132999999999998e-10,501.0,9.038e-13,1432.0,-0.01965,-11.36,-14.97,-6.59,-10.54,-0.4631,-9.102,-14.36,-6.087,-13.18,-21.48,-17.11,-18.88,-31.89,-32.8,0.1709,0.2671,0.2663,9.1e-11,9.86e-11,9.846e-11,0.04605,0.0,0.007214,0.0,0.0,2.992e-11,1.0,2.0,0.02454,-0.05723,2.923e-11,0.0,2.73e-11,3.839e-12,0.0565,0.0,0.0,0.1698,0.1605,2.963e-11,0.0,0.0,0.0,-0.3961,0.007429,0.004285,1.328e-12,0.0,0.0,-0.2953,0.0,4.857e-13,-0.3702,1.515e-13,0.002828,-0.2335,0.0,0.0001833,0.0,0.0,0.0,0.0,0.0,7.009e-13
8.458e-06,0.0005061,6.341e-10,228.1,5.544e-13,1019.0,-0.01969,-9.786,-19.58,-6.589,-4.598,-2.622,-9.105,-9.025,-8.897,-13.17,-17.12,-21.07,-18.87,-27.69,-36.63,0.346,0.417,0.4168,9.218e-11,1.026e-10,1.026e-10,0.1836,0.0918,0.08939,5.113e-11,7.558e-11,7.524e-11,2.0,2.0,0.001149,0.01784,3.169e-11,0.0,2.916e-11,7.176e-13,0.03478,0.0,0.0,0.1568,0.155,3.099e-11,0.0,0.0,0.0,-0.1342,0.004121,0.001167,1.417e-13,0.0,0.0,-0.378,0.0,6.042e-13,-0.1688,1.85e-13,0.002519,-0.2673,0.0,0.0004156,0.0,0.0,0.0,0.0,0.0,4.338e-13
3.311e-06,0.0006997999999999,2.736e-09,624.5,3.112000000000001e-13,1411.0,-0.01973,-4.511,-8.866,-6.577,0.2302,7.283,-9.077,-1.808,5.845,-13.15,-6.291,1.365,-18.87,-13.67,-6.919,0.2945,0.3046,0.3043,1.275e-10,1.31e-10,1.31e-10,0.1433,0.1421,0.1418,1.194e-10,1.266e-10,1.266e-10,2.0,2.0,0.1498,0.1284,5.801e-11,3.756e-11,5.796e-11,4.875e-11,0.2413,4.886e-11,0.1507,0.3253,0.3251,5.556e-11,1.186e-11,2.401e-11,0.184,0.1159,0.1827,0.218,2.344e-11,1.049e-11,0.2275,0.07876,2.401e-11,1.185e-11,-0.2742,4.448e-12,0.001512,-0.187,4.448e-12,0.02259,0.0,0.0,0.0,1.585e-12,0.02285,8.737e-13
9.681e-06,0.002489,1.587e-09,356.7,5.055e-13,18.69,-0.01954,-12.58,-2.234,-6.605,-21.14,-13.65,-9.112,-26.81,-23.15,-13.17,-35.64,-37.05,-18.86,-46.74,-53.41,-0.03931,0.02262,0.0222,5.756e-11,8.172e-11,8.171e-11,-0.1939,0.0,0.009893,0.0,0.0,3.697e-11,1.0,2.0,0.0002242,-0.1404,0.0,0.0,7.85e-14,2.595e-13,-0.04246,0.0,0.0,0.0,2.329e-05,0.0,0.0,0.0,0.0,-0.101,0.0001036,0.0002668,5.889e-13,0.0,0.0,-0.03318,0.0,6.553e-13,-0.06407,1.171e-13,0.0005538,-0.0236,0.0,3.868e-06,0.0,0.0,0.0,0.0,0.0,1.653e-12
2.344e-06,0.001026,1.728e-09,1466.0,4.270000000000001e-13,799.5,-0.01972,-34.06,-29.07,-6.58,-39.71,-28.19,-9.073,-42.1,-30.47,-13.14,-45.86,-34.74,-18.84,-50.65,-41.26,0.3672,0.4205,0.4204,1.319e-10,1.343e-10,1.343e-10,0.009877,0.01172,0.01171,1.286e-10,1.323e-10,1.322e-10,1.0,2.0,0.01022,0.007304,6.341e-11,5.954e-11,6.306e-11,6.141e-11,0.2072,6.158e-11,0.01207,0.3973,0.3474,6.297e-11,2.376e-11,2.552e-11,0.007081,-0.0006166,0.006288,0.2039,2.551e-11,2.19e-11,0.2297,-0.02484,2.365e-11,2.36e-11,-0.005225,9.895e-13,0.0001521,-0.1669,0.0,0.005762,0.0,0.0,0.0,0.0,0.0,6.093e-13
7.339999999999999e-06,0.00209,1.346e-09,1204.0,7.714e-13,499.6,-0.01962,-56.68,-48.79,-6.595,-56.73,-43.68,-9.106,-58.1,-49.0,-13.17,-61.14,-57.4,-18.87,-66.36,-68.48,0.02877,0.1593,0.1371,1.167e-10,1.212e-10,1.208e-10,-0.0004471,0.0,6.889e-06,0.0,0.0,2.564e-12,1.0,2.0,6.273e-07,-0.0004535,4.071e-11,0.0,4.066e-11,2.554e-13,-0.06783,0.0,0.0,0.05804,0.05698,4.006e-11,0.0,0.0,0.0,-0.000373,7.326e-08,0.0002736,1.512e-13,0.0,0.0,-0.1012,0.0,2.079e-14,-0.0002652,1.599e-13,5.091e-07,-0.07859,0.0,0.0002672,0.0,0.0,0.0,0.0,0.0,1.343e-13
