fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_height_XY Vout_2 14G,eye_height Vout_2 14G,eye_height_XY Vout_1 14G,eye_maxHeight Vout_2 14G,eye_width Vout_1 14G,eye_maxWidth Vout_2 14G,eye_width_XY Vout_1 14G,eye_maxHeight Vout_1 14G,eye_height Vout_1 14G,eye_width_XY Vout_2 14G,eye_width Vout_2 14G,eye_maxWidth Vout_1 14G,eye_maxHeight Vout_1 28G,eye_height_XY Vout_2 28G,eye_height Vout_2 28G,eye_width_XY Vout_2 28G,eye_maxWidth Vout_1 28G,eye_maxHeight Vout_2 28G,eye_width_XY Vout_1 28G,eye_height Vout_1 28G,eye_width Vout_2 28G,eye_width Vout_1 28G,eye_maxWidth Vout_2 28G,eye_height_XY Vout_1 28G,eye_width Vout_1 56G,eye_height_XY Vout_2 56G,eye_width Vout_2 56G,eye_maxWidth Vout_1 56G,eye_maxHeight Vout_2 56G,eye_maxWidth Vout_2 56G,eye_height Vout_2 56G,eye_height_XY Vout_1 56G,eye_width_XY Vout_2 56G,eye_maxHeight Vout_1 56G,eye_width_XY Vout_1 56G,eye_height Vout_1 56G
8.241e-06,0.0006868999999999,1.915e-09,409.1,7.535000000000002e-13,795.7,-0.0197,-2.981,-5.951,-6.598,0.38,7.615,-9.115,-4.891,-0.246,-13.18,-13.36,-13.16,-18.87,-23.86,-28.63,0.376,0.514,0.514,9.45e-11,1.04e-10,1.04e-10,0.421,0.28,0.277,3.61e-11,7.12e-11,7.1e-11,2.0,2.0,0.009455,-0.07905,0.1793,0.0272,2.989e-11,2.585e-12,2.687e-11,0.1794,-0.04351,2.634e-12,-8.115e-12,3.066e-11,0.0,0.001727,-0.3672,2.502e-13,0.0,0.007807,4.96e-14,-0.4603,-2.532e-11,0.0,7.129e-13,0.0005309,0.0,0.001198,0.0,0.0,0.0,0.0,-0.3817,0.0006969,8.439e-14,0.0,2.156e-13,-0.3079
5.887999999999999e-06,0.002469,1.877e-09,1487.0,4.161000000000001e-13,479.5,-0.0202,-32.57,-24.61,-6.612,-48.83,-36.53,-9.106,-54.33,-44.36,-13.17,-59.08,-53.67,-18.88,-64.31,-64.5,0.0243,0.0749,0.0658,1.37e-10,1.38e-10,1.37e-10,0.000183,0.000254,0.000254,1.09e-10,1.18e-10,1.18e-10,1.0,2.0,0.0001687,7.079e-05,0.04281,0.000206,5.757e-11,4.496e-11,6.059e-11,0.0447,-0.01572,4.465e-11,4.133e-11,6.064e-11,0.0,1.455e-05,-9.974e-05,1.127e-11,0.0,1.484e-05,7.119e-12,-0.04784,1.146e-11,0.0,1.179e-11,0.001442,0.0,7.836e-07,0.0,0.0,0.0,0.0,-0.0001457,9.365e-05,1.799e-13,0.0,8.191e-13,-0.03384
1.809e-06,0.0009397999999999,1.684e-09,33.74,4.5040000000000003e-13,1227.0,-0.0198,-28.99,-58.02,-6.579,-22.78,-39.1,-9.068,-21.02,-33.06,-13.13,-19.52,-25.95,-18.81,-18.45,-18.17,0.236,0.304,0.303,1.21e-10,1.24e-10,1.24e-10,0.00881,0.00851,0.00839,1.3e-10,1.33e-10,1.32e-10,2.0,2.0,0.009156,0.003371,0.2333,0.009539,5.426e-11,6.422e-11,5.423e-11,0.2787,0.1396,6.403e-11,6.317e-11,5.542e-11,0.1566,0.0162,-0.08456,3.111e-11,2.13e-11,0.01689,2.051e-11,-0.04655,3.104e-11,1.683e-11,3.126e-11,0.1374,0.0,0.02837,1.494e-11,0.0,0.02898,1.531e-11,-0.09729,0.001803,1.518e-11,0.0,6.247e-13,-0.1647
6.341e-06,0.0007251,1.484e-09,1290.0,3.851000000000001e-13,982.4,-0.0196,-24.25,-20.05,-6.589,-29.51,-16.43,-9.098,-32.99,-22.38,-13.17,-39.57,-33.64,-18.88,-49.31,-49.08,0.465,0.43,0.43,1.19e-10,1.25e-10,1.25e-10,0.00929,0.0271,0.027,1.11e-10,1.2e-10,1.2e-10,1.0,2.0,0.02173,-0.01004,0.4053,0.02217,4.456e-11,3.982e-11,5.022e-11,0.4363,0.2335,3.981e-11,3.077e-11,5.028e-11,0.01641,0.0003372,-0.04416,6.809e-13,2.806e-12,0.0,6.934e-12,-0.2658,0.0,5.19e-12,0.0,0.009508,0.0,0.0001303,0.0,0.0,0.0,0.0,-0.02944,0.0004665,2.994e-13,0.0,8.701e-14,-0.2737
3.488e-06,0.002191,2.109e-09,734.4,4.657e-14,1247.0,-0.0197,-36.65,-38.89,-6.582,-42.84,-41.54,-9.078,-44.96,-39.72,-13.15,-48.75,-40.03,-18.86,-53.83,-46.32,0.034,0.0794,0.0694,1.33e-10,1.36e-10,1.36e-10,0.00734,0.011,0.00866,1.37e-10,1.38e-10,1.38e-10,1.0,2.0,0.00843,0.006836,0.07156,0.008913,6.219e-11,6.752e-11,6.4e-11,0.07207,0.05888,6.746e-11,6.61e-11,6.408e-11,0.07172,0.009236,0.006662,2.775e-11,2.861e-11,0.009258,2.835e-11,0.03834,2.676e-11,2.805e-11,2.776e-11,0.06615,8.172e-12,0.001744,8.416e-12,1.048e-11,0.001756,9.291e-12,-0.004475,0.02294,9.061e-12,0.02301,1.047e-11,-0.02922
6.405999999999999e-06,0.0013779999999999,2.696e-09,989.4,6.181000000000002e-13,355.4,-0.0196,-35.38,-27.48,-6.59,-43.52,-30.66,-9.1,-46.9,-36.45,-13.17,-52.68,-46.83,-18.88,-60.19,-59.84,0.595,0.622,0.621,1.37e-10,1.38e-10,1.38e-10,0.0279,0.0304,0.0304,1.4e-10,1.4e-10,1.4e-10,1.0,2.0,0.01998,0.004403,0.5099,0.02022,5.952e-11,6.456e-11,6.178e-11,0.5169,0.2631,6.456e-11,6.248e-11,6.195e-11,0.0,5.493e-05,-0.01687,2.335e-12,0.0,0.0,1.425e-12,-0.3163,0.0,0.0,0.0,0.003803,0.0,2.543e-05,0.0,0.0,0.0,0.0,-0.01184,0.0009777,2.634e-13,0.0,1.463e-13,-0.2253
2.5419999999999995e-06,0.001021,1.278e-09,1418.0,4.803000000000001e-13,1445.0,-0.0197,-34.55,-32.38,-6.581,-38.86,-27.03,-9.073,-41.29,-29.5,-13.14,-45.17,-34.07,-18.84,-50.29,-41.28,0.238,0.288,0.287,1.15e-10,1.2e-10,1.2e-10,0.00635,0.00717,0.00716,1.08e-10,1.17e-10,1.17e-10,1.0,2.0,0.00766,0.003946,0.2655,0.00889,5.027e-11,4.77e-11,5.164e-11,0.3115,0.1812,4.744e-11,4.472e-11,5.264e-11,0.1477,0.003776,-0.002149,1.254e-11,1.758e-11,0.004177,1.666e-11,-0.04888,1.309e-11,1.455e-11,1.414e-11,0.131,0.0,4.202e-05,0.0,0.0,0.0,0.0,-0.008579,0.0007315,9.347e-14,0.0,1.187e-13,-0.2348
9.602e-06,0.002095,1.916e-09,380.5,1.655e-13,1401.0,-0.0196,-17.46,-24.95,-6.601,-16.99,-10.41,-9.113,-21.76,-15.94,-13.17,-30.39,-30.83,-18.86,-41.48,-47.63,0.0434,0.105,0.092,1.1e-10,1.19e-10,1.19e-10,-0.0991,0.0369,0.0259,1.05e-10,1.18e-10,1.18e-10,1.0,2.0,0.01591,-0.1179,0.04696,0.0,4.156e-11,0.0,4.844e-11,0.04845,-0.01836,1.709e-11,0.0,4.849e-11,0.0,0.000271,-0.09569,5.949e-13,0.0,0.0,2.031e-13,-0.05502,0.0,0.0,0.0,2.894e-05,0.0,0.0003079,0.0,0.0,0.0,0.0,-0.06266,0.0002225,5.535e-13,0.0,1.723e-13,-0.04049
5.433e-06,0.0005254999999999,2.295e-09,1006.0,9.111e-13,1436.0,-0.0197,0.731,2.176,-6.591,2.67,13.95,-9.106,-1.649,8.272,-13.18,-9.027,-2.36,-18.89,-19.3,-17.56,0.266,0.329,0.299,8.7e-11,9.16e-11,9.08e-11,0.227,0.171,0.17,6.23e-11,6.66e-11,6.58e-11,2.0,2.0,0.1029,0.1812,0.1461,0.104,3.25e-11,1.793e-11,2.421e-11,0.166,0.1467,1.777e-11,1.707e-11,2.68e-11,0.01035,0.004362,-0.2473,8.597e-13,2.303e-12,0.0,1.29e-12,-0.2344,0.0,-5.413e-12,0.0,0.01027,0.0,0.001202,-1.051e-11,0.0,0.005704,7.417e-13,-0.2675,0.000424,2.235e-13,0.0,3.707e-14,-0.2782
5.844999999999999e-06,0.000629,2.041e-09,1279.0,8.309e-13,1386.0,-0.0197,-15.56,-12.24,-6.587,-19.41,-6.514,-9.094,-22.79,-11.98,-13.17,-29.12,-22.4,-18.88,-38.86,-37.55,0.323,0.337,0.336,8.71e-11,9.45e-11,9.38e-11,-0.0631,0.028,0.028,6.64e-11,7.39e-11,7.34e-11,1.0,2.0,0.004283,-0.1123,0.187,0.008568,3.228e-11,1.37e-11,2.564e-11,0.2088,0.1511,4.176e-12,1.274e-11,2.935e-11,0.0,0.0001989,-0.1348,1.942e-13,0.0,0.0,1.286e-12,-0.2884,0.0,0.0,0.0,0.003401,0.0,0.0002497,0.0,0.0,0.0,0.0,-0.1029,0.002436,6.326e-13,0.0,3.957e-13,-0.2998
1.3789999999999998e-06,0.001523,1.8380000000000003e-09,1266.0,5.264000000000002e-13,941.7,-0.0197,-35.49,-33.68,-6.58,-40.12,-32.33,-9.069,-42.46,-34.6,-13.13,-46.08,-38.29,-18.82,-50.4,-43.03,0.145,0.267,0.228,1.24e-10,1.27e-10,1.27e-10,0.00615,0.01,0.00911,1.19e-10,1.23e-10,1.23e-10,1.0,2.0,0.006388,0.003173,0.1506,0.008187,4.99e-11,5.145e-11,5.325e-11,0.1899,0.04227,5.088e-11,5.014e-11,5.357e-11,0.0705,0.003694,-0.001571,1.714e-11,1.655e-11,0.004113,1.634e-11,-0.04992,1.461e-11,1.382e-11,1.809e-11,0.06572,0.0,0.0001155,0.0,0.0,0.0,0.0,-0.005206,0.0004788,3.528e-13,0.0,1.846e-13,-0.115
1.592e-06,0.001235,2.4780000000000003e-09,1294.0,7.625e-13,337.6,-0.0197,-30.59,-24.54,-6.58,-36.46,-27.48,-9.07,-38.88,-29.8,-13.13,-42.75,-33.75,-18.82,-47.82,-39.22,0.164,0.404,0.337,1.29e-10,1.32e-10,1.32e-10,0.0101,0.0235,0.0199,1.34e-10,1.36e-10,1.36e-10,1.0,2.0,0.0137,0.003667,0.2196,0.017,5.058e-11,5.949e-11,5.558e-11,0.2709,0.02118,5.938e-11,5.585e-11,5.573e-11,0.1076,0.006812,-0.00379,2.041e-11,1.716e-11,0.007654,1.713e-11,-0.06957,1.589e-11,1.111e-11,2.051e-11,0.09759,0.0,0.0002498,0.0,0.0,0.0,0.0,-0.007459,0.0008755,6.481e-13,0.0,4.041e-14,-0.1237
7.336999999999999e-06,0.001195,2.292e-09,1124.0,3.373000000000001e-13,597.5,-0.0196,-37.65,-31.38,-6.593,-49.9,-37.1,-9.105,-53.36,-43.86,-13.17,-57.82,-53.68,-18.87,-63.66,-65.35,0.521,0.54,0.54,1.38e-10,1.39e-10,1.39e-10,0.0127,0.0147,0.0147,1.38e-10,1.39e-10,1.39e-10,1.0,2.0,0.00886,0.003574,0.524,0.008937,6.405e-11,6.72e-11,6.546e-11,0.5289,0.3339,6.709e-11,6.602e-11,6.565e-11,0.03763,0.001161,-0.00835,9.566e-12,1.337e-11,0.0,1.245e-11,-0.3272,0.0,7.471e-12,0.0,0.03672,0.0,1.123e-05,0.0,0.0,0.0,0.0,-0.005768,0.0004924,6.833e-13,0.0,5.71e-14,-0.254
2.345e-06,0.001429,2.023e-09,1431.0,9.419e-13,575.7,-0.0197,-41.37,-34.84,-6.58,-47.38,-35.62,-9.073,-49.32,-37.64,-13.14,-51.79,-40.63,-18.84,-54.43,-44.94,0.248,0.433,0.378,1.24e-10,1.27e-10,1.26e-10,0.00459,0.00691,0.00592,1.24e-10,1.26e-10,1.26e-10,1.0,2.0,0.004001,0.001368,0.2568,0.005432,5.105e-11,5.301e-11,5.367e-11,0.3139,0.08376,5.248e-11,4.878e-11,5.406e-11,0.0994,0.002273,-0.001165,1.547e-11,1.494e-11,0.002488,1.429e-11,-0.08843,1.329e-11,1.325e-11,1.555e-11,0.09385,0.0,1.583e-05,0.0,0.0,0.0,0.0,-0.003639,0.000948,1.772e-13,0.0,9.139e-14,-0.1798
2.63e-06,0.001642,2.066e-09,847.8,2.502e-13,876.9,-0.0197,-29.69,-29.04,-6.581,-34.02,-25.58,-9.074,-36.4,-27.07,-13.14,-40.52,-31.23,-18.84,-46.49,-38.27,0.348,0.333,0.333,1.42e-10,1.42e-10,1.42e-10,0.0484,0.0449,0.0449,1.37e-10,1.38e-10,1.38e-10,1.0,2.0,0.04549,0.0348,0.3366,0.0456,6.942e-11,6.369e-11,6.984e-11,0.3371,0.2779,6.369e-11,6.103e-11,6.986e-11,0.2447,0.03361,0.01,2.792e-11,3.154e-11,0.03559,3.152e-11,0.05333,2.616e-11,3.02e-11,2.793e-11,0.2352,-3.929e-12,0.003508,2.064e-12,7.736e-12,0.00354,4.727e-12,-0.02935,0.0454,4.363e-12,0.04544,7.635e-12,-0.1234
4.171999999999999e-06,0.0005179,9.393999999999999e-10,1109.0,2.1870000000000002e-13,65.19,-0.0196,7.672,18.07,-6.586,0.778,11.04,-9.091,-2.54,7.28,-13.17,-8.619,-0.445,-18.88,-17.86,-13.56,0.0834,0.433,0.346,8.96e-11,1.05e-10,1.05e-10,0.183,0.441,0.383,8.88e-11,1.05e-10,1.04e-10,2.0,2.0,0.1073,0.01386,0.1122,0.1104,0.0,1.993e-11,2.281e-11,0.0,-0.04513,1.99e-11,4.651e-12,0.0,0.0,0.001713,-0.2168,4.509e-13,0.0,0.0,4.614e-13,-0.2761,0.0,0.0,0.0,0.001271,0.0,0.0008332,0.0,0.0,0.0,0.0,-0.2362,0.001371,2.516e-13,0.0,2.488e-13,-0.274
8.988e-06,0.002319,2.271e-10,1398.0,2.694e-13,629.6,-0.0199,-37.84,-30.56,-6.606,-44.96,-33.92,-9.109,-49.34,-43.26,-13.17,-56.98,-56.79,-18.87,-66.55,-72.4,-0.000904,0.0582,0.0516,1.35e-10,1.36e-10,1.36e-10,-0.000321,0.0,1.83e-06,0.0,0.0,1.83e-11,1.0,2.0,6.431e-06,-0.0003722,0.02518,0.0,5.094e-11,0.0,5.657e-11,0.02525,-0.02878,1.423e-12,0.0,5.674e-11,0.0,2.717e-06,-0.0003698,2.671e-13,0.0,0.0,3.732e-13,-0.03616,0.0,0.0,0.0,0.0001252,0.0,4.086e-07,0.0,0.0,0.0,0.0,-0.0002602,6.701e-05,1.761e-13,0.0,1.347e-13,-0.02608
2.912e-06,0.001086,8.694999999999998e-10,1364.0,6.421000000000002e-13,1489.0,-0.0197,-35.98,-33.57,-6.581,-40.3,-27.98,-9.075,-42.73,-30.61,-13.14,-46.59,-35.5,-18.85,-51.68,-43.31,0.259,0.29,0.289,1.08e-10,1.12e-10,1.12e-10,0.00395,0.00628,0.00624,1.02e-10,1.07e-10,1.07e-10,1.0,2.0,0.006834,0.002431,0.252,0.008299,4.566e-11,4.321e-11,4.468e-11,0.2914,0.1654,4.151e-11,4.065e-11,4.705e-11,0.1151,0.002182,-0.00421,8.205e-12,1.424e-11,0.002388,1.261e-11,-0.1215,7.563e-12,9.064e-12,9.498e-12,0.1121,0.0,3.537e-05,0.0,0.0,0.0,0.0,-0.008621,0.0007782,5.927e-14,0.0,7.774e-14,-0.2425
9.003e-06,0.001248,4.298e-10,62.53,4.408000000000001e-13,946.9,-0.0197,-19.83,-39.67,-6.581,-11.61,-16.72,-9.102,-14.41,-19.87,-13.17,-21.73,-30.49,-18.87,-30.75,-42.83,0.324,0.391,0.391,1.07e-10,1.16e-10,1.16e-10,-0.0384,0.0208,0.0146,8.12e-11,2.81e-11,1.01e-10,2.0,2.0,0.01448,-0.1184,0.2129,0.01929,3.638e-11,4.52e-12,4.269e-11,0.2159,0.03974,1.404e-11,-2.332e-11,4.269e-11,0.0,0.0005257,-0.1345,3.725e-13,0.0,0.0,2.783e-13,-0.2968,0.0,0.0,0.0,0.001511,0.0,0.001833,0.0,0.0,0.0,0.0,-0.108,0.0007439,6.146e-13,0.0,2.807e-13,-0.2492
2.807e-06,0.000834,2.651e-09,682.1,4.342e-13,931.0,-0.0197,-2.15,-3.418,-6.579,-0.598,6.902,-9.076,-2.878,4.985,-13.15,-7.215,0.711,-18.86,-14.16,-6.634,0.368,0.401,0.401,1.29e-10,1.32e-10,1.32e-10,0.325,0.289,0.289,1.2e-10,1.27e-10,1.27e-10,2.0,2.0,0.3013,0.3068,0.3533,0.3036,6.104e-11,5.128e-11,6.168e-11,0.4099,0.2405,5.115e-11,4.762e-11,6.202e-11,0.2527,0.2987,0.2532,1.885e-11,2.538e-11,0.306,2.515e-11,0.02103,1.894e-11,2.397e-11,1.952e-11,0.2186,1.565e-12,0.01229,4.506e-14,5.202e-12,0.01721,1.077e-12,-0.1538,0.02418,2.058e-12,0.0245,3.739e-12,-0.1699
