fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_height_XY Vout_2 14G,eye_height_XY Vout_1 14G,eye_width Vout_2 14G,eye_height Vout_2 14G,eye_width Vout_1 14G,eye_maxHeight Vout_2 14G,eye_maxWidth Vout_1 14G,eye_maxWidth Vout_2 14G,eye_maxHeight Vout_1 14G,eye_width_XY Vout_1 14G,eye_width_XY Vout_2 14G,eye_height Vout_1 14G,eye_maxWidth Vout_1 28G,eye_height Vout_2 28G,eye_height Vout_1 28G,eye_height_XY Vout_1 28G,eye_width Vout_2 28G,eye_width Vout_1 28G,eye_maxWidth Vout_2 28G,eye_width_XY Vout_2 28G,eye_maxHeight Vout_2 28G,eye_height_XY Vout_2 28G,eye_maxHeight Vout_1 28G,eye_width_XY Vout_1 28G,eye_maxWidth Vout_1 56G,eye_height Vout_2 56G,eye_height Vout_1 56G,eye_height_XY Vout_2 56G,eye_width_XY Vout_1 56G,eye_maxHeight Vout_1 56G,eye_height_XY Vout_1 56G,eye_width Vout_1 56G,eye_maxHeight Vout_2 56G,eye_width_XY Vout_2 56G,eye_width Vout_2 56G,eye_maxWidth Vout_2 56G
8.605e-06,0.002064,1.238e-10,743.6,8.088e-13,1424.0,-0.01957,-43.18,-43.71,-6.599,-49.9,-38.45,-9.11,-53.92,-47.1,-13.17,-59.84,-58.67,-18.87,-66.63,-71.43,-0.00657,0.07934,0.06339,5.701e-11,7.236e-11,7.121e-11,-0.003357,0.0,0.001781,0.0,0.0,3.012e-11,1.0,2.0,4.894e-05,0.002581,0.0,-0.007975,2.071e-12,0.0,5.633e-12,0.0,0.004741,2.465e-12,1.186e-12,-0.1031,0.0,-0.007618,-0.1103,0.0003616,0.0,0.0,0.0,1.784e-13,0.0,1.228e-06,0.0,3.728e-13,0.0,-0.005063,-0.07281,1.916e-05,2.459e-13,0.0,0.0003448,0.0,0.0,4.456e-13,0.0,0.0
3.87e-06,0.0005279999999999,8.921000000000001e-10,885.2,1.756e-14,870.5,-0.01971,0.7627,1.829,-6.58,-5.494,-4.117,-9.073,-7.286,-5.153,-13.14,-10.27,-6.598,-18.86,-16.87,-13.31,-0.02791,0.1782,0.1329,1.007e-10,1.122e-10,1.122e-10,0.01159,0.1793,0.1286,1.132e-10,1.235e-10,1.235e-10,2.0,2.0,0.05813,0.05804,4.496e-11,0.008162,0.0,0.08487,0.0,4.889e-11,0.0,3.611e-11,4.887e-11,-0.0325,6.63e-12,0.04163,-0.07042,0.007014,1.587e-11,7.359e-12,1.672e-11,1.631e-11,0.05891,0.05096,0.01518,2.099e-12,0.0,-0.02945,-0.06721,0.006683,9.057e-13,0.0,0.002471,0.0,0.007617,3.158e-12,3.006e-12,1.371e-12
6.413999999999999e-06,0.001302,2.381e-09,134.1,1.358e-13,161.9,-0.01968,-3.913,-7.851,-6.581,-9.281,-12.04,-9.081,-9.187,-9.384,-13.17,-9.838,-6.356,-18.89,-17.76,-16.31,0.1873,0.4421,0.3799,9.165e-11,1.064e-10,1.063e-10,0.2119,0.3081,0.2745,1.074e-10,1.179e-10,1.178e-10,2.0,2.0,0.2275,0.1461,3.563e-11,0.2193,9.839e-12,0.2569,2.416e-11,4.334e-11,0.1522,2.415e-11,4.334e-11,0.03634,0.0,0.1101,-0.2576,0.00262,1.25e-11,0.0,9.949e-12,9.916e-12,0.05466,0.05349,0.0,3.721e-13,0.0,-0.1979,-0.2401,0.00163,1.159e-13,0.0,0.0008632,0.0,0.0,7.607e-14,0.0,0.0
7.92e-06,0.0008594999999999,1.9090000000000003e-09,368.7,7.548e-13,1117.0,-0.01968,-5.521,-11.02,-6.596,0.542,7.942,-9.115,-4.502,0.5802,-13.18,-12.79,-11.94,-18.88,-23.16,-27.1,0.2937,0.3996,0.399,8.445e-11,9.427e-11,9.415e-11,0.2093,0.05338,0.04951,2.139e-11,6.015e-11,6.005e-11,2.0,2.0,0.008302,0.1321,0.0,-0.06638,2.248e-11,0.0,2.367e-11,0.0,0.1322,2.07e-11,1.101e-12,-0.04692,0.0,-0.4244,-0.4738,0.001063,0.0,0.0,0.0,5.185e-13,0.0,0.00759,0.0,5.253e-13,0.0,-0.4473,-0.3228,0.01018,4.788e-14,0.0,0.0002626,0.0,0.0,6.353e-13,0.0,0.0
6.346e-06,0.001929,1.396e-09,1491.0,9.29e-13,1293.0,-0.01969,-47.15,-41.96,-6.592,-59.8,-45.95,-9.101,-59.1,-48.46,-13.17,-60.41,-54.7,-18.88,-64.8,-64.82,0.05526,0.1707,0.1441,8.852e-11,9.477e-11,9.456e-11,-0.0002026,0.0,4.036e-07,0.0,0.0,1.938e-12,1.0,2.0,6.517e-07,0.05092,0.0,-0.0001369,2.523e-11,0.0,2.296e-11,0.0,0.05666,2.189e-11,2.752e-12,-0.05276,0.0,-0.0002768,-0.1413,0.0003821,0.0,0.0,0.0,5.235e-13,0.0,1.401e-06,0.0,2.996e-13,0.0,-0.0002562,-0.1258,1.699e-06,1.035e-13,0.0,0.0002891,0.0,0.0,6.77e-14,0.0,0.0
6.13e-06,0.002181,2.4590000000000003e-09,53.41,3.046000000000001e-13,823.0,-0.01972,-20.45,-40.91,-6.573,-11.93,-17.35,-9.073,-7.531,-6.175,-13.18,-6.903,-0.6879,-18.9,-16.03,-12.96,0.09713,0.1515,0.137,1.211e-10,1.278e-10,1.278e-10,-0.02813,0.01486,0.01484,1.332e-10,1.355e-10,1.352e-10,2.0,2.0,0.01497,0.09198,5.747e-11,-0.01658,5.807e-11,0.01497,5.844e-11,6.114e-11,0.09914,5.792e-11,6.107e-11,0.01008,1.439e-11,-0.05476,-0.06153,0.01338,8.841e-12,1.233e-11,8.553e-12,1.669e-11,0.01503,0.01464,0.01354,1.379e-11,0.0,-0.05017,-0.06018,0.006114,1.609e-13,0.0,0.0001959,0.0,0.0,1.501e-12,0.0,0.0
4.671e-06,0.0008215,1.9210000000000003e-09,1334.0,1.275e-13,1452.0,-0.01966,-30.02,-28.4,-6.584,-37.22,-26.2,-9.086,-40.15,-27.94,-13.16,-45.04,-35.52,-18.88,-52.31,-47.8,0.2626,0.3087,0.3053,1.417e-10,1.418e-10,1.418e-10,0.005905,0.01152,0.01135,1.414e-10,1.416e-10,1.416e-10,1.0,2.0,0.01149,0.3077,6.024e-11,0.002902,6.237e-11,0.01151,6.555e-11,6.412e-11,0.3078,6.554e-11,6.411e-11,0.1512,2.565e-11,-0.0007056,0.108,0.2821,1.814e-11,2.147e-11,2.38e-11,2.376e-11,0.008444,0.008306,0.2926,2.566e-11,0.0,-0.009201,-0.2115,3.166e-05,3.359e-13,0.0,0.004462,0.0,0.0,4.639e-14,0.0,0.0
4.001e-06,0.002106,1.851e-09,503.7,9.283e-13,589.8,-0.01968,-19.84,-19.77,-6.583,-22.85,-14.12,-9.082,-25.57,-16.94,-13.15,-30.5,-22.83,-18.87,-38.42,-33.24,0.0998,0.2155,0.1835,1.196e-10,1.228e-10,1.223e-10,0.219,0.2203,0.2202,9.369e-11,1.065e-10,1.063e-10,1.0,2.0,0.1998,0.1093,3.482e-11,0.08955,4.649e-11,0.2245,4.843e-11,3.882e-11,0.1298,4.803e-11,3.879e-11,-0.005922,0.0,-0.1782,-0.1041,0.0128,2.395e-12,0.0,5.981e-12,3.532e-12,0.009905,0.002373,0.0,2.479e-12,0.0,-0.2287,-0.1202,0.00173,4.368e-14,0.0,0.0001362,0.0,0.0,4.732e-13,0.0,0.0
5.962e-06,0.00131,4.39e-10,52.03,9.182e-13,448.6,-0.01971,-16.82,-33.66,-6.58,-13.78,-21.06,-9.084,-15.98,-22.98,-13.16,-20.33,-27.63,-18.88,-26.66,-34.58,0.5255,0.5878,0.5877,1.276e-10,1.302e-10,1.301e-10,0.1433,0.07967,0.07965,1.028e-10,1.147e-10,1.147e-10,2.0,2.0,0.08139,0.4195,3.485e-11,0.06125,5.061e-11,0.08241,5.338e-11,4.149e-11,0.4374,5.331e-11,4.149e-11,0.1754,0.0,-0.06921,-0.3092,0.002575,0.0,0.0,0.0,5.096e-13,0.0,0.004627,0.0,1.301e-12,0.0,-0.08688,-0.269,0.0005342,1.01e-13,0.0,0.0005754,0.0,0.0,2.516e-13,0.0,0.0
5.76e-06,0.002039,2.009e-09,919.0,2.165e-13,632.1,-0.01963,-43.86,-39.49,-6.587,-49.69,-38.3,-9.095,-52.03,-40.79,-13.17,-55.85,-48.76,-18.88,-61.34,-59.78,0.1334,0.1838,0.1751,1.405e-10,1.41e-10,1.41e-10,0.001282,0.003275,0.002886,1.248e-10,1.296e-10,1.296e-10,1.0,2.0,0.001626,0.1338,4.557e-11,-0.0003139,6.763e-11,0.001639,6.777e-11,5.058e-11,0.1459,6.776e-11,5.058e-11,0.05356,2.527e-11,-0.002043,-0.06549,0.04613,0.0,2.223e-11,0.0,1.352e-12,0.0,8.113e-06,0.04657,2.526e-11,0.0,-0.001634,-0.0851,1.601e-05,1.84e-13,0.0,1.623e-05,0.0,0.0,7.223e-13,0.0,0.0
3.87e-06,0.00103,1.9250000000000003e-09,1188.0,2.832e-13,1258.0,-0.01968,-31.52,-29.82,-6.582,-36.38,-24.3,-9.081,-39.0,-26.82,-13.15,-43.55,-33.17,-18.87,-50.36,-43.87,0.3912,0.3342,0.334,1.308e-10,1.338e-10,1.338e-10,0.01732,0.01436,0.01435,1.267e-10,1.311e-10,1.311e-10,1.0,2.0,0.0148,0.3471,4.743e-11,0.007119,5.378e-11,0.01484,5.846e-11,5.363e-11,0.3479,5.844e-11,5.36e-11,0.2765,2.344e-11,-0.003321,0.04553,0.2219,1.526e-11,2.162e-11,1.776e-11,1.772e-11,0.00747,0.007449,0.2248,2.333e-11,0.0,-0.01604,-0.2558,6.665e-05,1.125e-12,0.0,0.001873,0.0,0.0,1.921e-13,0.0,0.0
8.313e-06,0.001398,1.2640000000000002e-09,1213.0,1.816e-13,1339.0,-0.01957,-47.08,-45.11,-6.598,-43.01,-30.52,-9.109,-47.14,-38.8,-13.17,-54.56,-52.21,-18.87,-63.75,-67.48,0.2064,0.2771,0.277,1.328e-10,1.36e-10,1.36e-10,-0.002347,0.001453,0.0009962,4.882e-11,8.16e-11,8.16e-11,1.0,2.0,2.339e-05,0.276,0.0,-0.003716,5.061e-11,0.0,5.696e-11,0.0,0.2807,5.694e-11,8.854e-13,0.1464,0.0,-0.003003,-0.2412,0.004707,0.0,0.0,0.0,3.034e-13,0.0,1.763e-05,0.0,2.454e-12,0.0,-0.002341,-0.179,1.855e-06,7.544e-14,0.0,0.001577,0.0,0.0,9.355e-14,0.0,0.0
3.307e-06,0.00176,2.6410000000000003e-09,723.8,8.120000000000002e-13,936.9,-0.01969,-27.77,-27.58,-6.581,-30.94,-21.08,-9.077,-33.52,-23.67,-13.15,-37.98,-28.63,-18.86,-44.82,-37.18,0.2174,0.3001,0.2847,1.181e-10,1.221e-10,1.216e-10,0.04577,0.07424,0.0739,1.063e-10,1.112e-10,1.111e-10,1.0,2.0,0.0807,0.2038,4.431e-11,0.03323,4.872e-11,0.09143,5.011e-11,4.678e-11,0.2429,5.001e-11,4.528e-11,0.129,1.221e-11,-0.05523,-0.06072,0.05985,8.575e-12,1.137e-11,1.314e-11,1.133e-11,0.03247,0.03225,0.06091,1.221e-11,0.0,-0.09986,-0.1619,0.0001146,7.397e-14,0.0,0.002368,0.0,0.0,9.683e-14,0.0,0.0
4.549e-06,0.0006113999999999,6.102e-10,1097.0,1.767e-13,377.2,-0.01966,-0.4652,6.535,-6.583,-5.849,3.69,-9.088,-8.467,1.859,-13.16,-14.2,-5.889,-18.88,-23.41,-19.69,0.2527,0.4011,0.369,1.232e-10,1.286e-10,1.286e-10,0.2193,0.269,0.2655,1.277e-10,1.319e-10,1.319e-10,1.0,2.0,0.2414,0.3002,5.9e-11,0.2026,5.31e-11,0.2613,5.573e-11,6.099e-11,0.3365,5.573e-11,6.1e-11,0.2223,2e-11,-0.0503,-0.04132,0.1589,2.412e-11,1.737e-11,2.491e-11,2.491e-11,0.09688,0.09668,0.1607,1.984e-11,0.0,-0.1755,-0.229,0.0001193,2.271e-13,0.0,0.001407,0.0,0.0,7.567e-14,0.0,0.0
6.918999999999999e-06,0.000554,7.352e-10,633.1,7.531000000000001e-13,1337.0,-0.01968,-2.341,-4.637,-6.595,1.964,10.98,-9.112,-3.004,3.867,-13.18,-11.23,-8.587,-18.88,-22.18,-25.05,0.2539,0.3428,0.3385,7.975e-11,9.017e-11,8.956e-11,0.2345,0.1117,0.108,2.946e-11,5.36e-11,5.294e-11,2.0,2.0,0.02462,0.11,0.0,0.0386,2.526e-11,0.0,2.022e-11,0.0,0.122,1.587e-11,2.964e-12,0.04715,0.0,-0.3831,-0.3149,0.000761,-1.563e-11,0.0,9.859e-13,1.06e-12,0.01134,0.009805,0.0,2.84e-13,0.0,-0.3456,-0.2911,0.003829,5.034e-14,0.0,4.099e-05,0.0,0.0,4.717e-13,0.0,0.0
1.57e-06,0.0009662,2.452e-09,408.0,4.644e-13,813.4,-0.01975,-6.236,-12.37,-6.579,-6.162,-5.635,-9.069,-8.207,-7.248,-13.13,-11.38,-9.6,-18.81,-14.5,-10.51,0.2221,0.3666,0.3264,1.327e-10,1.344e-10,1.343e-10,0.1631,0.1755,0.1754,1.274e-10,1.33e-10,1.33e-10,2.0,2.0,0.1872,0.2384,6.245e-11,0.1092,6.052e-11,0.1873,6.059e-11,6.336e-11,0.2939,6.055e-11,6.326e-11,0.09201,2.429e-11,0.004759,-0.04965,0.1365,2.983e-11,2.323e-11,2.999e-11,2.962e-11,0.1685,0.1022,0.1591,2.397e-11,0.0,0.1116,-0.104,0.1465,2.543e-12,0.0,0.0104,0.0,0.1516,1.234e-11,1.126e-11,1.246e-11
9.707e-06,0.001417,2.003e-09,669.3,9.136e-13,104.5,-0.01955,-20.98,-10.49,-6.603,-29.32,-19.75,-9.111,-34.81,-29.71,-13.17,-43.53,-44.04,-18.86,-54.5,-60.75,0.2288,0.4595,0.4477,8.203e-11,9.903e-11,9.896e-11,0.1459,0.3141,0.3121,8.05e-11,9.797e-11,9.79e-11,1.0,2.0,0.001836,0.00234,0.0,-0.2307,0.0,0.0,0.0,0.0,0.0,2.364e-13,6.758e-13,-0.2574,0.0,-0.216,-0.2496,0.001031,0.0,0.0,0.0,5.033e-13,0.0,0.003343,0.0,2.51e-13,0.0,-0.2215,-0.24,0.0006371,3.352e-13,0.0,0.001607,0.0,0.0,4.732e-13,0.0,0.0
3.411e-06,0.0007422,2.1450000000000003e-09,1193.0,2.4530000000000004e-14,39.78,-0.01969,-13.55,-2.272,-6.582,-20.18,-9.018,-9.078,-22.86,-12.04,-13.15,-27.58,-17.86,-18.86,-34.98,-28.05,-0.03603,0.4769,0.3721,8.937e-11,1.045e-10,1.045e-10,-0.1018,0.1165,0.09067,8.903e-11,1.047e-10,1.046e-10,1.0,2.0,0.02715,0.1275,8.121e-12,-0.1076,0.0,0.02769,0.0,2.334e-11,0.0,2.445e-11,2.328e-11,-0.08841,0.0,-0.126,-0.3185,0.00292,0.0,0.0,0.0,4.276e-13,0.0,0.0002054,0.0,7.442e-13,0.0,-0.1103,-0.3085,0.0005836,3.128e-13,0.0,0.0009464,0.0,0.0,4.157e-14,0.0,0.0
1.383e-06,0.001482,1.376e-09,1264.0,7.826000000000001e-13,454.0,-0.01974,-33.63,-29.25,-6.58,-39.21,-31.37,-9.069,-41.58,-33.71,-13.13,-45.28,-37.54,-18.82,-49.83,-42.64,0.1171,0.3093,0.2548,1.26e-10,1.288e-10,1.287e-10,0.006327,0.01475,0.01256,1.261e-10,1.298e-10,1.296e-10,1.0,2.0,0.00836,0.1625,5.085e-11,0.001348,4.779e-11,0.01036,5.312e-11,5.54e-11,0.1986,5.299e-11,5.535e-11,0.004207,1.281e-11,-0.00383,-0.08721,0.05059,0.0,7.631e-12,0.0,1.486e-11,0.0,0.003329,0.05098,1.278e-11,0.0,-0.006962,-0.1375,1.975e-05,2.629e-13,0.0,0.0007668,0.0,0.0,7.419e-14,0.0,0.0
4.255e-06,0.001017,1.8599999999999998e-09,481.1,7.428e-13,329.2,-0.01969,1.615,3.659,-6.581,0.2545,7.749,-9.088,-2.421,5.147,-13.17,-7.903,-1.25,-18.89,-16.49,-12.32,0.5485,0.7319,0.6947,1.376e-10,1.386e-10,1.386e-10,0.9486,0.8183,0.818,1.296e-10,1.329e-10,1.329e-10,2.0,2.0,0.8319,0.5399,5.834e-11,0.7386,6.186e-11,0.8341,6.417e-11,6.08e-11,0.5932,6.416e-11,6.08e-11,0.251,2.009e-11,0.003138,-0.1577,0.1821,1.702e-11,1.512e-11,2.098e-11,1.99e-11,0.3602,0.3466,0.1843,2.007e-11,0.0,-0.454,-0.311,0.002645,7.91e-14,0.0,0.00133,0.0,0.0,1.843e-13,0.0,0.0
