fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_width Vout_2 14G,eye_height Vout_1 14G,eye_maxWidth Vout_1 14G,eye_width Vout_1 14G,eye_width_XY Vout_2 14G,eye_width_XY Vout_1 14G,eye_height_XY Vout_2 14G,eye_maxHeight Vout_1 14G,eye_height Vout_2 14G,eye_maxWidth Vout_2 14G,eye_maxHeight Vout_2 14G,eye_height_XY Vout_1 14G,eye_width Vout_2 28G,eye_maxHeight Vout_2 28G,eye_maxHeight Vout_1 28G,eye_height Vout_1 28G,eye_maxWidth Vout_2 28G,eye_height_XY Vout_2 28G,eye_width_XY Vout_1 28G,eye_maxWidth Vout_1 28G,eye_width_XY Vout_2 28G,eye_height Vout_2 28G,eye_width Vout_1 28G,eye_height_XY Vout_1 28G,eye_maxWidth Vout_2 56G,eye_height_XY Vout_2 56G,eye_width_XY Vout_2 56G,eye_width_XY Vout_1 56G,eye_maxWidth Vout_1 56G,eye_width Vout_2 56G,eye_height Vout_2 56G,eye_maxHeight Vout_2 56G,eye_maxHeight Vout_1 56G,eye_height_XY Vout_1 56G,eye_width Vout_1 56G,eye_height Vout_1 56G
1.861e-06,0.001843,2.442e-09,110.1,7.675e-13,342.6,-0.01975,-13.47,-26.98,-6.579,-15.33,-24.18,-9.068,-15.85,-22.72,-13.13,-15.93,-18.82,-18.81,-15.04,-11.74,0.1582,0.3613,0.3067,1.287e-10,1.324e-10,1.323e-10,0.09649,0.09706,0.09681,1.405e-10,1.407e-10,1.407e-10,2.0,2.0,7.01e-11,0.03709,5.602e-11,5.066e-11,6.993e-11,5.583e-11,0.1005,0.2428,0.05645,7.002e-11,0.1013,0.1989,3.481e-11,0.1105,0.09151,-0.06183,3.494e-11,0.08297,1.693e-11,1.7e-11,3.487e-11,0.04709,1.261e-11,0.08275,1.651e-11,0.09646,1.649e-11,1.991e-13,0.0,1.611e-11,-0.02279,0.1076,0.0,0.0001391,0.0,-0.1174
1.248e-06,0.001285,1.577e-09,670.3,3.4860000000000005e-13,432.5,-0.01974,-5.119,-6.303,-6.58,-9.236,-7.44,-9.069,-11.43,-9.242,-13.13,-15.32,-12.94,-18.82,-20.71,-17.98,0.1474,0.2724,0.231,1.264e-10,1.309e-10,1.309e-10,0.2727,0.3038,0.2944,1.411e-10,1.414e-10,1.414e-10,1.0,2.0,6.899e-11,0.04057,5.516e-11,5.021e-11,6.93e-11,5.511e-11,0.2418,0.1886,0.1368,6.931e-11,0.2778,0.1533,2.92e-11,0.1778,0.07818,-0.05497,3.085e-11,0.1549,1.695e-11,1.711e-11,3.081e-11,-0.01527,1.292e-11,0.06808,7.99e-12,0.03575,7.949e-12,1.706e-13,0.0,4.212e-12,-0.08434,0.03626,0.0,0.0005611,0.0,-0.1096
6.782e-06,0.001871,3.521e-10,1390.0,3.071e-13,614.7,-0.01964,-58.71,-51.24,-6.592,-47.55,-34.18,-9.103,-50.62,-40.39,-13.17,-56.35,-51.42,-18.88,-63.76,-64.72,0.2467,0.2931,0.282,1.388e-10,1.392e-10,1.392e-10,-0.001161,0.000198,0.0001914,3.525e-11,5.388e-11,5.384e-11,1.0,2.0,0.0,0.04842,6.832e-11,6.773e-11,4.283e-13,6.832e-11,1.57e-05,0.2006,-0.001281,0.0,0.0,0.1958,0.0,0.0,0.02565,-0.1351,0.0,2.308e-06,1.76e-11,7.392e-12,3.895e-13,-0.001164,9.939e-12,0.02238,0.0,9.76e-07,1.106e-13,3.15e-13,0.0,0.0,-0.0008575,0.0,0.0,0.0003026,0.0,-0.1147
9.585e-06,0.002357,2.421e-09,263.7,4.927e-13,417.8,-0.01961,-3.686,-5.58,-6.606,-3.234,4.156,-9.121,-9.12,-4.785,-13.17,-18.13,-18.87,-18.87,-28.8,-34.45,-0.01345,0.05213,0.04669,1.273e-10,1.308e-10,1.301e-10,0.04533,0.09197,0.09187,9.247e-11,1.088e-10,1.088e-10,1.0,2.0,8.879e-12,-0.04186,3.965e-11,2.908e-11,2.057e-11,3.943e-11,0.009624,0.0127,-0.03703,2.073e-11,0.01018,0.01267,0.0,0.0,0.0,-0.04021,0.0,9.704e-05,8.087e-14,0.0,2.584e-13,-0.06044,0.0,9.144e-05,0.0,0.0001996,7.32e-13,9.211e-14,0.0,0.0,-0.04045,0.0,0.0,3.361e-05,0.0,-0.02627
6.301999999999999e-06,0.001367,2.99e-09,298.4,1.289e-13,626.6,-0.01969,-4.434,-8.758,-6.575,-5.356,-4.09,-9.085,-3.67,2.046,-13.19,-8.506,-2.592,-18.89,-18.55,-17.19,0.3361,0.3928,0.388,1.239e-10,1.293e-10,1.293e-10,-0.02722,0.2637,0.2601,1.299e-10,1.338e-10,1.338e-10,2.0,2.0,5.524e-11,0.3082,5.865e-11,5.624e-11,5.948e-11,5.856e-11,0.1274,0.3631,-0.4259,5.96e-11,0.2019,0.3563,-9.053e-12,0.1225,0.1836,0.07121,1.301e-11,0.1073,2.403e-11,2.436e-11,1.301e-11,-0.2675,2.347e-11,0.1803,0.0,0.001103,1.042e-13,5.852e-13,0.0,0.0,-0.4406,0.0,0.0,0.005166,0.0,-0.1922
5.211e-06,0.002056,1.1830000000000002e-09,313.0,5.89e-13,1109.0,-0.0197,-8.646,-15.88,-6.583,-2.8,4.002,-9.097,-5.903,0.756,-13.18,-12.33,-7.599,-18.89,-21.91,-20.79,0.08112,0.1718,0.1505,1.05e-10,1.109e-10,1.107e-10,0.06762,0.04021,0.03874,9.168e-11,7.654e-12,1.053e-10,2.0,2.0,8.842e-12,0.002247,4.269e-11,4.215e-11,2.237e-11,4.069e-11,0.04958,0.1011,-0.1017,2.239e-11,0.05157,0.09017,0.0,0.0,0.0,-0.1238,0.0,0.003564,2.41e-12,0.0,5.264e-13,-0.1904,0.0,0.002267,0.0,0.0001446,1.419e-13,1.578e-13,0.0,0.0,-0.1966,0.0,0.0,0.0004317,0.0,-0.1068
1.558e-06,0.0006932999999999,1.23e-09,620.3,6.532000000000001e-13,627.7,-0.01975,-1.856,-3.529,-6.579,-3.316,0.1643,-9.07,-5.68,-2.09,-13.13,-9.68,-6.099,-18.82,-15.27,-11.8,0.1798,0.3729,0.3243,1.274e-10,1.299e-10,1.296e-10,0.2647,0.3245,0.3242,1.164e-10,1.229e-10,1.229e-10,2.0,2.0,5.216e-11,0.05266,5.572e-11,5.334e-11,5.346e-11,5.547e-11,0.2766,0.264,0.1803,5.429e-11,0.3277,0.2165,1.519e-11,0.1661,0.09028,-0.09275,1.89e-11,0.1441,1.565e-11,1.621e-11,1.866e-11,-0.0469,1.313e-11,0.08476,0.0,0.00295,1.008e-12,1.35e-14,0.0,0.0,-0.207,0.0,0.0,7.195e-05,0.0,-0.1591
4.557999999999999e-06,0.001743,1.505e-10,284.6,6.199e-13,1270.0,-0.01972,-9.154,-18.05,-6.58,-1.994,3.165,-9.088,-4.786,0.2925,-13.17,-10.7,-7.13,-18.88,-20.09,-20.05,0.171,0.2356,0.2349,1.103e-10,1.144e-10,1.144e-10,0.01206,0.01894,0.01486,8.981e-11,4.675e-12,1.012e-10,2.0,2.0,1.663e-11,0.109,4.782e-11,4.604e-11,2.571e-11,4.613e-11,0.04048,0.2185,-0.1388,2.594e-11,0.04121,0.2057,0.0,0.0,0.0,-0.138,0.0,0.004544,4.918e-12,0.0,9.131e-13,-0.2756,0.0,0.008894,0.0,0.003517,2.952e-13,1.147e-13,0.0,0.0,-0.3139,0.0,0.0,0.0003601,0.0,-0.1816
5.758e-06,0.0007993,8.754e-10,571.2,6.516000000000002e-13,19.83,-0.01959,8.64,17.76,-6.592,1.374,10.05,-9.105,-2.628,4.917,-13.18,-9.8,-5.147,-18.89,-20.12,-20.23,0.06899,0.5808,0.4892,8.316e-11,1.001e-10,1e-10,0.6818,1.014,0.975,7.945e-11,9.738e-11,9.73e-11,2.0,2.0,0.0,-0.1606,0.0,0.0,4.771e-12,9.506e-12,0.01855,0.0,-0.1184,0.0,0.0,0.01663,0.0,0.0,0.0,-0.3819,0.0,0.005159,1.258e-13,0.0,1.32e-13,-0.3253,0.0,0.003609,0.0,0.004718,3.205e-13,7.98e-14,0.0,0.0,-0.3994,0.0,0.0,0.0005528,0.0,-0.3434
7.098e-06,0.002244,2.2540000000000003e-09,1393.0,2.6810000000000004e-13,34.22,-0.01979,-61.52,-46.93,-6.599,-55.64,-43.33,-9.105,-54.02,-45.18,-13.17,-56.28,-52.48,-18.88,-62.87,-64.82,-0.07258,0.07148,0.06316,7.784e-11,9.606e-11,9.599e-11,-0.0002077,0.0002436,0.0001943,7.27e-11,9.122e-11,9.098e-11,1.0,2.0,0.0,-0.1023,0.0,0.0,3.439e-13,2.363e-12,1.001e-06,0.0,-0.0004274,0.0,0.0,0.0004863,0.0,0.0,0.0,-0.09272,0.0,4.075e-07,1.437e-13,0.0,1.695e-14,-0.00043,0.0,0.0001655,0.0,3.205e-07,3.474e-14,3.857e-13,0.0,0.0,-0.0003042,0.0,0.0,0.0002166,0.0,-0.0579
3.827e-06,0.001317,1.788e-09,370.3,5.216e-13,1435.0,-0.01973,-8.129,-16.01,-6.578,-1.337,4.404,-9.081,-3.627,2.463,-13.16,-8.236,-2.309,-18.88,-15.7,-10.84,0.2776,0.2821,0.2812,1.121e-10,1.194e-10,1.193e-10,0.1453,0.01497,0.01031,1.004e-10,4.087e-12,1.086e-10,2.0,2.0,2.668e-11,0.2255,5.21e-11,4.961e-11,3.615e-11,5.12e-11,0.04854,0.3307,-0.1173,3.651e-11,0.04859,0.3072,2.545e-12,0.04717,0.1403,-0.07681,5.103e-12,0.04002,1.379e-11,1.501e-11,4.702e-12,-0.119,1.289e-11,0.1308,0.0,0.007415,6.795e-13,1.993e-13,0.0,0.0,-0.5061,0.0,0.0,0.002406,0.0,-0.2312
6.835e-06,0.001402,2.4390000000000004e-09,164.7,5.095e-13,26.37,-0.01963,2.122,4.218,-6.587,-4.225,-1.893,-9.098,-6.366,-3.597,-13.18,-10.71,-7.951,-18.89,-19.24,-19.28,0.1531,0.4934,0.4445,7.925e-11,9.696e-11,9.686e-11,0.4101,0.6301,0.5812,8.172e-11,9.858e-11,9.854e-11,2.0,2.0,0.0,-0.1505,0.0,0.0,6.442e-12,2.86e-12,0.01213,0.0,-0.07915,0.0,0.0,0.00585,0.0,0.0,0.0,-0.3264,0.0,0.000402,2.598e-13,0.0,3.493e-13,-0.2693,0.0,0.001246,0.0,0.003992,3.044e-13,2.837e-13,0.0,0.0,-0.2825,0.0,0.0,0.001629,0.0,-0.2469
1.279e-06,0.001232,2.193e-09,94.13,5.853e-13,800.5,-0.01976,-19.55,-39.16,-6.579,-19.55,-32.66,-9.068,-20.04,-31.14,-13.13,-20.14,-27.2,-18.81,-19.81,-20.83,0.1471,0.2864,0.2439,1.236e-10,1.271e-10,1.266e-10,0.02818,0.03313,0.03293,1.354e-10,1.362e-10,1.361e-10,2.0,2.0,5.557e-11,0.02294,5.404e-11,4.922e-11,4.817e-11,5.377e-11,0.03848,0.2026,0.02779,1.572e-11,0.03971,0.1612,0.0,0.0,0.0,-0.05818,0.0,0.0486,1.61e-11,0.0,1.597e-11,0.03059,0.0,0.07261,1.434e-11,0.05381,1.433e-11,3.623e-13,0.0,1.341e-11,-0.01512,0.05464,0.0,0.001073,0.0,-0.1323
6.667e-06,0.001379,2.114e-09,583.7,6.09e-13,619.5,-0.01963,-12.17,-10.79,-6.591,-15.21,-4.432,-9.103,-19.03,-10.22,-13.17,-26.2,-21.64,-18.88,-36.55,-37.19,0.4352,0.4731,0.4727,1.264e-10,1.292e-10,1.292e-10,0.3089,0.3993,0.3991,9.741e-11,1.113e-10,1.113e-10,1.0,2.0,2.907e-11,0.2409,5.656e-11,5.437e-11,3.575e-11,5.637e-11,0.341,0.4009,0.1961,3.576e-11,0.3541,0.4005,0.0,0.0,0.0,-0.3335,0.0,0.00149,5.48e-13,0.0,2.583e-13,-0.3145,0.0,0.00104,0.0,0.001972,3.098e-13,4.268e-13,0.0,0.0,-0.297,0.0,0.0,0.0006304,0.0,-0.2309
4.95e-06,0.00109,2.2890000000000003e-09,918.7,7.108e-13,273.1,-0.01966,-21.3,-13.48,-6.585,-27.26,-15.35,-9.088,-30.23,-19.12,-13.16,-35.8,-27.53,-18.88,-44.63,-40.99,0.5996,0.7663,0.7233,1.337e-10,1.36e-10,1.36e-10,0.2275,0.2528,0.2526,1.414e-10,1.416e-10,1.416e-10,1.0,2.0,6.739e-11,0.294,6.084e-11,5.803e-11,6.824e-11,6.084e-11,0.1876,0.5804,0.03255,6.824e-11,0.1949,0.5365,1.619e-11,0.02659,0.1331,-0.1862,2.198e-11,0.02652,1.618e-11,1.622e-11,2.185e-11,-0.1327,1.167e-11,0.1326,0.0,0.0001865,2.759e-13,6.093e-14,0.0,0.0,-0.1279,0.0,0.0,0.0008276,0.0,-0.2972
5.634999999999999e-06,0.002317,6.309e-10,48.99,8.128000000000002e-14,880.6,-0.01972,-21.86,-43.74,-6.578,-23.42,-40.3,-9.067,-20.59,-32.18,-13.14,-18.49,-24.0,-18.88,-21.94,-25.11,0.01816,0.05431,0.04819,1.307e-10,1.34e-10,1.34e-10,0.001756,0.007008,0.004165,1.399e-10,1.405e-10,1.405e-10,2.0,2.0,6.797e-11,0.004497,6.03e-11,5.787e-11,6.832e-11,6.013e-11,0.004996,0.04291,0.00184,6.832e-11,0.005427,0.03868,2.491e-11,0.005304,0.01764,-0.02114,2.773e-11,0.005297,2.114e-11,2.119e-11,2.771e-11,-0.001469,1.632e-11,0.01724,6.49e-12,0.002925,6.439e-12,3.664e-13,0.0,1.962e-12,-0.003783,0.003334,0.0,0.0003875,0.0,-0.03391
2.307e-06,0.0005711,3.92e-10,1359.0,8.873000000000003e-14,123.9,-0.01971,-4.829,4.395,-6.581,-11.42,-2.19,-9.073,-14.0,-4.777,-13.14,-18.38,-9.381,-18.84,-25.03,-17.4,0.0747,0.3229,0.251,8.91e-11,1.051e-10,1.05e-10,-0.01036,0.1104,0.08536,9.012e-11,1.057e-10,1.056e-10,1.0,2.0,0.0,-0.08796,0.0,0.0,2.513e-11,2.598e-11,0.02854,0.0,-0.06652,0.0,0.0,0.09032,0.0,0.0,0.0,-0.1947,0.0,0.0001509,2.222e-13,0.0,9.945e-14,-0.0935,0.0,0.0007215,0.0,0.0001525,5.124e-14,2.38e-13,0.0,0.0,-0.0866,0.0,0.0,0.0001181,0.0,-0.2039
6.687e-06,0.00117,6.645e-10,864.8,6.711e-13,1175.0,-0.01962,-26.48,-25.56,-6.59,-30.19,-17.89,-9.101,-33.92,-24.39,-13.17,-40.87,-36.1,-18.88,-50.93,-51.84,0.3404,0.353,0.352,9.701e-11,1.053e-10,1.053e-10,-0.1221,0.04059,0.03997,6.967e-11,8.992e-11,8.95e-11,1.0,2.0,5.433e-12,0.147,3.819e-11,3.664e-11,1.105e-11,3.743e-11,0.004788,0.2748,-0.1177,1.259e-11,0.005072,0.2735,0.0,0.0,0.004868,-0.3156,0.0,0.0003052,5.168e-14,7.495e-13,1.039e-12,-0.1796,-1.755e-11,0.0003568,0.0,0.0002421,1.426e-13,5.985e-14,0.0,0.0,-0.1256,0.0,0.0,5.441e-05,0.0,-0.2924
5.981e-06,0.002297,2.852e-09,914.9,5.338e-13,397.4,-0.01963,-46.06,-39.17,-6.588,-56.61,-43.78,-9.097,-57.06,-46.18,-13.17,-58.57,-52.04,-18.88,-62.85,-61.71,0.02862,0.1155,0.1002,1.351e-10,1.366e-10,1.363e-10,0.000138,0.001875,0.001631,1.275e-10,1.311e-10,1.311e-10,1.0,2.0,4.124e-11,-0.03183,5.901e-11,5.541e-11,4.873e-11,5.9e-11,0.0007336,0.06429,-0.0007595,4.874e-11,0.000737,0.06194,0.0,0.0,0.0,-0.07212,0.0,9.25e-06,1.79e-12,0.0,6.161e-13,-0.001078,0.0,0.000952,0.0,4.669e-06,2.493e-13,3.334e-13,0.0,0.0,-0.000863,0.0,0.0,0.0003015,0.0,-0.0529
1.7529999999999998e-06,0.0007965,1.709e-09,1227.0,6.333e-13,464.8,-0.01973,-14.8,-9.763,-6.58,-19.92,-10.91,-9.071,-22.4,-13.29,-13.13,-26.55,-17.62,-18.82,-32.58,-24.38,0.2646,0.4444,0.3875,1.319e-10,1.35e-10,1.35e-10,0.06513,0.1114,0.09676,1.329e-10,1.348e-10,1.347e-10,1.0,2.0,5.81e-11,0.06393,5.95e-11,5.619e-11,6.03e-11,5.941e-11,0.06805,0.3269,0.02381,6.034e-11,0.08293,0.2705,1.983e-11,0.03748,0.1331,-0.08677,2.233e-11,0.03504,1.938e-11,1.978e-11,2.208e-11,-0.02517,1.546e-11,0.1233,0.0,0.0003391,8.076e-14,1.176e-13,0.0,0.0,-0.04641,0.0,0.0,0.001002,0.0,-0.1697
