fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_width_XY Vout_2 14G,eye_width Vout_1 14G,eye_height_XY Vout_1 14G,eye_maxWidth Vout_1 14G,eye_maxHeight Vout_2 14G,eye_height Vout_2 14G,eye_maxHeight Vout_1 14G,eye_width Vout_2 14G,eye_width_XY Vout_1 14G,eye_height Vout_1 14G,eye_height_XY Vout_2 14G,eye_maxWidth Vout_2 14G,eye_height Vout_1 28G,eye_maxHeight Vout_2 28G,eye_maxWidth Vout_2 28G,eye_width_XY Vout_1 28G,eye_width Vout_1 28G,eye_height_XY Vout_2 28G,eye_height_XY Vout_1 28G,eye_width Vout_2 28G,eye_height Vout_2 28G,eye_maxHeight Vout_1 28G,eye_width_XY Vout_2 28G,eye_maxWidth Vout_1 28G,eye_width_XY Vout_2 56G,eye_width Vout_2 56G,eye_width Vout_1 56G,eye_maxWidth Vout_2 56G,eye_height Vout_2 56G,eye_height_XY Vout_1 56G,eye_height_XY Vout_2 56G,eye_height Vout_1 56G,eye_width_XY Vout_1 56G,eye_maxHeight Vout_2 56G,eye_maxWidth Vout_1 56G,eye_maxHeight Vout_1 56G
1.338e-06,0.0011819999999999,1.731e-09,758.1,9.932e-13,468.7,-0.01974,-6.522,-6.21,-6.58,-10.53,-6.52,-9.07,-12.97,-8.894,-13.13,-16.99,-12.83,-18.82,-22.58,-18.19,0.09039,0.3203,0.2577,1.204e-10,1.245e-10,1.245e-10,0.1693,0.3114,0.2661,1.209e-10,1.248e-10,1.245e-10,1.0,2.0,5.156e-11,4.505e-11,0.1639,5.07e-11,0.2251,0.07334,0.2008,4.865e-11,5.006e-11,-0.007165,0.1792,5.182e-11,-0.09202,0.08304,1.55e-11,1.108e-11,0.0,0.0781,0.04495,1.333e-11,-0.05068,0.0,1.543e-11,0.0,2.508e-13,0.0,0.0,0.0,-0.1314,0.0003474,0.002524,-0.1786,1.114e-13,0.0,0.0,0.0
9.785e-06,0.002025,6.386e-10,1350.0,4.753e-13,1105.0,-0.01961,-48.0,-43.61,-6.605,-49.03,-38.12,-9.111,-54.08,-48.73,-13.17,-61.56,-62.15,-18.86,-69.74,-76.37,0.0378,0.1134,0.09264,7.758e-11,9.066e-11,9.059e-11,-0.0007607,0.0,1.432e-05,0.0,0.0,2.537e-12,1.0,2.0,2.103e-13,1.402e-11,0.005915,1.699e-11,0.0,-0.0006834,0.006048,0.0,1.324e-11,-0.07636,2.529e-06,0.0,-0.0952,0.0,0.0,2.947e-13,0.0,2.652e-06,0.0001891,0.0,-0.0005747,0.0,4.261e-13,0.0,4.324e-13,0.0,0.0,0.0,-0.0003872,0.0002005,1.367e-06,-0.06209,4.547e-13,0.0,0.0,0.0
6.561e-06,0.001373,1.9750000000000003e-09,1057.0,7.412000000000001e-13,1265.0,-0.01962,-40.53,-38.22,-6.59,-46.82,-33.56,-9.101,-49.93,-39.62,-13.17,-55.1,-49.6,-18.88,-61.76,-61.89,0.2914,0.3057,0.304,9.914e-11,1.046e-10,1.043e-10,0.00139,0.006301,0.006269,8.238e-11,9.181e-11,9.181e-11,1.0,2.0,2.475e-11,3.611e-11,0.2508,3.818e-11,0.002927,-0.003054,0.2518,2.451e-11,3.584e-11,0.1473,0.002919,2.663e-11,-0.3113,0.0,0.0,7.968e-13,0.0,1.21e-05,0.001997,0.0,-0.0107,0.0,3.76e-14,0.0,4.795e-14,0.0,0.0,0.0,-0.008267,0.001136,2.482e-05,-0.2478,2.575e-13,0.0,0.0,0.0
8.797e-06,0.001397,9.514e-10,542.6,4.0220000000000004e-13,681.3,-0.01959,-10.84,-10.43,-6.6,-14.0,-4.027,-9.112,-19.03,-12.9,-13.17,-27.59,-27.12,-18.87,-38.75,-44.17,0.4108,0.4359,0.4357,1.284e-10,1.317e-10,1.317e-10,0.07056,0.3797,0.3797,9.239e-11,1.09e-10,1.09e-10,1.0,2.0,2.459e-11,5.325e-11,0.3018,5.676e-11,0.09715,-0.05881,0.3074,1.468e-12,5.669e-11,0.1172,0.09173,2.471e-11,-0.2523,0.0,0.0,2.668e-13,0.0,0.004767,0.000772,0.0,-0.3354,0.0,9.418e-13,0.0,4.224e-13,0.0,0.0,0.0,-0.3206,0.0007095,0.001228,-0.208,4.098e-13,0.0,0.0,0.0
4.110999999999999e-06,0.001151,1.98e-09,939.8,6.253e-13,1443.0,-0.01968,-26.3,-26.29,-6.583,-29.11,-17.3,-9.082,-31.86,-20.51,-13.15,-36.82,-27.34,-18.87,-44.67,-39.01,0.2833,0.3003,0.2997,1.091e-10,1.144e-10,1.141e-10,-0.03589,0.02592,0.02551,9.218e-11,1.064e-10,1.061e-10,1.0,2.0,3.563e-11,4.614e-11,0.3152,4.866e-11,0.04122,-0.0241,0.3546,3.494e-11,4.705e-11,0.2164,0.04001,3.604e-11,-0.1246,0.003347,2.817e-12,1.077e-11,9.446e-12,0.002424,0.1076,2.31e-12,-0.0884,0.1156,3.054e-12,1.241e-11,9.938e-14,0.0,0.0,0.0,-0.08915,0.0004976,0.0001169,-0.2741,4.104e-14,0.0,0.0,0.0
3.903999999999999e-06,0.001943,2.264e-09,752.0,8.957000000000001e-13,64.02,-0.01968,-30.23,-20.57,-6.582,-37.0,-26.62,-9.081,-39.74,-29.32,-13.15,-44.37,-35.15,-18.87,-51.27,-45.16,0.08882,0.2574,0.208,9.638e-11,1.101e-10,1.101e-10,-0.008065,0.05301,0.04367,9.967e-11,1.118e-10,1.118e-10,1.0,2.0,3.078e-11,1.745e-11,0.08656,3.03e-11,0.01939,-0.01468,0.09768,1.886e-11,3.025e-11,-0.04481,0.01782,3.082e-11,-0.1653,0.0,0.0,1.268e-12,0.0,0.0003962,0.001666,0.0,-0.03794,0.0,1.323e-12,0.0,2.601e-14,0.0,0.0,0.0,-0.03485,0.0006636,2.936e-05,-0.1585,2.909e-13,0.0,0.0,0.0
7.678e-06,0.0018939999999999,2.061e-09,254.3,6.799000000000002e-13,1079.0,-0.01969,-8.511,-16.79,-6.592,-0.1769,7.013,-9.118,-4.793,0.7197,-13.18,-12.82,-11.1,-18.88,-22.91,-25.55,0.1149,0.1953,0.1704,9.058e-11,9.846e-11,9.835e-11,-0.01499,0.02041,0.01785,6.361e-11,7.88e-12,8.451e-11,2.0,2.0,8.818e-13,2.519e-11,0.05264,2.55e-11,0.0,-0.2152,0.05791,0.0,2.249e-11,-0.05718,0.001905,0.0,-0.1732,0.0,0.0,2.131e-13,0.0,0.001553,0.0003073,0.0,-0.3004,0.0,4.432e-13,0.0,7.954e-13,0.0,0.0,0.0,-0.2176,0.0002584,0.00326,-0.1275,1.303e-13,0.0,0.0,0.0
4.844e-06,0.001331,2.03e-09,1182.0,3.14e-13,946.8,-0.01966,-40.32,-36.67,-6.584,-50.63,-37.61,-9.088,-52.47,-40.13,-13.16,-54.81,-45.73,-18.88,-58.88,-54.81,0.4129,0.3758,0.3756,1.339e-10,1.36e-10,1.36e-10,0.0095,0.007254,0.007239,1.336e-10,1.358e-10,1.358e-10,1.0,2.0,6.14e-11,5.89e-11,0.3849,6.208e-11,0.007509,0.005386,0.3856,5.796e-11,6.207e-11,0.3305,0.007503,6.141e-11,0.008857,0.002697,2.129e-11,2.34e-11,2.13e-11,0.002603,0.1992,1.921e-11,-0.001071,0.2038,2.128e-11,2.34e-11,5.771e-13,0.0,0.0,0.0,-0.004589,0.001508,5.362e-05,-0.2495,2.6e-13,0.0,0.0,0.0
2.792e-06,0.0009992,2.2620000000000003e-09,96.64,2.736000000000001e-13,296.9,-0.01974,-11.94,-23.92,-6.578,-14.52,-22.55,-9.067,-13.67,-18.36,-13.13,-12.9,-12.84,-18.82,-11.47,-4.986,0.2538,0.4309,0.3773,1.262e-10,1.31e-10,1.31e-10,0.1309,0.148,0.1458,1.388e-10,1.4e-10,1.4e-10,2.0,2.0,6.947e-11,5.478e-11,0.2821,5.791e-11,0.1397,0.06201,0.3396,6.913e-11,5.791e-11,0.1803,0.136,6.948e-11,0.04106,0.1442,3.376e-11,2.259e-11,2.111e-11,0.1432,0.1854,3.369e-11,-0.09704,0.2142,3.374e-11,2.285e-11,1.47e-11,1.393e-11,0.0,1.479e-11,-0.03771,0.01307,0.1456,-0.1353,3.253e-12,0.15,0.0,0.0
8.901e-06,0.0009360999999999,5.881e-10,389.6,5.721000000000002e-13,926.1,-0.01967,-4.252,-8.449,-6.602,0.5534,8.189,-9.118,-5.508,-1.324,-13.17,-14.76,-15.86,-18.87,-26.12,-33.02,0.3233,0.4535,0.4532,9.163e-11,1.047e-10,1.047e-10,0.05377,0.1665,0.1581,4.522e-11,9.67e-12,7.371e-11,2.0,2.0,1.189e-12,2.384e-11,0.1412,2.911e-11,0.0,-0.3141,0.1456,0.0,2.863e-11,-0.09025,0.00193,0.0,-0.3629,0.0,0.0,4.033e-13,0.0,0.009287,0.002838,0.0,-0.5241,0.0,6.993e-13,0.0,3.425e-13,0.0,0.0,0.0,-0.5025,0.0004823,0.002407,-0.2942,2.279e-13,0.0,0.0,0.0
6.075999999999999e-06,0.0007127,1.26e-09,469.5,2.9850000000000004e-13,654.6,-0.01969,-1.456,-2.871,-6.58,0.07524,6.843,-9.1,-2.796,4.032,-13.18,-10.03,-6.194,-18.88,-20.34,-21.28,0.5489,0.566,0.5658,1.379e-10,1.391e-10,1.391e-10,0.3667,0.4634,0.4623,1.24e-10,1.305e-10,1.305e-10,2.0,2.0,4.715e-11,6.173e-11,0.5368,6.447e-11,0.4646,0.1808,0.5653,3.645e-11,6.444e-11,0.3535,0.4623,4.715e-11,-0.1615,0.0,0.0,2.228e-11,1.737e-11,0.001831,0.1566,0.0,-0.2636,0.1606,1.233e-13,2.245e-11,1.286e-13,0.0,0.0,0.0,-0.3985,0.000399,0.002235,-0.2583,5.183e-14,0.0,0.0,0.0
5.19e-06,0.0007832999999999,1.282e-09,110.5,8.922000000000002e-13,285.3,-0.01971,-9.141,-18.31,-6.58,-9.728,-12.96,-9.08,-11.43,-13.88,-13.16,-14.36,-15.64,-18.88,-19.25,-19.49,0.5428,0.7849,0.7324,1.355e-10,1.37e-10,1.37e-10,0.3188,0.2724,0.2722,1.25e-10,1.296e-10,1.296e-10,2.0,2.0,5.927e-11,5.808e-11,0.5325,6.12e-11,0.2808,0.2814,0.5631,5.696e-11,6.116e-11,0.1823,0.2801,5.935e-11,-0.3262,0.1589,2.038e-11,1.144e-11,0.0,0.1551,0.06072,1.694e-11,0.1321,0.0,1.991e-11,0.0,3.447e-13,0.0,0.0,0.0,-0.1446,0.0008504,0.002527,-0.3123,2.014e-13,0.0,0.0,0.0
8.652e-06,0.0006058999999999,2.424e-10,1245.0,4.369e-13,258.2,-0.01958,-11.49,-1.285,-6.597,-18.85,-7.848,-9.108,-23.57,-16.65,-13.17,-31.78,-30.46,-18.87,-42.77,-47.51,0.3933,0.643,0.5954,1.195e-10,1.262e-10,1.261e-10,0.02521,0.1454,0.138,1.255e-10,1.306e-10,1.306e-10,1.0,2.0,4.306e-11,4.037e-11,0.2659,4.499e-11,0.01759,-0.137,0.2702,3.852e-11,4.497e-11,-0.001881,0.01743,4.333e-11,-0.3476,0.0,0.0,7.135e-13,0.0,0.0003317,0.001244,0.0,-0.1355,0.0,9.495e-13,0.0,9.561e-14,0.0,0.0,0.0,-0.07764,0.0009411,7.711e-05,-0.2744,2.26e-13,0.0,0.0,0.0
3.969e-06,0.000722,2.392e-09,230.8,2.297e-13,1440.0,-0.01974,-12.75,-25.5,-6.575,-6.669,-6.86,-9.07,-7.118,-5.299,-13.14,-9.259,-5.501,-18.88,-13.92,-8.368,0.3569,0.3065,0.3063,1.322e-10,1.349e-10,1.348e-10,-0.01053,0.05494,0.05304,1.32e-10,1.351e-10,1.349e-10,2.0,2.0,5.772e-11,5.613e-11,0.3167,5.945e-11,0.05198,0.1491,0.3176,5.139e-11,5.944e-11,0.2817,0.05187,5.775e-11,0.09658,0.05647,1.76e-11,2.447e-11,2.186e-11,0.05625,0.2315,9.78e-12,-0.1002,0.242,1.757e-11,2.45e-11,1.563e-12,0.0,0.0,0.0,-0.1075,0.001944,0.01484,-0.2011,5.835e-13,0.0,0.0,0.0
9.416e-06,0.0007582,1.8710000000000003e-09,1008.0,7.712000000000001e-13,1455.0,-0.01958,-14.91,-13.41,-6.601,-18.99,-8.381,-9.11,-24.29,-18.52,-13.17,-32.93,-32.84,-18.86,-44.07,-49.92,0.2076,0.3259,0.3253,5.349e-11,7.3e-11,7.279e-11,-0.2252,0.02866,0.02747,-5.29e-12,2.984e-11,2.892e-11,1.0,2.0,1.355e-14,0.0,0.01649,0.0,0.0,-0.3392,0.0,0.0,2.353e-12,-0.2651,9.691e-06,0.0,-0.4287,0.0,0.0,6.852e-14,0.0,0.0007401,0.0005502,0.0,-0.2889,0.0,6.549e-13,0.0,1.162e-13,0.0,0.0,0.0,-0.2013,0.001953,0.0001282,-0.3115,3.379e-13,0.0,0.0,0.0
7.248e-06,0.001539,2.158e-09,1213.0,7.028e-13,66.09,-0.0196,-45.6,-31.75,-6.594,-52.48,-39.93,-9.105,-55.16,-45.83,-13.17,-59.27,-55.06,-18.87,-64.97,-66.54,0.1638,0.4164,0.3769,8.427e-11,1.006e-10,1.005e-10,-0.0007547,0.003261,0.003195,6.564e-11,8.717e-11,8.704e-11,1.0,2.0,1.145e-13,-1.296e-11,0.01066,1.81e-12,0.0,-0.003738,0.01201,0.0,3.716e-12,-0.1312,6.322e-06,0.0,-0.2871,0.0,0.0,1.67e-13,0.0,8.898e-06,0.0006143,0.0,-0.002851,0.0,2.521e-13,0.0,2.686e-13,-8.844e-12,0.0,6.902e-13,-0.002472,0.001546,1.673e-05,-0.2204,2.853e-13,2.604e-05,0.0,0.0
3.473e-06,0.002498,5.646e-10,1216.0,2.6460000000000005e-13,341.2,-0.01977,-59.77,-51.64,-6.586,-54.83,-43.58,-9.081,-55.06,-43.17,-13.15,-56.06,-45.57,-18.86,-58.35,-51.57,0.02218,0.09385,0.07907,1.23e-10,1.286e-10,1.285e-10,-0.0004811,0.0004412,0.0003441,5.673e-11,8.137e-11,8.119e-11,1.0,2.0,3.457e-13,4.534e-11,0.05095,5.297e-11,0.0,-0.0005054,0.06054,0.0,5.282e-11,-0.005034,1.668e-06,0.0,-0.04216,0.0,0.0,1.276e-11,7.635e-12,2.499e-06,0.01631,0.0,-0.0005817,0.01673,4.986e-13,1.307e-11,1.089e-13,0.0,0.0,0.0,-0.000447,7.466e-05,1.939e-06,-0.05996,3.621e-14,0.0,0.0,0.0
7.076999999999999e-06,0.002074,1.694e-09,141.1,5.774e-13,711.4,-0.0197,-10.84,-21.66,-6.579,-3.919,-1.271,-9.102,-6.12,-3.021,-13.18,-11.99,-10.48,-18.88,-20.77,-22.28,0.0608,0.1659,0.1413,1.097e-10,1.153e-10,1.153e-10,0.00757,0.05102,0.0508,1.021e-10,1.154e-10,1.153e-10,2.0,2.0,2.8e-11,4.235e-11,0.06609,4.257e-11,0.05213,-0.04442,0.06907,1.334e-11,4.151e-11,-0.04355,0.05047,2.801e-11,-0.1182,0.0,0.0,7.536e-14,0.0,7.211e-05,0.0001766,0.0,-0.115,0.0,7.415e-14,0.0,5.682e-13,0.0,0.0,0.0,-0.08921,8.485e-05,0.0008278,-0.08133,4.02e-13,0.0,0.0,0.0
3.532e-06,0.0005045,9.675e-10,188.4,6.548e-13,1386.0,-0.01974,-13.6,-27.2,-6.579,-8.683,-10.88,-9.073,-10.92,-12.86,-13.14,-14.65,-16.25,-18.85,-19.65,-20.52,0.2255,0.3122,0.3069,1.035e-10,1.089e-10,1.084e-10,0.1623,0.02894,0.02803,8.067e-11,9.546e-11,9.524e-11,2.0,2.0,2.759e-11,4.351e-11,0.2101,4.211e-11,0.05371,0.08931,0.2496,2.762e-11,4.007e-11,0.1556,0.05288,2.799e-11,-0.116,0.0,0.0,8.33e-12,6.81e-12,0.02711,0.05595,0.0,0.01586,0.05729,5.916e-12,1.068e-11,2.671e-13,0.0,0.0,0.0,-0.1411,0.0009238,0.0006738,-0.2373,1.054e-13,0.0,0.0,0.0
