fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_height_XY Vout_2 14G,eye_maxWidth Vout_2 14G,eye_height_XY Vout_1 14G,eye_maxWidth Vout_1 14G,eye_maxHeight Vout_2 14G,eye_height Vout_1 14G,eye_maxHeight Vout_1 14G,eye_width Vout_2 14G,eye_height Vout_2 14G,eye_width Vout_1 14G,eye_width_XY Vout_2 14G,eye_width_XY Vout_1 14G,eye_width_XY Vout_2 28G,eye_maxWidth Vout_2 28G,eye_height Vout_2 28G,eye_maxWidth Vout_1 28G,eye_height_XY Vout_2 28G,eye_height_XY Vout_1 28G,eye_width Vout_1 28G,eye_maxHeight Vout_1 28G,eye_width Vout_2 28G,eye_maxHeight Vout_2 28G,eye_height Vout_1 28G,eye_width_XY Vout_1 28G,eye_width_XY Vout_2 56G,eye_maxHeight Vout_2 56G,eye_height Vout_2 56G,eye_maxWidth Vout_2 56G,eye_width Vout_1 56G,eye_width Vout_2 56G,eye_height Vout_1 56G,eye_height_XY Vout_2 56G,eye_maxHeight Vout_1 56G,eye_width_XY Vout_1 56G,eye_height_XY Vout_1 56G,eye_maxWidth Vout_1 56G
1.523e-06,0.001476,1.9170000000000003e-09,1071.0,7.669e-13,234.5,-0.01974,-28.0,-22.79,-6.58,-33.97,-26.68,-9.07,-36.4,-28.96,-13.13,-40.35,-32.93,-18.82,-45.69,-38.51,0.0957,0.3334,0.2714,1.19e-10,1.259e-10,1.259e-10,0.01323,0.03799,0.03179,1.264e-10,1.312e-10,1.312e-10,1.0,2.0,0.01996,5.408e-11,0.1591,4.877e-11,0.02463,0.01136,0.1989,4.807e-11,0.002972,4.231e-11,5.405e-11,4.876e-11,1.512e-11,0.0,-0.006889,0.0,0.00841,0.05185,0.0,0.0,0.0,0.0,-0.07715,1.084e-11,1.363e-12,0.0,-0.01587,0.0,0.0,0.0,-0.1584,9.913e-05,0.0,5.102e-13,0.00193,0.0
4.836e-06,0.0007331,2.408e-09,414.3,6.785000000000001e-13,1420.0,-0.01972,-6.428,-12.84,-6.581,-0.1372,6.329,-9.088,-2.863,3.564,-13.17,-8.203,-2.641,-18.89,-16.53,-13.37,0.2967,0.3211,0.3203,1.011e-10,1.076e-10,1.074e-10,0.1983,0.01277,0.01177,6.66e-11,8.679e-11,8.582e-11,2.0,2.0,0.0544,5.042e-12,0.2843,4.325e-11,0.0631,0.1914,0.321,1.482e-11,0.1366,4.146e-11,1.627e-11,4.107e-11,1.941e-12,2.102e-12,-0.2177,7.497e-12,0.01463,0.05749,5.03e-12,0.05766,-5.155e-12,0.01732,-0.2039,2.885e-12,5.911e-13,0.0,-0.4323,0.0,0.0,0.0,-0.3091,0.008355,0.0,1.194e-13,0.001182,0.0
9.187e-06,0.00191,4.751e-10,895.1,4.664e-13,908.6,-0.01955,-46.19,-43.58,-6.602,-55.35,-43.84,-9.111,-58.32,-51.97,-13.17,-62.74,-62.27,-18.87,-68.58,-74.14,0.1093,0.1985,0.1714,9.433e-11,1.065e-10,1.064e-10,0.0006383,0.00269,0.002643,9.88e-11,1.071e-10,1.071e-10,1.0,2.0,1.621e-05,0.0,0.04625,3.412e-11,0.0,-0.07684,0.04706,0.0,-0.002074,2.967e-11,4.236e-12,2.982e-11,3.922e-13,0.0,-0.002035,0.0,8.039e-06,0.0007742,0.0,0.0,0.0,0.0,-0.1269,6.869e-13,5.592e-14,0.0,-0.001423,0.0,0.0,0.0,-0.09228,3.782e-06,0.0,3.267e-13,0.0005807,0.0
3.216e-06,0.0005921,2.152e-10,1336.0,9.267e-13,467.7,-0.0197,-9.081,-2.038,-6.581,-14.11,-2.422,-9.077,-16.79,-5.414,-13.15,-21.51,-11.44,-18.86,-28.9,-21.98,0.337,0.5333,0.4732,1.261e-10,1.286e-10,1.281e-10,0.06699,0.1545,0.1293,1.209e-10,1.243e-10,1.242e-10,1.0,2.0,0.08072,5.176e-11,0.3137,5.438e-11,0.09302,0.1045,0.3674,5.139e-11,-0.01624,5.2e-11,5.146e-11,5.423e-11,1.016e-11,0.0,-0.06866,1.161e-11,0.007996,0.06135,8.558e-12,0.06279,0.0,0.0,-0.1998,1.084e-11,1.842e-13,0.0,-0.1001,0.0,0.0,0.0,-0.2621,0.0001959,0.0,5.746e-14,0.0002819,0.0
4.278e-06,0.0017649999999999,1.671e-09,1330.0,3.055e-13,1107.0,-0.01968,-51.05,-47.59,-6.583,-54.64,-41.37,-9.084,-55.2,-42.36,-13.16,-56.16,-46.07,-18.88,-59.12,-53.73,0.2641,0.2518,0.2518,1.3e-10,1.33e-10,1.33e-10,0.0001659,0.001077,0.0008306,1.167e-10,1.232e-10,1.231e-10,1.0,2.0,0.0004508,4.202e-11,0.2615,6.123e-11,0.0006003,0.209,0.2615,3.517e-11,4.191e-06,5.851e-11,4.199e-11,6.118e-11,1.707e-13,0.0,-0.001051,2.354e-11,4.786e-06,0.1306,2.047e-11,0.133,0.0,0.0,-0.002909,2.311e-11,4.758e-14,1.389e-05,-0.000821,2.395e-13,0.0,-7.58e-12,-0.1617,2.364e-06,0.0,1.026e-13,0.0004544,0.0
1.168e-06,0.00175,2.954e-09,415.8,1.1260000000000001e-13,915.8,-0.01975,-11.07,-21.26,-6.579,-14.45,-21.18,-9.068,-15.8,-21.28,-13.13,-18.5,-22.59,-18.81,-20.86,-21.89,0.06816,0.133,0.1144,1.296e-10,1.339e-10,1.338e-10,0.04888,0.05648,0.05515,1.405e-10,1.41e-10,1.41e-10,2.0,2.0,0.05454,7.012e-11,0.08467,6.121e-11,0.05503,0.04524,0.1045,6.978e-11,0.0405,5.926e-11,7.011e-11,6.116e-11,3.469e-11,3.469e-11,-0.005099,2.763e-11,0.01766,0.05612,2.764e-11,0.06896,3.45e-11,0.05631,-0.001484,2.718e-11,1.501e-11,0.05873,0.03657,1.513e-11,8.998e-12,1.46e-11,-0.01441,0.0585,0.01878,1.003e-11,0.01853,1.021e-11
3.891999999999999e-06,0.0024289999999999,2.017e-09,366.6,3.38e-13,1016.0,-0.01969,-14.36,-20.53,-6.581,-12.97,-7.358,-9.082,-15.28,-8.573,-13.16,-20.02,-13.28,-18.88,-27.79,-22.25,0.0645,0.118,0.1038,1.217e-10,1.266e-10,1.266e-10,-0.03956,0.05703,0.05699,1.216e-10,1.275e-10,1.275e-10,1.0,2.0,0.05747,4.709e-11,0.07461,5.776e-11,0.05763,0.02911,0.0861,3.895e-11,-0.001489,5.752e-11,4.709e-11,5.703e-11,8.444e-12,8.585e-12,-0.02367,1.933e-11,0.02454,0.03058,1.792e-11,0.03085,2.974e-12,0.02502,-0.04054,1.931e-11,7.426e-13,0.0,-0.09361,0.0,0.0,0.0,-0.05877,0.0002778,0.0,2.39e-14,2.003e-05,0.0
1.922e-06,0.0008805,2.316e-09,493.6,6.754e-13,1234.0,-0.01975,-5.688,-11.22,-6.579,-3.347,0.1134,-9.07,-5.602,-1.915,-13.13,-9.141,-4.982,-18.83,-13.43,-7.971,0.1612,0.3145,0.2758,1.14e-10,1.175e-10,1.171e-10,0.1341,0.1144,0.1137,1.052e-10,1.099e-10,1.095e-10,2.0,2.0,0.1727,4.214e-11,0.1902,4.802e-11,0.1782,0.09136,0.2404,4.697e-11,0.08599,4.883e-11,4.144e-11,4.709e-11,1.174e-11,0.0,0.02097,1.628e-11,0.1123,0.09676,1.437e-11,0.1027,0.0,0.0,-0.05599,1.514e-11,2.776e-12,0.0,-0.155,0.0,0.0,0.0,-0.1463,0.03397,0.0,2.072e-12,0.01148,0.0
4.596e-06,0.001165,2.386e-09,1123.0,6.519e-13,880.7,-0.01966,-33.73,-29.78,-6.584,-38.98,-25.99,-9.086,-41.75,-29.66,-13.16,-46.62,-37.28,-18.88,-53.8,-49.05,0.4021,0.4252,0.4247,1.191e-10,1.228e-10,1.226e-10,0.01388,0.01663,0.0166,1.092e-10,1.167e-10,1.167e-10,1.0,2.0,0.01682,4.879e-11,0.4074,5.456e-11,0.01855,0.2806,0.4418,4.559e-11,0.005938,5.3e-11,4.876e-11,5.406e-11,7.275e-12,9.787e-12,-0.01275,1.596e-11,0.001192,0.1463,1.06e-11,0.1475,5.601e-12,0.001225,-0.1533,1.547e-11,5.598e-13,0.0,-0.01697,0.0,0.0,0.0,-0.2822,0.0001232,0.0,2.691e-13,0.0005268,0.0
4.491e-06,0.001629,6.627999999999998e-10,466.0,1.215e-13,1320.0,-0.01969,-11.32,-17.3,-6.579,-10.38,-6.778,-9.084,-11.6,-4.552,-13.16,-16.83,-9.991,-18.88,-25.89,-22.94,0.1605,0.2412,0.2382,1.395e-10,1.405e-10,1.405e-10,-0.2199,0.1124,0.09474,1.34e-10,1.37e-10,1.37e-10,1.0,2.0,0.07072,5.576e-11,0.2399,6.507e-11,0.07776,0.1659,0.2401,4.772e-11,-0.3057,6.283e-11,5.574e-11,6.501e-11,1.022e-11,1.024e-11,-0.3299,2.765e-11,0.04577,0.1802,2.573e-11,0.1806,-8.931e-12,0.05324,0.07679,2.765e-11,6.909e-14,0.0,-0.3146,0.0,0.0,0.0,-0.1838,0.0005962,0.0,1.25e-12,0.002555,0.0
9.797e-06,0.001609,2.381e-09,731.7,9.583e-13,202.1,-0.01954,-31.14,-22.06,-6.604,-40.08,-29.99,-9.111,-45.6,-40.39,-13.17,-53.99,-54.47,-18.86,-63.75,-69.99,0.233,0.4322,0.4149,1.129e-10,1.213e-10,1.213e-10,-0.005578,0.08341,0.08326,1.238e-10,1.291e-10,1.29e-10,1.0,2.0,6.319e-05,0.0,0.005421,0.0,0.0,-0.2254,0.0,0.0,-0.08376,0.0,1.21e-12,9.609e-12,4.387e-13,0.0,-0.05598,0.0,0.0001698,0.0009828,0.0,0.0,0.0,0.0,-0.2134,3.193e-13,3.312e-13,0.0,-0.0444,0.0,0.0,0.0,-0.1887,9.385e-05,0.0,1.541e-13,0.000263,0.0
4.585e-06,0.001865,8.448e-11,200.8,8.401000000000001e-13,1235.0,-0.01973,-11.11,-22.15,-6.58,-3.826,-0.9616,-9.085,-6.584,-3.88,-13.16,-12.17,-10.8,-18.88,-21.23,-23.1,0.1126,0.2202,0.204,1.043e-10,1.087e-10,1.085e-10,0.0484,0.008672,0.008433,7.353e-11,9.203e-11,9.056e-11,2.0,2.0,0.03065,1.976e-11,0.1253,3.848e-11,0.03304,0.02938,0.1432,1.503e-11,-0.07143,3.898e-11,1.974e-11,3.814e-11,9.729e-13,0.0,-0.1757,0.0,0.003886,0.002142,0.0,0.0,0.0,0.0,-0.1491,1.999e-12,2.48e-13,0.0,-0.2021,0.0,0.0,0.0,-0.1629,0.001837,0.0,9.246e-14,0.001281,0.0
1.427e-06,0.0017749999999999,4.97e-10,1189.0,8.921000000000001e-13,304.8,-0.01974,-35.75,-30.72,-6.58,-41.7,-34.13,-9.07,-44.01,-36.41,-13.13,-47.48,-40.07,-18.82,-51.49,-44.84,0.07618,0.2762,0.2264,1.216e-10,1.277e-10,1.276e-10,0.004446,0.01232,0.01025,1.273e-10,1.306e-10,1.306e-10,1.0,2.0,0.006294,5.31e-11,0.1281,4.827e-11,0.007727,-0.008241,0.1523,4.739e-11,1.802e-06,4.079e-11,5.302e-11,4.8e-11,1.102e-11,1.127e-11,-0.003437,0.0,0.001924,0.0126,0.0,0.0,5.712e-12,0.001957,-0.1191,6.212e-12,2.969e-13,0.0,-0.005695,0.0,0.0,0.0,-0.134,4.202e-05,0.0,4.11e-13,0.0001343,0.0
6.442999999999999e-06,0.0008075,8.794e-10,936.7,4.4920000000000004e-13,1500.0,-0.01964,-12.64,-13.12,-6.589,-14.17,-2.134,-9.1,-17.89,-8.179,-13.17,-24.86,-19.7,-18.88,-35.18,-35.67,0.3781,0.3092,0.3089,1.006e-10,1.116e-10,1.116e-10,0.08243,0.06625,0.06586,8.124e-11,9.774e-11,9.768e-11,1.0,2.0,0.04183,1.321e-11,0.2806,3.767e-11,0.042,0.1122,0.3149,-1.057e-12,-0.148,3.192e-11,1.321e-11,3.751e-11,9.166e-13,0.0,-0.3043,0.0,0.0005473,0.00602,0.0,0.0,0.0,0.0,-0.3604,1.39e-12,7.042e-13,0.0,-0.226,0.0,0.0,0.0,-0.292,0.0007101,0.0,2.359e-13,0.001252,0.0
5.194e-06,0.0022,1.077e-09,599.4,4.299e-13,525.2,-0.01965,-30.3,-28.09,-6.585,-35.53,-25.24,-9.091,-38.5,-28.54,-13.17,-44.11,-37.15,-18.88,-52.68,-50.55,0.09774,0.1663,0.1471,1.36e-10,1.369e-10,1.368e-10,0.09891,0.1204,0.1204,1.164e-10,1.236e-10,1.236e-10,1.0,2.0,0.0839,4.941e-11,0.1,6.282e-11,0.08707,-0.00305,0.1078,4.388e-11,0.02823,6.187e-11,4.934e-11,6.277e-11,5.428e-12,2.188e-12,-0.06527,1.646e-11,0.001196,0.01743,1.17e-11,0.01792,1.618e-12,0.00183,-0.07453,1.646e-11,2.218e-13,0.0,-0.05604,0.0,0.0,0.0,-0.07007,0.000117,0.0,1.974e-13,0.0004455,0.0
9.699e-06,0.001377,2.122e-09,365.0,1.086e-13,879.6,-0.01965,-4.908,-9.452,-6.584,-4.68,-2.113,-9.119,-6.376,-1.731,-13.18,-15.44,-16.06,-18.87,-26.62,-32.89,0.2607,0.3213,0.314,1.233e-10,1.29e-10,1.289e-10,-0.2086,0.1983,0.1324,1.285e-10,1.334e-10,1.334e-10,2.0,2.0,0.08998,4.282e-11,0.2936,5.808e-11,0.09194,0.2317,0.2994,3.041e-11,-0.1247,5.513e-11,4.264e-11,5.807e-11,8.086e-14,0.0,-0.276,1.308e-11,0.0006546,0.02172,8.608e-12,0.02249,0.0,0.0,-0.1813,1.298e-11,2.569e-13,0.0,-0.2457,0.0,0.0,0.0,-0.137,0.001194,0.0,7.05e-14,0.0002737,0.0
3.012e-06,0.002049,1.127e-09,868.4,9.813e-13,712.2,-0.0197,-36.96,-34.12,-6.581,-41.64,-31.21,-9.076,-44.05,-33.75,-13.14,-47.85,-38.35,-18.85,-52.85,-45.61,0.1459,0.2458,0.2113,1.17e-10,1.202e-10,1.193e-10,0.009598,0.01588,0.0137,1.09e-10,1.143e-10,1.14e-10,1.0,2.0,0.008867,4.363e-11,0.1328,4.808e-11,0.01055,0.02538,0.1597,4.372e-11,0.001608,4.507e-11,4.328e-11,4.761e-11,3.725e-12,0.0,-0.007793,1.094e-11,0.0009587,0.005684,4.685e-12,0.02299,0.0,0.0,-0.07843,2.793e-12,3.944e-14,0.0,-0.01082,0.0,0.0,0.0,-0.1489,9.286e-05,0.0,1.622e-13,0.0005726,0.0
9.112e-06,0.0009839999999999,2.695e-09,322.3,9.000000000000001e-13,444.0,-0.01964,-1.21,-2.392,-6.603,0.007721,6.915,-9.118,-5.606,-1.67,-13.18,-14.09,-14.58,-18.87,-24.3,-29.43,0.5179,0.7026,0.688,1.158e-10,1.206e-10,1.206e-10,0.6024,0.5727,0.5704,6.036e-11,8.919e-11,8.921e-11,2.0,2.0,0.004241,0.0,0.2078,3.461e-11,0.0,-0.1624,0.212,0.0,-0.2391,2.788e-11,1.099e-12,3.312e-11,8.756e-14,0.0,-0.4427,0.0,0.001561,0.002959,0.0,0.0,0.0,0.0,-0.3807,2.638e-13,6.521e-13,0.008577,-0.4311,1.318e-12,0.0,-9.555e-12,-0.3202,0.002499,0.0,1.613e-13,0.0002995,0.0
9.673e-06,0.0006042,3.35e-10,1107.0,9.660000000000001e-13,445.4,-0.01956,-3.433,4.191,-6.605,-9.811,0.2153,-9.112,-15.57,-10.36,-13.17,-24.52,-25.04,-18.86,-35.86,-42.48,0.4186,0.6165,0.5634,1.092e-10,1.152e-10,1.149e-10,0.09588,0.2241,0.22,6.899e-11,8.704e-11,8.698e-11,1.0,2.0,0.0001216,1.042e-12,0.08792,2.109e-11,0.001423,-0.2717,0.08856,-1.263e-11,-0.3307,1.754e-11,3.086e-13,1.977e-11,5.486e-13,0.0,-0.2749,0.0,0.0004664,0.001801,0.0,0.0,0.0,0.0,-0.34,2.262e-13,7.173e-13,0.0,-0.198,0.0,0.0,0.0,-0.2912,0.0008315,0.0,7.955e-13,0.004446,0.0
9.13e-06,0.0019219999999999,8.747e-11,461.0,7.332000000000001e-13,1405.0,-0.01958,-21.13,-25.68,-6.601,-22.24,-12.52,-9.111,-27.5,-22.3,-13.17,-36.13,-36.59,-18.87,-47.31,-53.74,0.0201,0.1255,0.1015,6.35e-11,7.579e-11,7.524e-11,-0.3336,0.0,0.004578,0.0,0.0,7.007e-12,1.0,2.0,0.000484,0.0,0.00194,0.0,0.0,-0.1172,0.0,0.0,-0.3592,0.0,3.344e-13,2.844e-12,7.18e-13,0.0,-0.3026,0.0,0.002299,9.295e-05,0.0,0.0,0.0,0.0,-0.1325,8.12e-14,2.417e-14,0.0,-0.228,0.0,0.0,0.0,-0.1045,0.0001004,0.0,4.358e-13,0.0003545,0.0
