fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_height Vout_1 14G,eye_height_XY Vout_1 14G,eye_width_XY Vout_2 14G,eye_maxWidth Vout_2 14G,eye_maxHeight Vout_2 14G,eye_height Vout_2 14G,eye_width Vout_2 14G,eye_maxWidth Vout_1 14G,eye_maxHeight Vout_1 14G,eye_height_XY Vout_2 14G,eye_width Vout_1 14G,eye_width_XY Vout_1 14G,eye_maxHeight Vout_1 28G,eye_maxWidth Vout_1 28G,eye_maxWidth Vout_2 28G,eye_width Vout_2 28G,eye_height_XY Vout_1 28G,eye_maxHeight Vout_2 28G,eye_width_XY Vout_2 28G,eye_height Vout_1 28G,eye_height Vout_2 28G,eye_height_XY Vout_2 28G,eye_width_XY Vout_1 28G,eye_width Vout_1 28G,eye_height Vout_2 56G,eye_maxHeight Vout_2 56G,eye_height Vout_1 56G,eye_height_XY Vout_1 56G,eye_width_XY Vout_1 56G,eye_maxWidth Vout_1 56G,eye_width Vout_2 56G,eye_width Vout_1 56G,eye_height_XY Vout_2 56G,eye_width_XY Vout_2 56G,eye_maxHeight Vout_1 56G,eye_maxWidth Vout_2 56G
9.061e-06,0.00183,1.822e-09,1217.0,1.516e-13,1387.0,-0.01956,-51.08,-49.32,-6.601,-39.66,-27.87,-9.11,-44.18,-37.05,-13.17,-52.33,-51.4,-18.87,-62.73,-67.91,0.1596,0.1711,0.1709,1.261e-10,1.308e-10,1.308e-10,-0.003844,0.0002616,0.0001675,3.314e-11,2.521e-11,5.777e-11,1.0,2.0,0.02205,0.1361,2.636e-12,0.0,0.0,-0.002527,0.0,5.484e-11,0.1477,1.947e-05,4.912e-11,5.481e-11,0.0,0.0,0.0,0.0,0.0006273,0.0,5.182e-13,-0.1155,-0.002335,1.485e-05,2.486e-12,0.0,-0.001572,0.0,-0.08383,0.0004597,2.785e-13,0.0,0.0,0.0,2.693e-06,8.051e-13,0.0,0.0
9.632e-06,0.0009454999999999,2.878e-09,281.1,3.4580000000000005e-13,1072.0,-0.01968,-8.113,-16.22,-6.592,-0.7498,5.257,-9.12,-5.824,-2.215,-13.17,-14.5,-15.56,-18.87,-24.72,-30.46,0.3741,0.4072,0.407,1.071e-10,1.171e-10,1.171e-10,-0.7084,0.0,0.04397,0.0,0.0,3.349e-11,2.0,2.0,0.02915,0.2264,4.486e-12,0.0,0.0,-0.3737,0.0,3.973e-11,0.2293,0.009548,2.444e-11,3.968e-11,0.0,0.0,0.0,0.0,0.005534,0.0,4.008e-13,-0.3594,-0.4482,0.007075,7.21e-13,0.0,-0.4004,0.0,-0.2672,0.002022,3.335e-13,3.342e-13,0.0,-9.52e-12,0.007849,6.586e-13,0.003105,0.0
8.856999999999998e-06,0.001613,2.292e-09,994.3,8.553e-13,315.9,-0.01956,-42.72,-33.7,-6.601,-55.04,-43.44,-9.111,-57.91,-51.02,-13.17,-62.04,-60.8,-18.87,-67.73,-72.36,0.3157,0.4757,0.4589,1.294e-10,1.323e-10,1.322e-10,0.002365,0.007479,0.007474,1.212e-10,1.26e-10,1.26e-10,1.0,2.0,-0.08627,0.1355,4.768e-12,0.0,0.0,-0.005536,0.0,4.157e-11,0.1356,1.244e-05,3.206e-11,4.156e-11,0.0,0.0,0.0,0.0,0.000552,0.0,6.998e-14,-0.2045,-0.003923,4.982e-06,1.239e-13,0.0,-0.003401,0.0,-0.1814,0.001602,2.034e-13,0.0,0.0,0.0,2.254e-05,5.877e-13,0.0,0.0
5.15e-06,0.001712,3.821e-10,1291.0,8.42e-13,870.0,-0.01965,-50.4,-44.93,-6.586,-58.91,-45.02,-9.091,-57.44,-45.35,-13.17,-57.68,-49.45,-18.88,-61.14,-58.22,0.2206,0.3084,0.303,1.129e-10,1.169e-10,1.168e-10,0.001585,0.002159,0.001958,1.166e-10,1.197e-10,1.194e-10,1.0,2.0,0.07321,0.2016,4.508e-11,4.519e-11,0.001459,0.000786,4.163e-11,4.436e-11,0.2232,0.001317,4.332e-11,4.433e-11,0.0,0.0,0.0,0.0,0.0008368,0.0,3.967e-13,-0.2191,-0.001217,1.092e-05,8.114e-13,0.0,-0.001303,0.0,-0.175,0.0005301,1.118e-13,0.0,0.0,0.0,5.913e-06,3.49e-13,0.0,0.0
2.342e-06,0.00239,5.218999999999998e-10,371.4,5.491000000000002e-13,976.5,-0.01973,-10.72,-17.5,-6.58,-9.729,-7.405,-9.073,-12.13,-9.602,-13.14,-16.37,-13.92,-18.84,-22.81,-20.82,0.08705,0.1784,0.1512,1.218e-10,1.252e-10,1.252e-10,0.07796,0.07438,0.07431,1.014e-10,1.174e-10,1.173e-10,1.0,2.0,0.03688,0.1012,4.205e-11,4.237e-11,0.08592,0.04449,3.858e-11,5.19e-11,0.1224,0.08571,5.105e-11,5.188e-11,0.03295,1.4e-11,1.12e-11,1.045e-11,0.03283,0.03111,7.337e-12,-0.05922,-0.03348,0.03063,1.344e-11,1.228e-11,-0.1203,0.0,-0.09349,3.545e-05,5.273e-14,0.0,0.0,0.0,0.0003024,3.575e-14,0.0,0.0
2.109e-06,0.001737,2.538e-09,1370.0,7.185e-13,1223.0,-0.01973,-45.04,-42.13,-6.58,-49.77,-38.72,-9.072,-51.39,-40.35,-13.13,-53.17,-42.44,-18.83,-55.04,-45.45,0.16,0.2671,0.2407,1.156e-10,1.198e-10,1.198e-10,0.002273,0.003062,0.002987,1.116e-10,1.148e-10,1.144e-10,1.0,2.0,0.08201,0.1657,4.535e-11,4.647e-11,0.003248,0.001156,4.64e-11,4.896e-11,0.2081,0.00222,4.84e-11,4.893e-11,0.0774,1.466e-11,1.56e-11,1.299e-11,0.07298,0.001802,1.485e-11,-0.04222,-0.0003114,0.001364,1.442e-11,1.405e-11,-0.001807,0.0,-0.1388,0.003209,1.029e-12,0.0,0.0,0.0,1.284e-05,1.89e-13,0.0,0.0
6.531e-06,0.00147,1.648e-09,152.0,9.857000000000001e-13,377.9,-0.01969,-6.535,-13.08,-6.583,-4.207,-1.878,-9.097,-6.706,-4.298,-13.18,-11.88,-10.4,-18.89,-19.97,-20.77,0.4617,0.5631,0.5421,1.278e-10,1.305e-10,1.304e-10,0.3807,0.2568,0.2566,1.067e-10,1.168e-10,1.167e-10,2.0,2.0,0.1244,0.3652,4.43e-11,4.429e-11,0.2643,0.1475,3.723e-11,5.281e-11,0.3652,0.2581,4.802e-11,5.28e-11,0.0,0.0,5.651e-13,-6.311e-12,0.001109,0.005519,2.77e-13,-0.2442,-0.2493,0.0009842,4.886e-13,0.0,-0.2725,0.0,-0.2261,0.002749,2.988e-13,0.0,0.0,0.0,0.000765,7.056e-14,0.0,0.0
2.366e-06,0.001337,2.7410000000000004e-09,342.5,5.052e-13,437.3,-0.01973,-3.612,-7.0,-6.578,-4.729,-2.616,-9.07,-6.423,-3.516,-13.13,-9.103,-4.863,-18.84,-12.07,-4.967,0.3788,0.5174,0.4822,1.385e-10,1.394e-10,1.394e-10,0.398,0.3615,0.3611,1.384e-10,1.395e-10,1.395e-10,2.0,2.0,0.191,0.3721,6.753e-11,6.753e-11,0.367,0.3312,6.639e-11,6.578e-11,0.4341,0.3662,6.386e-11,6.577e-11,0.2425,2.661e-11,3.21e-11,3.163e-11,0.2255,0.3635,3.207e-11,0.01201,0.3271,0.3501,2.661e-11,2.395e-11,0.257,0.3529,-0.1225,0.02585,4.739e-12,0.0,1.349e-11,0.0,0.3499,1.422e-11,0.0,1.422e-11
5.945e-06,0.0008033,4.678e-11,21.06,2.943e-13,30.8,-0.01969,-17.3,-34.65,-6.583,-23.94,-41.38,-9.082,-26.67,-44.37,-13.15,-31.63,-50.28,-18.87,-39.77,-60.93,0.07187,0.5681,0.4852,8.31e-11,1.001e-10,9.996e-11,0.05003,0.06146,0.05625,8.282e-11,9.974e-11,9.958e-11,2.0,2.0,-0.1578,0.01813,5.983e-13,0.0,0.0,0.007009,0.0,9.111e-12,0.0442,0.000711,-1.093e-11,8.791e-12,0.0,0.0,0.0,0.0,0.003683,0.0,6.797e-13,-0.4363,-0.02135,0.0001909,4.804e-13,0.0,-0.02249,0.0,-0.3545,0.001294,1.235e-13,0.0,0.0,0.0,0.0005969,4.701e-13,0.0,0.0
2.296e-06,0.002278,1.898e-09,499.3,8.871000000000001e-13,1408.0,-0.01972,-19.1,-24.17,-6.58,-19.77,-14.97,-9.073,-22.25,-17.31,-13.14,-26.35,-21.17,-18.84,-32.31,-26.53,0.06047,0.161,0.1318,1.05e-10,1.083e-10,1.057e-10,0.02623,0.04894,0.04853,8.706e-11,9.104e-11,9.032e-11,1.0,2.0,0.01238,0.07885,3.197e-11,3.382e-11,0.1035,0.026,3.401e-11,4.079e-11,0.1001,0.08424,3.808e-11,4.056e-11,0.0,0.0,8.145e-12,6.922e-12,0.002973,0.03409,4.111e-12,-0.07421,-0.1026,0.01524,5.042e-13,0.0,-0.1648,0.0,-0.1169,0.0006179,1.66e-13,0.0,0.0,0.0,0.003217,6.008e-13,0.0,0.0
8.817e-06,0.001867,3.362e-10,498.1,6.950000000000002e-13,679.5,-0.01957,-20.97,-20.88,-6.6,-24.92,-14.87,-9.11,-29.93,-24.12,-13.17,-38.38,-38.14,-18.87,-49.43,-55.14,0.1019,0.229,0.2009,1.031e-10,1.105e-10,1.104e-10,0.005266,0.2152,0.2128,3.843e-11,7.054e-11,7.053e-11,1.0,2.0,-0.1077,0.04929,3.066e-12,1.169e-12,0.008385,-0.3288,-1.971e-11,2.772e-11,0.04933,0.003678,2.311e-11,2.707e-11,0.0,0.0,0.0,0.0,0.0002117,0.0,9.949e-13,-0.1513,-0.2755,0.00319,1.723e-13,0.0,-0.2259,0.0,-0.1178,2.957e-05,2.552e-14,0.0,0.0,0.0,0.00215,5.048e-13,0.0,0.0
9.614e-06,0.00202,2.898e-09,594.5,2.897e-13,1481.0,-0.01955,-35.91,-39.96,-6.603,-43.08,-32.05,-9.111,-48.19,-42.22,-13.17,-56.07,-56.15,-18.86,-64.98,-70.75,0.05856,0.1173,0.109,8.413e-11,9.927e-11,9.927e-11,-0.02704,0.02973,0.02967,4.716e-11,7.589e-11,7.588e-11,1.0,2.0,-0.03715,0.02964,1.576e-12,0.0,0.0,-0.05749,0.0,3.043e-11,0.03062,0.001652,2.34e-11,2.997e-11,0.0,0.0,0.0,0.0,0.0001969,0.0,4.496e-13,-0.08107,-0.06014,0.0002351,2.259e-13,0.0,-0.04162,0.0,-0.05535,0.0003434,2.15e-13,0.0,0.0,0.0,0.0002047,7.842e-13,0.0,0.0
7.538e-06,0.0022789999999999,8.157999999999998e-10,678.3,6.616e-13,1408.0,-0.01959,-41.84,-43.62,-6.595,-47.31,-35.33,-9.107,-51.0,-42.71,-13.17,-56.98,-54.0,-18.87,-64.15,-66.99,0.01142,0.05678,0.04383,7.28e-11,8.351e-11,8.288e-11,-0.0009605,0.004478,0.00381,3.15e-11,4.582e-11,4.53e-11,1.0,2.0,-0.04065,0.007159,1.619e-12,0.0,0.0,-0.009389,0.0,1.604e-11,0.00721,4.302e-05,1.822e-11,1.587e-11,0.0,0.0,0.0,0.0,0.0002514,0.0,6.688e-13,-0.05753,-0.008815,5.197e-05,3.741e-13,0.0,-0.005885,0.0,-0.04225,0.0001067,2.543e-13,0.0,0.0,0.0,6.72e-06,1.868e-13,0.0,0.0
4.574e-06,0.0005162,2.698e-09,1427.0,9.028000000000001e-14,456.4,-0.01967,-7.215,0.6383,-6.583,-13.59,-4.282,-9.085,-16.3,-5.845,-13.16,-21.57,-12.56,-18.88,-30.12,-25.68,0.1009,0.3064,0.2418,1.237e-10,1.293e-10,1.293e-10,0.008622,0.05859,0.04646,1.231e-10,1.284e-10,1.284e-10,1.0,2.0,0.141,0.2052,5.416e-11,5.419e-11,0.04179,0.01051,4.888e-11,5.555e-11,0.222,0.03865,5.174e-11,5.551e-11,0.1872,2.253e-11,2.066e-11,1.91e-11,0.1662,0.02511,2.051e-11,0.1074,-0.007083,0.02495,2.237e-11,2.126e-11,-0.04522,0.0,-0.1398,0.01238,4.151e-12,4.777e-12,0.0,1.048e-12,0.0001408,2.277e-13,0.01263,0.0
8.98e-06,0.002118,1.8439999999999998e-09,208.7,8.837000000000003e-13,515.0,-0.01966,-5.179,-10.2,-6.601,-0.9295,5.346,-9.12,-6.427,-2.874,-13.18,-14.89,-15.66,-18.87,-24.98,-30.15,-0.01486,0.1054,0.09288,1.022e-10,1.09e-10,1.081e-10,-0.0161,0.09864,0.09852,5.559e-11,8.103e-11,8.088e-11,2.0,2.0,-0.09939,0.01323,2.369e-12,0.0,0.0,-0.1194,0.0,1.931e-11,0.01477,0.002171,1.921e-11,1.894e-11,0.0,0.0,0.0,0.0,2.182e-05,0.0,1.54e-13,-0.08276,-0.1419,0.00014,1.132e-13,0.0,-0.0942,0.0,-0.05988,4.226e-05,7.231e-14,0.0,0.0,0.0,0.0004914,4.465e-13,0.0,0.0
3.722e-06,0.001261,2.464e-09,139.1,4.541000000000001e-13,905.3,-0.01974,-13.6,-27.22,-6.577,-8.299,-10.11,-9.071,-8.731,-8.513,-13.14,-9.237,-5.575,-18.88,-11.87,-4.394,0.3859,0.3957,0.3953,1.287e-10,1.318e-10,1.318e-10,0.05116,0.06889,0.06805,1.283e-10,1.326e-10,1.326e-10,2.0,2.0,0.3176,0.4037,5.869e-11,5.873e-11,0.07305,0.1452,5.268e-11,6.144e-11,0.4195,0.07204,5.999e-11,6.143e-11,0.2585,2.396e-11,2.412e-11,2.298e-11,0.2556,0.09215,2.405e-11,0.02634,-0.005829,0.08971,2.348e-11,2.164e-11,0.05483,0.1418,-0.2775,0.001158,3.155e-13,0.0,7.382e-12,0.0,0.1382,8.747e-12,0.0,8.753e-12
7.783e-06,0.001453,1.403e-09,398.8,6.617000000000001e-13,449.1,-0.01963,-0.828,-0.3573,-6.599,-0.6085,8.229,-9.118,-5.87,0.4551,-13.18,-14.57,-12.97,-18.88,-25.5,-29.2,0.4526,0.5247,0.5245,1.341e-10,1.355e-10,1.354e-10,0.2691,0.5317,0.5315,9.585e-11,1.105e-10,1.105e-10,2.0,2.0,0.109,0.3383,3.393e-11,3.394e-11,0.2523,-0.03053,2.077e-11,5.539e-11,0.3397,0.249,5.203e-11,5.533e-11,0.0,0.0,0.0,0.0,0.001721,0.0,1.453e-13,-0.2555,-0.5588,0.001082,2.325e-13,0.0,-0.4605,0.0,-0.2181,0.0003011,5.635e-14,0.0,0.0,0.0,0.001935,1.394e-13,0.0,0.0
5.474999999999999e-06,0.0006552,2.381e-09,1165.0,5.018e-13,341.7,-0.01965,-9.21,-0.9913,-6.586,-14.89,-2.701,-9.092,-18.11,-7.166,-13.17,-24.23,-16.88,-18.88,-33.78,-31.59,0.5525,0.707,0.6767,1.376e-10,1.387e-10,1.387e-10,0.2949,0.3013,0.3011,1.384e-10,1.391e-10,1.391e-10,1.0,2.0,0.2816,0.5366,6.768e-11,6.771e-11,0.2421,0.04678,6.657e-11,6.562e-11,0.5765,0.237,6.438e-11,6.562e-11,0.1898,2.28e-11,2.219e-11,1.804e-11,0.1895,0.0279,2.161e-11,-0.1619,-0.1505,0.02786,2.28e-11,1.897e-11,-0.1499,0.0,-0.2897,0.001482,1.713e-13,0.0,0.0,0.0,0.0004297,1.213e-13,0.0,0.0
7.17e-06,0.0008473999999999,1.162e-09,1096.0,9.949000000000001e-13,551.1,-0.01961,-22.64,-15.97,-6.592,-28.43,-16.01,-9.103,-32.41,-23.29,-13.17,-39.71,-35.61,-18.87,-50.02,-51.7,0.4459,0.6417,0.6113,1.095e-10,1.136e-10,1.135e-10,-0.009158,0.08291,0.08275,8.571e-11,9.787e-11,9.774e-11,1.0,2.0,0.01838,0.2932,1.241e-11,1.968e-11,0.007365,-0.136,1.962e-11,3.814e-11,0.3063,0.007213,3.67e-11,3.671e-11,0.0,0.0,0.0,0.0,0.002908,0.0,3.507e-13,-0.4035,-0.1268,0.0002145,3.076e-13,0.0,-0.08434,0.0,-0.3278,0.001199,1.978e-13,5.475e-13,0.0,-1.183e-11,0.0001026,5.065e-14,0.003893,0.0
6.85e-06,0.0006334,2.876e-09,321.6,4.734e-13,241.8,-0.01966,0.4369,0.8546,-6.584,-2.037,2.497,-9.102,-4.588,0.1321,-13.18,-10.89,-8.184,-18.88,-20.1,-21.02,0.4834,0.6684,0.626,1.238e-10,1.292e-10,1.292e-10,0.7574,0.7559,0.7552,1.362e-10,1.381e-10,1.381e-10,2.0,2.0,0.1687,0.4248,6.457e-11,6.458e-11,0.7549,0.667,6.268e-11,5.421e-11,0.4514,0.7507,4.971e-11,5.412e-11,0.0,0.0,1.921e-11,1.461e-11,0.002078,0.1231,1.917e-11,-0.3471,-0.1415,0.1227,2.744e-12,0.0,-0.2596,0.0,-0.2871,0.001007,1.697e-13,0.0,0.0,0.0,0.0008224,2.246e-13,0.0,0.0
